pos_obj_grp_cd|obj_id|ver_nbr|pos_obj_grp_nm|row_actv_ind|
81|3089E199A9979134E043814FD8819134|1.0|AA81|Y|
82|3089E199A9989134E043814FD8819134|1.0|AA82|Y|
83|3089E199A9999134E043814FD8819134|1.0|AA83|Y|
84|3089E199A99A9134E043814FD8819134|1.0|AA84|Y|
87|3089E199A99B9134E043814FD8819134|1.0|AA87|Y|
88|3089E199A99C9134E043814FD8819134|1.0|AA88|Y|
AC|3089E199A99D9134E043814FD8819134|1.0|Faculty|Y|
AI|3089E199A99E9134E043814FD8819134|1.0|IR81|Y|
CL|3089E199A99F9134E043814FD8819134|1.0|Non-Exempt Staff|Y|
HO|3089E199A9A09134E043814FD8819134|1.0|Hourly Staff|Y|
OA|3089E199A9A19134E043814FD8819134|1.0|Other Academic|Y|
OP|3089E199A9A29134E043814FD8819134|1.0|Overtime Premium|Y|
PA|3089E199A9A39134E043814FD8819134|1.0|Professional|Y|
RS|3089E199A9A49134E043814FD8819134|1.0|Resident|Y|
SA|3089E199A9A59134E043814FD8819134|1.0|Student Academic|Y|
SH|3089E199A9A69134E043814FD8819134|1.0|Student Hourly|Y|
SP|3089E199A9A79134E043814FD8819134|1.0|Special Pay|Y|
SU|3089E199A9A89134E043814FD8819134|1.0|Summer Faculty and Staff|Y|
TP|3089E199A9A99134E043814FD8819134|1.0|Terminal Pay|Y|
WM|3089E199A9AA9134E043814FD8819134|1.0|Work Study Monthly|Y|
WS|3089E199A9AB9134E043814FD8819134|1.0|Work Study|Y|
XX|3089E199A9AC9134E043814FD8819134|1.0|Not Applicable|Y|
