cust_id|disb_typ_cd|obj_id|ver_nbr|bnk_cd|actv_ind|
1.0000016E7|ACH|5B36A8E468340D3FE0404F8189D878EA|1.0|1010|Y|
1.0000016E7|CHCK|5B36A8E468350D3FE0404F8189D878EA|1.0|TEST|Y|
1.0000017E7|ACH|62AF63F5ED1293D1E0404F8189D83153|1.0|1010|Y|
1.0000017E7|CHCK|62AF63F5ED1393D1E0404F8189D83153|1.0|TEST|Y|
1.0000018E7|ACH|62AF63F5ED1693D1E0404F8189D83153|1.0|1010|Y|
1.0000018E7|CHCK|62AF63F5ED1793D1E0404F8189D83153|1.0|TEST|Y|
1.0000019E7|ACH|62AF63F5ED1A93D1E0404F8189D83153|1.0|1010|Y|
1.0000019E7|CHCK|62AF63F5ED1B93D1E0404F8189D83153|1.0|TEST|Y|
1.000002E7|ACH|62AF63F5ED1E93D1E0404F8189D83153|1.0|1010|Y|
1.000002E7|CHCK|62AF63F5ED1F93D1E0404F8189D83153|1.0|TEST|Y|
1.0000021E7|ACH|62AF63F5ED2293D1E0404F8189D83153|1.0|1010|Y|
1.0000021E7|CHCK|62AF63F5ED2393D1E0404F8189D83153|1.0|TEST|Y|
1.0000022E7|ACH|62AF63F5ED2693D1E0404F8189D83153|1.0|1010|Y|
1.0000022E7|CHCK|62AF63F5ED2793D1E0404F8189D83153|1.0|TEST|Y|
1.0000023E7|ACH|62AF63F5ED2A93D1E0404F8189D83153|1.0|1010|Y|
1.0000023E7|CHCK|62AF63F5ED2B93D1E0404F8189D83153|1.0|TEST|Y|
1.0000024E7|ACH|62AF63F5ED2E93D1E0404F8189D83153|1.0|1010|Y|
1.0000024E7|CHCK|62AF63F5ED2F93D1E0404F8189D83153|1.0|TEST|Y|
1.0000025E7|ACH|62AF63F5ED1493D1E0404F8189D83153|1.0|1010|Y|
1.0000025E7|CHCK|62AF63F5ED1593D1E0404F8189D83153|1.0|TEST|Y|
1.0000026E7|ACH|62AF63F5ED1893D1E0404F8189D83153|1.0|1010|Y|
1.0000026E7|CHCK|62AF63F5ED1993D1E0404F8189D83153|1.0|TEST|Y|
1.0000027E7|ACH|62AF63F5ED1C93D1E0404F8189D83153|1.0|1010|Y|
1.0000027E7|CHCK|62AF63F5ED1D93D1E0404F8189D83153|1.0|TEST|Y|
1.0000028E7|ACH|62AF63F5ED2093D1E0404F8189D83153|1.0|1010|Y|
1.0000028E7|CHCK|62AF63F5ED2193D1E0404F8189D83153|1.0|TEST|Y|
1.0000029E7|ACH|62AF63F5ED2493D1E0404F8189D83153|1.0|1010|Y|
1.0000029E7|CHCK|62AF63F5ED2593D1E0404F8189D83153|1.0|TEST|Y|
1.000003E7|ACH|62AF63F5ED2893D1E0404F8189D83153|1.0|1010|Y|
1.000003E7|CHCK|62AF63F5ED2993D1E0404F8189D83153|1.0|TEST|Y|
1.0000031E7|ACH|62AF63F5ED2C93D1E0404F8189D83153|1.0|1010|Y|
1.0000031E7|CHCK|62AF63F5ED2D93D1E0404F8189D83153|1.0|TEST|Y|
1.0000032E7|ACH|62AF63F5ED3093D1E0404F8189D83153|1.0|1010|Y|
1.0000032E7|CHCK|62AF63F5ED3193D1E0404F8189D83153|1.0|TEST|Y|
