pmt_stat_cd|obj_id|ver_nbr|pmt_stat_cd_desc|
CDIS|3348445009859196E043814FD8819196|1.0|Cancel Disbursement|
CPAY|3348445009829196E043814FD8819196|1.0|Cancel Payment|
EXTR|3348445009849196E043814FD8819196|1.0|Extracted|
FORM|3348445009869196E043814FD8819196|1.0|Selected for Format|
HELD|3348445009819196E043814FD8819196|1.0|Held|
HTXB|3348445009899196E043814FD8819196|1.0|Held for Tax (NRA - Empl)|
HTXE|3348445009889196E043814FD8819196|1.0|Held for Tax (Employee)|
HTXN|3348445009879196E043814FD8819196|1.0|Held for Tax (NRA)|
OPEN|3348445009809196E043814FD8819196|1.0|Open Payment|
PACH|3348445009839196E043814FD8819196|1.0|Pending/ACH|
PCHK|6E38252C8BF3965DE0404F8189D83B69|1.0|Pending/Check|
