itm_typ_cd|obj_id|ver_nbr|itm_typ_desc|dobj_maint_cd_actv_ind|qty_bsd_gl_ind|itm_typ_addl_chrg_ind|taxable_ind|
DISC|2140BCA5-2D8D-F8EE-F29A-5231DE6EFFB7|1.0|Payment Terms Discount|Y|N|Y|Y|
EXMT|9A559E1D3D6ED8EAE040007F010047C6|1.0|Exempt|Y|Y|N|N|
FDGR|9A040B34-B954-0ABC-DF59-6521DEB0919C|1.0|Federal Tax Gross-Up|Y|N|Y|Y|
FDTX|3F1E1EBA-AC7D-72D8-2532-5705C399D8E0|3.0|Federal Tax|Y|N|Y|Y|
FRHT|F9DCA11A-CD24-F961-EE26-12B1C31D0360|1.0|Freight|Y|N|Y|Y|
ITEM|F7C44E14-1128-60C6-71BA-151F4E113733|2.0|Qty|Y|Y|N|Y|
MISC|4511536F-C4FE-7C47-D3D9-3CD2D755C920|1.0|Miscellaneous|Y|N|Y|Y|
MNOR|4145ED99-905A-9CD0-202F-44F79B34BF9B|1.0|Minimum Order|Y|N|Y|Y|
MSCR|26BF335C-A987-6244-0262-84E6C2DCEF03|1.0|Miscellaneous Credit|Y|N|Y|Y|
ORDS|BF44B7E5-D9E2-215A-55BE-7619F9614426|1.0|Full Order Discount|Y|N|Y|Y|
RSTO|745F4C4C-08C4-B568-0206-CD6AA34C8D96|1.0|Less Restocking Fee|Y|N|Y|Y|
SPHD|15BD285E-34F7-5AF4-5B73-0E99840CE750|1.0|Shipping and Handling|Y|N|Y|Y|
SRVC|247F9EB07E9C6134E043814FD8816134|1.0|No Qty|Y|N|N|N|
STGR|4F1A90CC-6FA0-DBD9-4AF7-396FB41A1499|1.0|State Tax Gross-Up|Y|N|Y|Y|
STTX|F026215A-B174-7418-34E3-A742B5EFEB0B|1.0|State Tax|Y|N|Y|Y|
TRDI|6C5EE90A-AAAF-701A-CFBB-B3CADBC62506|1.0|Trade In|Y|N|Y|Y|
UNOR|48163B1F312FA0C5E0404F8189D81E00|1.0|Unordered|Y|Y|N|Y|
