cari_cd|obj_id|ver_nbr|cari_desc|dobj_maint_cd_actv_ind|
ABF|BD51DF30-34E7-B049-6861-9BEA1610D0FE|1.0|ABF FREIGHT SYSTEMS|Y|
BEK|8999DCBC-B1D8-069E-F9B3-D296A6064F32|1.0|BEKINS|Y|
BER|C6F75296-49A6-FD64-F961-8E9A036F3CD8|1.0|BERGER|Y|
BRN|28A32558-28C4-BDBB-8113-803C45B3DD7E|1.0|BRANDT TRUCK LINE|Y|
BUF|2055184F-ECB9-CF63-2966-156C3398F647|1.0|BUSINESS FURNITURE|Y|
CCC|FEBFC003-BFCF-ABFD-9EE8-082B7EBAEE49|3.0|CROUSE CARTAGE COMPANY|Y|
CCX|64E705D1-308F-CB1A-C02E-54DA6B0FB2F1|1.0|CONWAY CENTRAL EXPRESS|Y|
CFM|0545A812-A218-C972-71B6-2662195A42E2|1.0|CERTIFIED MAIL|Y|
DAY|CB3D8858-A7BD-F4EC-4EE2-A1A08D7C2E9A|4.0|DAYTON FREIGHT|Y|
UPS|5A4A8B66-175C-E2E2-7F2F-2A7A4450FDC3|1.0|UPS|Y|
