pur_comm_cd|obj_id|ver_nbr|pur_comm_desc|pur_sales_tax_ind|itm_rstrc_ind|snstv_dta_cd|dobj_maint_cd_actv_ind|
11|486D34788783C267E0404F8189D8349E|1.0|Agriculture, Forestry, Fishing and Hunting|Y|N||Y|
111|486D3478879BC267E0404F8189D8349E|1.0|Crop Production|Y|N||Y|
1111|486D347887FEC267E0404F8189D8349E|1.0|Oilseed and Grain Farming|Y|N||Y|
11111|486D34788937C267E0404F8189D8349E|1.0|Soybean Farming|Y|N||Y|
111110|486D34788C06C267E0404F8189D8349E|1.0|Soybean Farming|N|Y||Y|
11112|486D34788938C267E0404F8189D8349E|1.0|Oilseed (except Soybean) Farming|Y|N||Y|
111120|486D34788C07C267E0404F8189D8349E|1.0|Oilseed (except Soybean) Farming|N|Y||Y|
11113|486D34788939C267E0404F8189D8349E|1.0|Dry Pea and Bean Farming|Y|N||Y|
111130|486D34788C08C267E0404F8189D8349E|1.0|Dry Pea and Bean Farming|N|Y||Y|
11114|486D3478893AC267E0404F8189D8349E|1.0|Wheat Farming|Y|N||Y|
111140|486D34788C09C267E0404F8189D8349E|1.0|Wheat Farming|N|Y||Y|
11115|486D3478893BC267E0404F8189D8349E|1.0|Corn Farming|Y|N||Y|
111150|486D34788C0AC267E0404F8189D8349E|1.0|Corn Farming|N|Y||Y|
11116|486D3478893CC267E0404F8189D8349E|1.0|Rice Farming|Y|N||Y|
111160|486D34788C0BC267E0404F8189D8349E|1.0|Rice Farming|N|Y||Y|
11119|486D3478893DC267E0404F8189D8349E|1.0|Other Grain Farming|Y|N||Y|
111191|486D34788C0CC267E0404F8189D8349E|1.0|Oilseed and Grain Combination Farming|N|Y||Y|
111199|486D34788C0DC267E0404F8189D8349E|1.0|All Other Grain Farming|N|Y||Y|
1112|486D347887FFC267E0404F8189D8349E|1.0|Vegetable and Melon Farming|Y|N||Y|
11121|486D3478893EC267E0404F8189D8349E|1.0|Vegetable and Melon Farming|Y|N||Y|
111211|486D34788C0EC267E0404F8189D8349E|1.0|Potato Farming|N|Y||Y|
111219|486D34788C0FC267E0404F8189D8349E|1.0|Other Vegetable (except Potato) and Melon Farming|N|Y||Y|
1113|486D34788800C267E0404F8189D8349E|1.0|Fruit and Tree Nut Farming|Y|N||Y|
11131|486D3478893FC267E0404F8189D8349E|1.0|Orange Groves|Y|N||Y|
111310|486D34788C10C267E0404F8189D8349E|1.0|Orange Groves|N|Y||Y|
11132|486D34788940C267E0404F8189D8349E|1.0|Citrus (except Orange) Groves|Y|N||Y|
111320|486D34788C11C267E0404F8189D8349E|1.0|Citrus (except Orange) Groves|N|Y||Y|
11133|486D34788941C267E0404F8189D8349E|1.0|Noncitrus Fruit and Tree Nut Farming|Y|N||Y|
111331|486D34788C12C267E0404F8189D8349E|1.0|Apple Orchards|N|Y||Y|
111332|486D34788C13C267E0404F8189D8349E|1.0|Grape Vineyards|N|Y||Y|
111333|486D34788C14C267E0404F8189D8349E|1.0|Strawberry Farming|N|Y||Y|
111334|486D34788C15C267E0404F8189D8349E|1.0|Berry (except Strawberry) Farming|N|Y||Y|
111335|486D34788C16C267E0404F8189D8349E|1.0|Tree Nut Farming|N|Y||Y|
111336|486D34788C17C267E0404F8189D8349E|1.0|Fruit and Tree Nut Combination Farming|N|Y||Y|
111339|486D34788C18C267E0404F8189D8349E|1.0|Other Noncitrus Fruit Farming|N|N||Y|
1114|486D34788801C267E0404F8189D8349E|1.0|Greenhouse, Nursery, and Floriculture Production|Y|N||Y|
11141|486D34788942C267E0404F8189D8349E|1.0|Food Crops Grown Under Cover|Y|N||Y|
111411|486D34788C19C267E0404F8189D8349E|1.0|Mushroom Production|N|N||Y|
111419|486D34788C1AC267E0404F8189D8349E|1.0|Other Food Crops Grown Under Cover|N|N||Y|
11142|486D34788943C267E0404F8189D8349E|1.0|Nursery and Floriculture Production|Y|N||Y|
111421|486D34788C1BC267E0404F8189D8349E|1.0|Nursery and Tree Production|N|N||Y|
111422|486D34788C1CC267E0404F8189D8349E|1.0|Floriculture Production|N|N||Y|
1119|486D34788802C267E0404F8189D8349E|1.0|Other Crop Farming|Y|N||Y|
11191|486D34788944C267E0404F8189D8349E|1.0|Tobacco Farming|Y|N||Y|
111910|486D34788C1DC267E0404F8189D8349E|1.0|Tobacco Farming|N|N||Y|
11192|486D34788945C267E0404F8189D8349E|1.0|Cotton Farming|Y|N||Y|
111920|486D34788C1EC267E0404F8189D8349E|1.0|Cotton Farming|N|N||Y|
11193|486D34788946C267E0404F8189D8349E|1.0|Sugarcane Farming|Y|N||Y|
111930|486D34788C1FC267E0404F8189D8349E|1.0|Sugarcane Farming|N|N||Y|
11194|486D34788947C267E0404F8189D8349E|1.0|Hay Farming|Y|N||Y|
111940|486D34788C20C267E0404F8189D8349E|1.0|Hay Farming|N|N||Y|
11199|486D34788948C267E0404F8189D8349E|1.0|All Other Crop Farming|Y|N||Y|
111991|486D34788C21C267E0404F8189D8349E|1.0|Sugar Beet Farming|N|N||Y|
111992|486D34788C22C267E0404F8189D8349E|1.0|Peanut Farming|N|N||Y|
111998|486D34788C23C267E0404F8189D8349E|1.0|All Other Miscellaneous Crop Farming|N|N||Y|
112|486D3478879CC267E0404F8189D8349E|1.0|Animal Production|Y|N||Y|
1121|486D34788803C267E0404F8189D8349E|1.0|Cattle Ranching and Farming|Y|N||Y|
11211|486D34788949C267E0404F8189D8349E|1.0|Beef Cattle Ranching and Farming, including Feedlots|Y|N||Y|
112111|486D34788C24C267E0404F8189D8349E|1.0|Beef Cattle Ranching and Farming|N|N||Y|
112112|486D34788C25C267E0404F8189D8349E|1.0|Cattle Feedlots|N|N||Y|
11212|486D3478894AC267E0404F8189D8349E|1.0|Dairy Cattle and Milk Production|Y|N||Y|
112120|486D34788C26C267E0404F8189D8349E|1.0|Dairy Cattle and Milk Production|N|N||Y|
11213|486D3478894BC267E0404F8189D8349E|1.0|Dual-Purpose Cattle Ranching and Farming|Y|N||Y|
112130|486D34788C27C267E0404F8189D8349E|1.0|Dual-Purpose Cattle Ranching and Farming|N|N||Y|
1122|486D34788804C267E0404F8189D8349E|1.0|Hog and Pig Farming|Y|N||Y|
11221|486D3478894CC267E0404F8189D8349E|1.0|Hog and Pig Farming|Y|N||Y|
112210|486D34788C28C267E0404F8189D8349E|1.0|Hog and Pig Farming|N|N||Y|
1123|486D34788805C267E0404F8189D8349E|1.0|Poultry and Egg Production|Y|N||Y|
11231|486D3478894DC267E0404F8189D8349E|1.0|Chicken Egg Production|Y|N||Y|
112310|486D34788C29C267E0404F8189D8349E|1.0|Chicken Egg Production|N|N||Y|
11232|486D3478894EC267E0404F8189D8349E|1.0|Broilers and Other Meat Type Chicken Production|Y|N||Y|
112320|486D34788C2AC267E0404F8189D8349E|1.0|Broilers and Other Meat Type Chicken Production|N|N||Y|
11233|486D3478894FC267E0404F8189D8349E|1.0|Turkey Production|Y|N||Y|
112330|486D34788C2BC267E0404F8189D8349E|1.0|Turkey Production|N|N||Y|
11234|486D34788950C267E0404F8189D8349E|1.0|Poultry Hatcheries|Y|N||Y|
112340|486D34788C2CC267E0404F8189D8349E|1.0|Poultry Hatcheries|N|N||Y|
11239|486D34788951C267E0404F8189D8349E|1.0|Other Poultry Production|Y|N||Y|
112390|486D34788C2DC267E0404F8189D8349E|1.0|Other Poultry Production|N|N||Y|
1124|486D34788806C267E0404F8189D8349E|1.0|Sheep and Goat Farming|Y|N||Y|
11241|486D34788952C267E0404F8189D8349E|1.0|Sheep Farming|Y|N||Y|
112410|486D34788C2EC267E0404F8189D8349E|1.0|Sheep Farming|N|N||Y|
11242|486D34788953C267E0404F8189D8349E|1.0|Goat Farming|Y|N||Y|
112420|486D34788C2FC267E0404F8189D8349E|1.0|Goat Farming|N|N||Y|
1125|486D34788807C267E0404F8189D8349E|1.0|Aquaculture|Y|N||Y|
11251|486D34788954C267E0404F8189D8349E|1.0|Aquaculture|Y|N||Y|
112511|486D34788C30C267E0404F8189D8349E|1.0|Finfish Farming and Fish Hatcheries|N|N||Y|
112512|486D34788C31C267E0404F8189D8349E|1.0|Shellfish Farming|N|N||Y|
112519|486D34788C32C267E0404F8189D8349E|1.0|Other Aquaculture|N|N||Y|
1129|486D34788808C267E0404F8189D8349E|1.0|Other Animal Production|Y|N||Y|
11291|486D34788955C267E0404F8189D8349E|1.0|Apiculture|Y|N||Y|
112910|486D34788C33C267E0404F8189D8349E|1.0|Apiculture|N|N||Y|
11292|486D34788956C267E0404F8189D8349E|1.0|Horses and Other Equine Production|Y|N||Y|
112920|486D34788C34C267E0404F8189D8349E|1.0|Horses and Other Equine Production|N|N||Y|
11293|486D34788957C267E0404F8189D8349E|1.0|Fur-Bearing Animal and Rabbit Production|Y|N||Y|
112930|486D34788C35C267E0404F8189D8349E|1.0|Fur-Bearing Animal and Rabbit Production|N|N||Y|
11299|486D34788958C267E0404F8189D8349E|1.0|All Other Animal Production|Y|N||Y|
112990|486D34788C36C267E0404F8189D8349E|1.0|All Other Animal Production|N|N||Y|
113|486D3478879DC267E0404F8189D8349E|1.0|Forestry and Logging|Y|N||Y|
1131|486D34788809C267E0404F8189D8349E|1.0|Timber Tract Operations|Y|N||Y|
11311|486D34788959C267E0404F8189D8349E|1.0|Timber Tract Operations|Y|N||Y|
113110|486D34788C37C267E0404F8189D8349E|1.0|Timber Tract Operations|N|N||Y|
1132|486D3478880AC267E0404F8189D8349E|1.0|Forest Nurseries and Gathering of Forest Products|Y|N||Y|
11321|486D3478895AC267E0404F8189D8349E|1.0|Forest Nurseries and Gathering of Forest Products|Y|N||Y|
113210|486D34788C38C267E0404F8189D8349E|1.0|Forest Nurseries and Gathering of Forest Products|N|N||Y|
1133|486D3478880BC267E0404F8189D8349E|1.0|Logging|Y|N||Y|
11331|486D3478895BC267E0404F8189D8349E|1.0|Logging|Y|N||Y|
113310|486D34788C39C267E0404F8189D8349E|1.0|Logging|N|N||Y|
