po_cst_src_cd|obj_id|ver_nbr|po_cst_src_desc|dobj_maint_cd_actv_ind|itm_unit_prc_upr_var_pct|itm_unit_prc_lwr_var_pct|
CICP|636024D36C5E8EC6E0404F8189D80405|1.0|COMM ON INST COOP PUR CONSORTIUM (CICPC)|Y|||
CON|636024D36C5F8EC6E0404F8189D80405|1.0|PRICING AGREEMENT FIRM|Y|0.0|0.0|
COOP|636024D36C608EC6E0404F8189D80405|1.0|COOPERATIVE AGREEMENT|Y|0.0|0.0|
EI|636024D36C618EC6E0404F8189D80405|1.0|EDUCATIONAL & INSTITUTIONAL COOPERATIVE (E&I)|Y|||
EST|636024D36C628EC6E0404F8189D80405|1.0|ESTIMATE|Y|10.0|50.0|
GSA|636024D36C638EC6E0404F8189D80405|1.0|GSA|Y|||
ION|636024D36C648EC6E0404F8189D80405|1.0|INTERNATIONAL ONCOLOGY NETWORK (ION)|Y|||
MCTA|636024D36C658EC6E0404F8189D80405|1.0|MICH COLLEGIATE TELECOMM ASSOC (MICTA)|Y|||
MED|636024D36C668EC6E0404F8189D80405|1.0|MED ASSETS|Y|100.0|100.0|
MHEC|636024D36C678EC6E0404F8189D80405|1.0|MIDWEST HIGHER EDUCATION CONSORTIUM (MHEC)|Y|||
MINN|636024D36C688EC6E0404F8189D80405|1.0|MINNESOTA MULTISTATE CONSORTIUM|Y|||
NOA|636024D36C698EC6E0404F8189D80405|1.0|NATIONAL ONCOLOGY ALLIANCE (NOA)|Y|||
QUOT|636024D36C6A8EC6E0404F8189D80405|1.0|QUOTE|Y|||
SSA|636024D36C6B8EC6E0404F8189D80405|1.0|STATE SCHOOL AGREEMENTS|Y|||
STAT|636024D36C6C8EC6E0404F8189D80405|1.0|STATE QUANTITY PURCHASE ORDERS (QPA)|Y|||
UCS|636024D36C6D8EC6E0404F8189D80405|1.0|US COMMUNITIES|Y|1.0|1.0|
UTIL|636024D36C6E8EC6E0404F8189D80405|1.0|UTILITY|Y|50.0|50.0|
VAR|636024D36C6F8EC6E0404F8189D80405|1.0|PRICING AGREEMENT VARIABLE|Y|20.0|50.0|
VEN|636024D36C708EC6E0404F8189D80405|1.0|VENDOR PRICE|Y|||
VHA|636024D36C718EC6E0404F8189D80405|1.0|NOVATION/VHA|Y|||
WSA|636024D36C728EC6E0404F8189D80405|1.0|WESTERN STATES CONTRACTING ALLIANCE (WSCA)|Y|||
