po_stat_cd|obj_id|ver_nbr|po_stat_desc|
AMND|B95CE8B3-C5BA-DD2E-F22D-6535080DB8AD|1.0|Pending Amendment|
CANC|FD445C51-849F-BC48-7E34-60EE59CD470D|1.0|Cancelled|
CGIN|3B34085F2A18C0F0E043814FD881C0F0|1.0|Change in Process|
CLOS|FEC664D9-8304-A825-4909-3B762D605757|1.0|Closed|
CLPE|3B34085F2A1EC0F0E043814FD881C0F0|1.0|Pending Close|
CNCG|3B34085F2A19C0F0E043814FD881C0F0|1.0|Cancelled Change|
CXER|4C23B265-EB09-D991-3CD9-AAABE31D14B3|1.0|Error occurred sending cxml|
CXPE|5EC1CADD-768E-87EB-9909-759EEA9EBFDB|1.0|Pending cxml|
DACG|3B34085F2A1AC0F0E043814FD881C0F0|1.0|Disapproved Change|
DBUD|CD3B26B4-1FEE-7BA1-71C1-3CC42B74664C|2.0|Disapproved Budget|
DCG|26965A79-C77E-149C-6BA7-587B9E20A8B3|1.0|Disapproved C & G|
DCOM|4A726628A0E63555E0404F8189D8234B|1.0|Disapproved Commodity Code|
DPUR|ABE7B3E1-94B0-60BE-48CC-305CF2B64EF3|1.0|Disapproved Purchasing|
DTAX|BCEA20BD-C436-2D87-FE7E-73BEA8C1C8FE|1.0|Disapproved Tax|
FXER|5056B3DA-6D91-EC04-5D0E-49910624E0C5|1.0|Error occurred sending fax|
FXPE|E17E4356-97BC-EAB5-F1FF-948526ED27CA|1.0|Pending Fax|
INPR|4E9C52AE-C895-2726-8F11-94CEE1103BA0|1.0|In Process|
OPEN|90782B8D-0305-3059-964C-198DCFC4B0B4|1.0|Open|
PHOL|5590F05A-50A2-707E-8F3E-1E742FED722D|1.0|Payment Hold|
PHPE|3B34085F2A1CC0F0E043814FD881C0F0|1.0|Pending Payment Hold|
PRPE|6EB473A5-C333-F5E7-3D47-FDB21B7DB4D7|1.0|Pending Print|
QUOT|6CAD9069-DB4B-A5EA-486C-26EB9D8A7ED7|1.0|Out for Quote|
RHPE|3B34085F2A20C0F0E043814FD881C0F0|1.0|Pending Remove Hold|
ROPE|3B34085F2A1FC0F0E043814FD881C0F0|1.0|Pending Reopen|
RTPE|3B34085F2A1DC0F0E043814FD881C0F0|1.0|Pending Retransmit|
RTVN|3B34085F2A17C0F0E043814FD881C0F0|1.0|Retired Version|
VOID|42CACD51-2750-D8E2-8E78-AFEE8453E917|1.0|Void|
VOPE|3B34085F2A1BC0F0E043814FD881C0F0|1.0|Pending Void|
WBUD|BC9DE992-93AF-E329-41C6-14A327A2D47F|1.0|Awaiting Budget Approval|
WCG|8E9EEE98-983B-1973-6CA7-2408EAEB8AA8|1.0|Awaiting C & G Approval|
WCOM|4A726628A0E53555E0404F8189D8234B|1.0|Awaiting Commodity Code Approval|
WDPT|6F56FD53-5338-56A1-528D-FC0DAE87AE8E|1.0|Waiting for Department|
WNUI|59DD32E740C58F64E0404F8189D83C05|1.0|Awaiting New Unordered Item Review|
WPUR|6C042735-631F-B232-6581-0178B399EDFC|1.0|Awaiting Purchasing Approval|
WTAX|FAE85AF8-59A8-F9ED-84DB-C477BEBBFB97|1.0|Awaiting Tax Approval|
WVEN|2A58C903-6CD8-3215-D750-5FF016E7BEDA|1.0|Waiting for Vendor|
