vndr_addr_gnrtd_id|obj_id|ver_nbr|vndr_hdr_gnrtd_id|vndr_dtl_asnd_id|vndr_addr_typ_cd|vndr_ln1_addr|vndr_ln2_addr|vndr_cty_nm|vndr_st_cd|vndr_zip_cd|vndr_cntry_cd|vndr_attn_nm|vndr_addr_intl_prov_nm|vndr_addr_email_addr|vndr_b2b_url_addr|vndr_fax_nbr|vndr_dflt_addr_ind|dobj_maint_cd_actv_ind|
1000.0|6D8A4A59-628F-2905-FB86-9E2F81EE6C33|5.0|1000.0|0.0|PO|123456 BROAD ST||TRUMANSBURG|NY|14886|US|JACQUI SMITH||||607-458-7899|Y|Y|
1001.0|F04FA746-DC68-762A-AD63-1AA987A25410|2.0|1001.0|0.0|PO|341 PINE TREE RD||ITHACA|NY|14850|US||||||Y|Y|
1002.0|ECC2391A-5176-CB9E-69DC-0313623D49FC|3.0|1002.0|0.0|PO|3894 SOUTH STREET|P.O. BOX 3455|SPRINGFIELD|IL|33555|US|||||888-333-8888|Y|Y|
1003.0|0908FCB4-75CD-D32A-516B-ACAAA0D1B745|1.0|1003.0|0.0|RM|ONE HAPPY PL||BLOOMINGTON|IN|47404|US||||||Y|Y|
1004.0|BEE0531F-0783-065F-FA87-E4E85B3A9646|2.0|1004.0|0.0|PO|4455 SUMMER STREET||CAPITAL CITY|AK|99443|US|||||555-555-5555|Y|Y|
1005.0|4FDC78B2-8637-7418-D168-1EF04DC1E677|2.0|1005.0|0.0|PO|8877 FIFTH STREET|APARTMENT D|LAKEVIEW|HI|99778|US|||||554-555-3344|Y|Y|
1006.0|1092D725-C189-4C81-97D0-AAA3A6D53303|1.0|1006.0|0.0|RM|1212 4TH ST||BLOOMINGTON|IN|47404|US||||||N|Y|
1007.0|8AE678EB-9FC2-3F09-13A9-F5A0365FC003|1.0|1006.0|0.0|RM|1214 8TH ST||BLOOMINGTON|IN|47404|US||||||Y|Y|
1008.0|10EDBBA1-44E1-4D57-5FBD-CB9E48D42F83|1.0|1002.0|1.0|PO|8822 MAPLE DRIVE||SPECIAL CITY|VT|33444|US||||||Y|Y|
1009.0|E3BF7DF9-F13F-F44F-0543-02052A3D55FF|1.0|1006.0|1.0|RM|7000 CATFISH PL||BLOOMINGTON|IN|47408|US||||||Y|Y|
1010.0|41B5D081-1753-797B-C824-6EA7E2ED010D|2.0|1007.0|0.0|PO|DOWNING STREET||LONDON|||UK||||||Y|Y|
1011.0|4EC632C7-85BF-183E-7456-B8BFD9720905|1.0|1008.0|0.0|RM|550 S HAMPTON DR||BLOOMINGTON|IN|47410|US||||||Y|Y|
1012.0|0CA5F0F5-EE60-65FE-05F7-80D91E461D2E|1.0|1008.0|0.0|RM|1000 SOUTH SHORE CT||BLOOMINGTON|IN|47407|US||||||N|Y|
1013.0|5C3DEE98-3092-938A-BD43-B574DB6E8B69|2.0|1009.0|0.0|PO|EIFFEL TOWER BLVD||PARIS||M3434J|FR||||||Y|Y|
1014.0|25FDA3D9-F497-C663-9A8B-536D59D0E6A2|2.0|1010.0|0.0|PO|3388 SOUTH STREET||WASHINGTON|KY|44999|US|||||888-555-0000|Y|Y|
1015.0|301D5AC0-3CA9-BFC7-74A4-01F568095407|1.0|1010.0|1.0|PO|8844 ADDRESS||A CITY|WI|33448|US||||||Y|Y|
1016.0|0518C7E1-9B0A-C02B-E653-C4E83FF21CDA|1.0|1010.0|2.0|PO|9988 8TH STREET||A PLACE IN THE SUN|CA|99888|US|||||888-555-0000|Y|Y|
1017.0|241A5C27-104D-E6DA-A9E8-70B17D62ED03|2.0|1011.0|0.0|PO|8876 S. STREET||A CITY|OH|99877|US||||||Y|Y|
1018.0|464D261D-9215-2806-686D-9CE565C2214D|2.0|1011.0|0.0|RM|9766 RUSSIA STREET||MOSCOW|--||RS||||||Y|Y|
1019.0|3E61BA2B-D03B-1A04-1249-5753E063D952|1.0|1012.0|0.0|RM|400 LAST STAND AVE||BLOOMINGTON|IN|47410|US||||||Y|Y|
1020.0|A18749ED-1E5F-8BB7-2460-F6E01EAC40A6|1.0|1013.0|0.0|RM|3030 W 10TH ST||BLOOMINGTON|IN|47408|US||||||Y|Y|
1021.0|78944849-2954-0C47-9BB9-293BFE9D51B7|2.0|1014.0|0.0|PO|8899 AWAHL STREET||IDAHO CITY|ID|33999|US||||||Y|Y|
1022.0|6483769E-F2BD-44F0-5AC6-F29635159668|2.0|1014.0|0.0|QT|8800 BROOK STREET||WYOMING CITY|WY|33888|US||||||Y|Y|
