vndr_hdr_gnrtd_id|vndr_dtl_asnd_id|obj_id|ver_nbr|vndr_parent_ind|vndr_nm|dobj_maint_cd_actv_ind|vndr_inactv_reas_cd|vndr_duns_nbr|vndr_pmt_term_cd|vndr_shp_ttl_cd|vndr_shp_pmt_term_cd|vndr_cnfm_ind|vndr_prpymt_ind|vndr_ccrd_ind|vndr_min_ord_amt|vndr_url_addr|vndr_sold_to_nm|vndr_rmt_nm|vndr_rstrc_ind|vndr_rstrc_reas_txt|vndr_rstrc_dt|vndr_rstrc_prsn_id|vndr_sold_to_gnrtd_id|vndr_sold_to_asnd_id|vndr_1st_lst_nm_ind|collect_tax_ind|
1000.0|0.0|8C3AE2E0-2002-9057-8962-D5D6D7A812ED|5.0|Y|ABC CLEANING SERVICES|Y|||00N30||||N|N|||BASIC CORP ACTIVE||N||||1003.0|0.0|N|Y|
1001.0|0.0|4F0DAAFD-0B35-7BB5-29A2-CFDA1E8C48E7|2.0|Y|KUALI UNIVERSITY|Y||002254837|00N30|||||||www.kualiu.edu|||N||||||N|Y|
1001.0|1.0|1CCB3086-B04C-DCDC-17E9-B123715BB336|2.0|N|VETERINARY COLLEGE|Y|||||||||||||||||||N|Y|
1001.0|2.0|45C13FFB-864C-876D-CCFE-2A4B1A4A9946|2.0|N|ART MUSEUM|Y|||||||||||||||||||N|Y|
1002.0|0.0|816BAE71-0927-BD01-F723-579D57218250|3.0|Y|MK CORPORATION ACTIVE|Y||334558446|00N30|DE|PD||||||||||||||N|Y|
1002.0|1.0|EFCEAF10-D034-49AD-AB99-72814E4D897D|1.0|N|DIVISION OF MARILYN CORPORATION|Y|||10D1T||||||||||||||||N|Y|
1003.0|0.0|3A186BC5-6746-BF6D-4FBD-575E0D615039|1.0|Y|BASIC CORP ACTIVE|Y|||||||||||||N||||||N|Y|
1004.0|0.0|5E35E734-51D4-6FE7-99CF-556006EDEBFF|2.0|Y|DEBARRED VENDOR|Y||778888665|20D10|DE|AL||||||||||||||N|Y|
1005.0|0.0|9E1B372B-5E6E-AFD6-BE8C-152D65A59D57|2.0|Y|RESTRICTED LEGAL SERVICES VENDOR|Y||888777666|05D10|SP|PD||||||||Y|This company sells restricted material|20070508000000|6162502038|||N|Y|
1006.0|0.0|60F4D993-1D5B-A1CD-72A1-2F530DDE76AC|1.0|Y|MULTIPLE COLLECTION CORP|Y|||||||||||||Y||20070508000000|6276904397|||N|Y|
1006.0|1.0|96B206C4-603D-8DF4-5B25-0A3FC06E4A51|1.0|N|SAMMY'S SURPLUS STORE|Y|||||||||||||||||||N|Y|
1007.0|0.0|423118FC-0C84-7DAC-796D-59E00A229418|2.0|Y|FOREIGN VENDOR NO TAX NUMBER|Y|||20D15||||||||||||||||N|Y|
1008.0|0.0|215DAF14-BB56-9800-10DC-9371EFABB15F|1.0|Y|SMITH, SALLY|Y|||||||||||||N||||||Y|Y|
1009.0|0.0|4B37D9AA-9DB9-82F8-00DD-27D187F8FA48|2.0|Y|FOREIGN VENDOR WITH TAX NUMBER|Y|||||||||||||||||||N|Y|
1010.0|0.0|D927E612-A6CD-5482-003A-611B6628C7BC|2.0|Y|BASIC VENDOR ESTATE/TRUST|Y|||||||||||||||||||N|Y|
1010.0|1.0|D19CB8D7-889D-295E-A10E-F173EC45FB04|1.0|N|DIVISION 1 OF PO BASIC|Y|||20D10||||||||||||||||N|Y|
1010.0|2.0|802DFB16-35E6-57ED-0C39-65EB3FD768D2|1.0|N|DIVISION 2 OF PO BASIC|Y||999999999|20D1T|DE|CL||||||||||||||N|Y|
1010.0|3.0|A7643F27-2469-CF71-99DD-E0620CBBDAE6|1.0|N|B2B CONTRACT VENDOR|Y|||||||||||||||||||N|Y|
1011.0|0.0|EB5FC2CE-488C-1780-252F-916E7FF3ADA2|2.0|Y|FOREIGN VENDOR RESTRICTED|Y|||||||||||||Y|Need to review what we are buying|20070508000000|6276904397|||N|Y|
1012.0|0.0|C9DB706E-A1E9-A8F0-BE8F-3EF1F0DE516A|1.0|Y|Direct Coffee|Y|||||||||||||Y|Restricted due to use of coffee beans.|20070508000000|6276904397|||N|Y|
1013.0|0.0|F29FF3AA-320E-8F26-3AB9-C7E92975208C|1.0|Y|JONES, JONATHAN|Y|||||||||||||||||||Y|Y|
1014.0|0.0|C245A5E6-D737-5A67-337D-5E097B1D85C4|2.0|Y|SMITH, MARILYN|Y|||||||||||||||||||Y|Y|
1014.0|1.0|A027AC8A-F566-613E-C28B-12F5E4A80EAD|2.0|N|DIVISION 1 OF MARILYN SMITH|Y|||10D11||||||||||||||||N|Y|
1014.0|2.0|E82E033F-5A67-F55C-5DCF-9759295A7685|2.0|N|SMITH, HOLLY|Y|||00N30||||||||||||||||Y|Y|
