attr_id|obj_id|ver_nbr|attr_nm|actv_ind|
1.0|9D607BF313ECA2E0E040007F01005D95|1.0|Account|Y|
2.0|9D607BF313EDA2E0E040007F01005D95|1.0|Chart|Y|
3.0|9D607BF313EEA2E0E040007F01005D95|1.0|Chart-Descend Hierarchy|Y|
4.0|9D607BF313EFA2E0E040007F01005D95|1.0|Object|Y|
5.0|9D607BF313F0A2E0E040007F01005D95|1.0|Object Level|Y|
6.0|9D607BF313F1A2E0E040007F01005D95|1.0|Organization|Y|
7.0|9D607BF313F2A2E0E040007F01005D95|1.0|Organization-Descend Hierarchy|Y|
8.0|9D607BF313F3A2E0E040007F01005D95|1.0|Principal Investigator|Y|
9.0|9D607BF313F4A2E0E040007F01005D95|1.0|Project Code|Y|
10.0|9D607BF313F5A2E0E040007F01005D95|1.0|Sub Account|Y|
