univ_fiscal_yr|univ_fiscal_prd_cd|obj_id|ver_nbr|univ_fiscal_prd_nm|row_actv_ind|bdgt_rollover_cd|univ_fscpd_end_dt|
2008.0|01|682B40E65636B493E0404F8189D85FDE|1.0|JULY 2008|Y|N|20070731000000|
2008.0|02|682B40E65637B493E0404F8189D85FDE|1.0|AUG. 2008|Y|N|20070831000000|
2008.0|03|682B40E65638B493E0404F8189D85FDE|1.0|SEPT. 2008|Y|N|20070930000000|
2008.0|04|682B40E65639B493E0404F8189D85FDE|1.0|OCT. 2008|Y|N|20071031000000|
2008.0|05|682B40E6563AB493E0404F8189D85FDE|1.0|NOV. 2008|Y|N|20071130000000|
2008.0|06|682B40E6563BB493E0404F8189D85FDE|1.0|DEC. 2008|Y|N|20071231000000|
2008.0|07|682B40E6563CB493E0404F8189D85FDE|1.0|JAN. 2009|Y|N|20080131000000|
2008.0|08|682B40E6563DB493E0404F8189D85FDE|1.0|FEB. 2009|Y|N|20080228000000|
2008.0|09|682B40E6563EB493E0404F8189D85FDE|1.0|MAR. 2009|Y|N|20080331000000|
2008.0|10|682B40E6563FB493E0404F8189D85FDE|1.0|APR. 2009|Y|N|20080430000000|
2008.0|11|682B40E65640B493E0404F8189D85FDE|1.0|MAY 2009|Y|N|20080531000000|
2008.0|12|682B40E65641B493E0404F8189D85FDE|1.0|JUNE 2009|Y|N|20080630000000|
2008.0|13|682B40E65642B493E0404F8189D85FDE|1.0|CLOSING 09|Y|N|20080630000000|
2008.0|AB|682B40E65643B493E0404F8189D85FDE|1.0|ANNUAL BAL|Y|N|20080630000000|
2008.0|BB|682B40E65644B493E0404F8189D85FDE|1.0|BEG. BAL.|Y|N|20080630000000|
2008.0|CB|682B40E65645B493E0404F8189D85FDE|1.0|CG BEG BAL|Y|N|20080630000000|
2009.0|01|1D22EC78-AC31-0736-57D7-A2D3C3A606A0|2.0|JULY 2008|Y|N|20080731000000|
2009.0|02|CCEF8A7F-BA44-B195-2090-0A94644C6450|2.0|AUG. 2008|Y|N|20080831000000|
2009.0|03|78AC3178-7623-D5AE-64DC-50D31DBF8204|2.0|SEPT. 2008|Y|N|20080930000000|
2009.0|04|210EB0AE-3F10-EDED-7219-A24DD5C810EF|2.0|OCT. 2008|Y|N|20081031000000|
2009.0|05|BC5E7A9B-85FB-2F71-37D8-9A015697E3F5|2.0|NOV. 2008|Y|N|20081130000000|
2009.0|06|6282A7D5-A516-BB6F-CE79-30635AB6D719|2.0|DEC. 2008|Y|N|20081231000000|
2009.0|07|E8E29420-6850-A781-6D8C-381394746267|2.0|JAN. 2009|Y|N|20090131000000|
2009.0|08|060F7636-C7C2-A2A3-3BE6-5CC328D909ED|2.0|FEB. 2009|Y|N|20090228000000|
2009.0|09|F4B6EAFA-CBAE-B3DA-92DE-43E4BC198FAF|2.0|MAR. 2009|Y|N|20090331000000|
2009.0|10|59DC0C87-E00C-6532-08E6-90756A882660|2.0|APR. 2009|Y|N|20090430000000|
2009.0|11|10BF7014-D102-E66D-B348-2F2CCCDA51EB|2.0|MAY 2009|Y|N|20090531000000|
2009.0|12|E405438D-F824-4CAD-A1E2-4B4AFB3C3A5C|2.0|JUNE 2009|Y|N|20090630000000|
2009.0|13|C8124C78-FEA4-3003-E25C-08AEFA6ED978|2.0|CLOSING 09|Y|N|20090630000000|
2009.0|AB|32BA8CF0-F600-500B-FEEC-266CA8646B3B|2.0|ANNUAL BAL|Y|N|20090630000000|
2009.0|BB|8B3321D1-718E-DA3A-0CBA-12C5E438DF7B|2.0|BEG. BAL.|Y|N|20090630000000|
2009.0|CB|D4BDA6B7-5887-05A8-D581-06B76173FB1C|2.0|CG BEG BAL|Y|N|20090630000000|
2010.0|01|FC746245-A148-C2CE-52DE-830AED94D4E7|3.0|JULY 2009|Y|N|20090731000000|
2010.0|02|6626708F-9E10-09AE-70C6-1E95BD7AB59D|3.0|AUG. 2009|Y|N|20090831000000|
2010.0|03|521C53D9-E14C-2CD2-B8EA-F6A118351DC5|3.0|SEPT. 2009|Y|N|20090930000000|
2010.0|04|6CDFE75A-89FD-A5B8-714D-CB0309758563|3.0|OCT. 2009|Y|N|20091031000000|
2010.0|05|A7225187-1859-1F82-6BF6-F5EF10557E4F|3.0|NOV. 2009|Y|N|20091130000000|
2010.0|06|506D04BD-716E-1411-3779-4AA2A137801D|3.0|DEC. 2009|Y|N|20091231000000|
2010.0|07|1F4367C6-E1BD-3D1A-11BA-7700815DE206|3.0|JAN. 2010|Y|N|20100131000000|
2010.0|08|6CE1D322-2B64-2040-ED83-FB90C9834C85|3.0|FEB. 2010|Y|N|20100228000000|
2010.0|09|3DC9C05A-395C-7189-D185-ECE220816E43|3.0|MAR. 2010|Y|N|20100331000000|
2010.0|10|0F1E2F94-A8F5-66E1-1325-D806A3A0D262|3.0|APR. 2010|Y|N|20100430000000|
2010.0|11|635D70E6-BE84-311F-A81D-5E9BBADFFFCF|3.0|MAY 2010|Y|N|20100531000000|
2010.0|12|A0091248-1B9F-BA9A-97BD-D1C17BD8CA84|3.0|JUNE 2010|Y|N|20100630000000|
2010.0|13|AD5564AE-67F7-5CE9-1213-9059030F86A8|3.0|CLOSING 10|Y|N|20100630000000|
2010.0|AB|A58C506F-75EC-61B4-0E0C-72EAA27C0230|3.0|ANNUAL BAL|Y|N|20100630000000|
2010.0|BB|306CAB2B-8BD5-10F2-D4C5-762E84CB138B|3.0|BEG. BAL.|Y|N|20100630000000|
2010.0|CB|210AC393-3245-16B3-F506-5DD6769B8E09|3.0|CG BEG BAL|Y|N|20100630000000|
2011.0|01|2AAC5585-2E2E-9FD0-F4A6-4E868B3C49CE|3.0|JULY 2010|Y|N|20100731000000|
2011.0|02|857C3B09-087A-CD9A-D367-AE614EC390B7|3.0|AUG. 2010|Y|N|20100831000000|
2011.0|03|21C2F593-0B69-172F-608D-FF36EA0F5A60|3.0|SEPT. 2010|Y|N|20100930000000|
2011.0|04|E16F3281-FFEC-001D-1C03-37771C05F418|3.0|OCT. 2010|Y|N|20101031000000|
2011.0|05|3FE47B42-BF20-3741-B1B9-73E0F24444BA|3.0|NOV. 2010|Y|N|20101130000000|
2011.0|06|0AB9130A-0477-8B60-EAE3-BD803460C6A0|3.0|DEC. 2010|Y|N|20101231000000|
2011.0|07|FD4E2EFD-FF93-696C-6DA4-6E1B0A7DC575|3.0|JAN. 2011|Y|N|20110131000000|
2011.0|08|6297456F-2AD2-3DA8-21EE-FE1B9A6DEB48|3.0|FEB. 2011|Y|N|20110228000000|
2011.0|09|2015CE9C-4064-039C-C98D-A3E97B92493F|3.0|MAR. 2011|Y|N|20110331000000|
