campus_cd|bldg_cd|obj_id|ver_nbr|bldg_nm|bldg_str_addr|bldg_addr_cty_nm|bldg_addr_st_cd|bldg_addr_zip_cd|altrnt_bldg_cd|row_actv_ind|bldg_addr_cntry_cd|
BL|BL001|440146BC1FC980DAE043814FD88180DA|1.0|Law|211 S Indiana Ave|Bloomington|IN|47405-7001||Y|US|
BL|BL009|440146BC1FCA80DAE043814FD88180DA|1.0|Poplars Parking|6th St & Dunn St|Bloomington|IN|47405||Y|US|
BL|BL009C|440146BC1FCB80DAE043814FD88180DA|1.0|International Programs|201 N Indiana Ave|Bloomington|IN|47408-4001||Y|US|
BL|BL011|440146BC1FCC80DAE043814FD88180DA|1.0|Mathers Museum|601 E 8th St|Bloomington|IN|47408-3812||Y|US|
BL|BL011K|440146BC1FCD80DAE043814FD88180DA|1.0|CRAFT|419 N Indiana Ave|Bloomington|IN|47408-3741||Y|US|
BL|BL013|440146BC1FCE80DAE043814FD88180DA|1.0|Glenn Black Lab|423 N Fess Ave|Bloomington|IN|47408-3800||Y|US|
BL|BL013A|440146BC1FCF80DAE043814FD88180DA|1.0|Student Legal Services|703 E 7th St|Bloomington|IN|47408-3836||Y|US|
BL|BL013B|440146BC1FD080DAE043814FD88180DA|1.0|Student Ethics/Alcohol-Drug Info Center|705 E 7th St|Bloomington|IN|47408-3836||Y|US|
BL|BL013Y|440146BC1FD180DAE043814FD88180DA|1.0|Latino Cultural Center|715 E 7th St|Bloomington|IN|47408-3836||Y|US|
BL|BL014B|440146BC1FD280DAE043814FD88180DA|1.0|701 E 8th St|701 E 8th St|Bloomington|IN|47408-3840||Y|US|
BL|BL014K|440146BC1FD380DAE043814FD88180DA|1.0|American Indian Studies|422 N Indiana Ave|Bloomington|IN|47408-3742||Y|US|
BL|BL014N|440146BC1FD480DAE043814FD88180DA|1.0|521 N Park Ave|521 N Park Ave|Bloomington|IN|47408-3829||Y|US|
BL|BL017|440146BC1FD580DAE043814FD88180DA|1.0|Student Building|701 E Kirkwood Ave|Bloomington|IN|47405-7100||Y|US|
BL|BL021|440146BC1FD680DAE043814FD88180DA|1.0|Kirkwood Observatory|119 S Indiana Ave|Bloomington|IN|47405-7000||Y|US|
BL|BL025A|440146BC1FD780DAE043814FD88180DA|1.0|630 E 3rd St|630 E 3rd St|Bloomington|IN|47405-3602||Y|US|
BL|BL025B|440146BC1FD880DAE043814FD88180DA|1.0|Poynter Center|618 E 3rd St|Bloomington|IN|47405-3602||Y|US|
BL|BL025G|440146BC1FD980DAE043814FD88180DA|1.0|Law Clinic|624 E 3rd St|Bloomington|IN|47405-3602||Y|US|
BL|BL027|440146BC1FDA80DAE043814FD88180DA|1.0|Swain West|727 E 3rd St|Bloomington|IN|47405-7105||Y|US|
BL|BL037B|440146BC1FDB80DAE043814FD88180DA|1.0|712 E 8th St|712 E 8th St|Bloomington|IN|47408-3841||Y|US|
BL|BL041A|440146BC1FDC80DAE043814FD88180DA|1.0|801 E 9th St|801 E 9th St|Bloomington|IN|47408-3805||Y|US|
BL|BL044|440146BC1FDD80DAE043814FD88180DA|1.0|McCalla|525 E 9th St|Bloomington|IN|47408||Y|US|
BL|BL044B|440146BC1FDE80DAE043814FD88180DA|1.0|501 N Park Ave|501 N Park Ave|Bloomington|IN|47405||Y|US|
BL|BL044D|440146BC1FDF80DAE043814FD88180DA|1.0|Political Theory|513 N Park Ave|Bloomington|IN|47408-3895||Y|US|
BL|BL044E|440146BC1FE080DAE043814FD88180DA|1.0|515 N Park Ave|515 N Park Ave|Bloomington|IN|47408-3829||Y|US|
BL|BL044H|440146BC1FE180DAE043814FD88180DA|1.0|Knee-High Daycare|702 E Cottage Gr|Bloomington|IN|47408-3816||Y|US|
BL|BL044M|440146BC1FE280DAE043814FD88180DA|1.0|CRCC|510-512 N Fess Ave|Bloomington|IN|47408-3822||Y|US|
BL|BL044N|440146BC1FE380DAE043814FD88180DA|1.0|506-508 N Fess Ave|506-508 N Fess Ave|Bloomington|IN|47408-3822||Y|US|
BL|BL044P|440146BC1FE480DAE043814FD88180DA|1.0|Folklore|504 N Fess Ave|Bloomington|IN|47408-3822||Y|US|
BL|BL044R|440146BC1FE580DAE043814FD88180DA|1.0|Sunflower Daycare|508 E 9th St|Bloomington|IN|47408-3603||Y|US|
BL|BL044T|440146BC1FE680DAE043814FD88180DA|1.0|505 N Park Ave|505 N Park Ave|Bloomington|IN|47408-3829||Y|US|
BL|BL047A|440146BC1FE780DAE043814FD88180DA|1.0|809 E 9th St|809 E 9th St|Bloomington|IN|47408-3842||Y|US|
BL|BL049A|440146BC1FE880DAE043814FD88180DA|1.0|825 E 8th St|825 E 8th St|Bloomington|IN|47408-3842||Y|US|
BL|BL049B|440146BC1FE980DAE043814FD88180DA|1.0|815-819 E 8th St|815-819 E 8th St|Bloomington|IN|47408-3842||Y|US|
BL|BL049C|440146BC1FEA80DAE043814FD88180DA|1.0|809 E 8th St|809 E 8th St|Bloomington|IN|47408-3842||Y|US|
BL|BL049D|440146BC1FEB80DAE043814FD88180DA|1.0|803 E 8th St|803 E 8th St|Bloomington|IN|47408-3842||Y|US|
BL|BL049E|440146BC1FEC80DAE043814FD88180DA|1.0|402 N Park|402 N Park Ave|Bloomington|IN|47408-3828||Y|US|
BL|BL049F|440146BC1FED80DAE043814FD88180DA|1.0|410 N Park|410 N Park Ave|Bloomington|IN|47408-3828||Y|US|
BL|BL049H|440146BC1FEE80DAE043814FD88180DA|1.0|309 N Woodlawn Ave|309 N Woodlawn Ave|Bloomington|IN|47405||Y|US|
BL|BL050C|440146BC1FEF80DAE043814FD88180DA|1.0|Harris House|801 E 7th St|Bloomington|IN|47405-3937||Y|US|
BL|BL053|440146BC1FF080DAE043814FD88180DA|1.0|IN Memorial Union|900 E 7th St|Bloomington|IN|47405-3905||Y|US|
BL|BL055|440146BC1FF180DAE043814FD88180DA|1.0|Owen Hall|790 E Kirkwood Ave|Bloomington|IN|47405-7101||Y|US|
BL|BL057|440146BC1FF280DAE043814FD88180DA|1.0|Wylie Hall|100 S Woodlawn Ave|Bloomington|IN|47405-7104||Y|US|
BL|BL058|440146BC1FF380DAE043814FD88180DA|1.0|Kirkwood Hall|130 S Woodlawn Ave|Bloomington|IN|47405-7104||Y|US|
BL|BL059|440146BC1FF480DAE043814FD88180DA|1.0|Lindley Hall|150 S Woodlawn Ave|Bloomington|IN|47405-7104||Y|US|
BL|BL061|440146BC1FF580DAE043814FD88180DA|1.0|Swain East|729 E 3rd St|Bloomington|IN|47405-7105||Y|US|
BL|BL062|440146BC1FF680DAE043814FD88180DA|1.0|Opto Clinic (New)|744 E 3rd St|Bloomington|IN|47401||Y|US|
BL|BL063|440146BC1FF780DAE043814FD88180DA|1.0|Henderson-Atwater Parking Garage|310 S Fess Ave|Bloomington|IN|47401||Y|US|
BL|BL063L|440146BC1FF880DAE043814FD88180DA|1.0|720 E Atwater Ave|720 E Atwater Ave|Bloomington|IN|47401-3634||Y|US|
BL|BL063M|440146BC1FF980DAE043814FD88180DA|1.0|722 E Atwater Ave|722 E Atwater Ave|Bloomington|IN|47401-3634||Y|US|
BL|BL065B|440146BC1FFA80DAE043814FD88180DA|1.0|Military Science|814 E 3rd St|Bloomington|IN|47405-3657||Y|US|
BL|BL066|440146BC1FFB80DAE043814FD88180DA|1.0|Classroom-Office Building|800 E 3rd St|Bloomington|IN|47405-3657||Y|US|
BL|BL067|440146BC1FFC80DAE043814FD88180DA|1.0|Rawles Hall|831 E 3rd St|Bloomington|IN|47405-7106||Y|US|
BL|BL069|440146BC1FFD80DAE043814FD88180DA|1.0|Atwater Parking|925 E Atwater Ave|Bloomington|IN|47405||Y|US|
BL|BL070|440146BC1FFE80DAE043814FD88180DA|1.0|Simon Hall (Science)|212 S Hawthorne Dr|Bloomington|IN|47405-7003||Y|US|
BL|BL071|440146BC1FFF80DAE043814FD88180DA|1.0|Chemistry|800 E Kirkwood Ave|Bloomington|IN|47405-7102||Y|US|
BL|BL072|440146BC200080DAE043814FD88180DA|1.0|Chemistry Addition|800 E Kirkwood Ave|Bloomington|IN|47405-7102||Y|US|
BL|BL075|440146BC200180DAE043814FD88180DA|1.0|Ernie Pyle Hall|940 E 7th St|Bloomington|IN|47405-7108||Y|US|
BL|BL091|440146BC200280DAE043814FD88180DA|1.0|Wildermuth Gym|1025 E 7th St|Bloomington|IN|47405-7109||Y|US|
BL|BL101|440146BC200380DAE043814FD88180DA|1.0|Myers Hall|915 E 3rd St|Bloomington|IN|47405-7107||Y|US|
BL|BL109|440146BC200480DAE043814FD88180DA|1.0|Goodbody Hall|1011 E 3rd St|Bloomington|IN|47405-7005||Y|US|
BL|BL111|440146BC200580DAE043814FD88180DA|1.0|Ballantine Hall|1020 E Kirkwood Ave|Bloomington|IN|47405-7103||Y|US|
BL|BL119|440146BC200680DAE043814FD88180DA|1.0|HPER Building|1025 E 7th St|Bloomington|IN|47405-7109||Y|US|
BL|BL133|440146BC200780DAE043814FD88180DA|1.0|Woodburn Hall|1100 E 7th St|Bloomington|IN|47405-7110||Y|US|
BL|BL139|440146BC200880DAE043814FD88180DA|1.0|Morrison Hall|1165 E 3rd St|Bloomington|IN|47405-3700||Y|US|
BL|BL141|440146BC200980DAE043814FD88180DA|1.0|Memorial Hall|1021 E 3rd St|Bloomington|IN|47405-7005||Y|US|
BL|BL143|440146BC200A80DAE043814FD88180DA|1.0|Music Practice|1124 E 3rd St|Bloomington|IN|47405||Y|US|
BL|BL143C|440146BC200B80DAE043814FD88180DA|1.0|Social Research|1022 E 3rd St|Bloomington|IN|47401-3779||Y|US|
BL|BL147|440146BC200C80DAE043814FD88180DA|1.0|Merrill Hall|1201 E 3rd St|Bloomington|IN|47405-7006||Y|US|
BL|BL148|440146BC200D80DAE043814FD88180DA|1.0|Music Addition|1201 E 3rd St|Bloomington|IN|47405-7006||Y|US|
BL|BL149|440146BC200E80DAE043814FD88180DA|1.0|Sycamore Hall|1033 E 3rd St|Bloomington|IN|47405-7005||Y|US|
BL|BL153|440146BC200F80DAE043814FD88180DA|1.0|Art Museum|1133 E 7th St|Bloomington|IN|47405-7509||Y|US|
BL|BL155|440146BC201080DAE043814FD88180DA|1.0|Lilly Library|1200 E 7th St|Bloomington|IN|47405-5500||Y|US|
BL|BL157|440146BC201180DAE043814FD88180DA|1.0|Fine Arts|1201 E 7th St|Bloomington|IN|47405-5501||Y|US|
BL|BL158|440146BC201280DAE043814FD88180DA|1.0|Radio-TV|1229 E 7th St|Bloomington|IN|47405-5501||Y|US|
BL|BL161C|440146BC201380DAE043814FD88180DA|1.0|Arboretum|Arboretum|Bloomington|IN|47405||Y|US|
BL|BL165|440146BC201480DAE043814FD88180DA|1.0|Lecture Hall IUB|445 N Jordan Ave|Bloomington|IN|47405||Y|US|
BL|BL171|440146BC201580DAE043814FD88180DA|1.0|Auditorium|1211 E 7th St|Bloomington|IN|47405-5501||Y|US|
BL|BL172|440146BC201680DAE043814FD88180DA|1.0|Lee Norvelle Theatre Drama/ Neal&Mars|275 N Jordan Ave|Bloomington|IN|47405-1101||Y|US|
BL|BL177|440146BC201780DAE043814FD88180DA|1.0|Musical Arts Center|101 N Jordan Ave|Bloomington|IN|47406-1101||Y|US|
BL|BL181|440146BC201880DAE043814FD88180DA|1.0|Simon Msc Lbr Rec|200 S Jordan Ave|Bloomington|IN|47405-7002||Y|US|
BL|BL197D|440146BC201980DAE043814FD88180DA|1.0|Student Academic Center|316 N Jordan Ave|Bloomington|IN|47405-7513||Y|US|
BL|BL199|440146BC201A80DAE043814FD88180DA|1.0|Jordan Ave Parking|150 N Jordan Ave|Bloomington|IN|47406-1102||Y|US|
BL|BL207A|440146BC201B80DAE043814FD88180DA|1.0|Honors College (Edward L. Hutton)|324 N Jordan Ave|Bloomington|IN|47405-7513||Y|US|
BL|BL207B|440146BC201C80DAE043814FD88180DA|1.0|326 N Jordan Ave|326 N Jordan Ave|Bloomington|IN|47405-7513||Y|US|
BL|BL209|440146BC201D80DAE043814FD88180DA|1.0|Wells Library|1320 E 10th St|Bloomington|IN|47405-3907||Y|US|
BL|BL215A|440146BC201E80DAE043814FD88180DA|1.0|International Center|111 S Jordan Ave|Bloomington|IN|47405-7709||Y|US|
BL|BL245|440146BC201F80DAE043814FD88180DA|1.0|Wendell W. Wright|201 N Rose Ave|Bloomington|IN|47405-1005||Y|US|
BL|BL246|440146BC202080DAE043814FD88180DA|1.0|BW EE Outhouse|5040 SR 67 N|Martinsville|IN|46151-8995||Y|US|
BL|BL271|440146BC202180DAE043814FD88180DA|1.0|Weatherly Hall|400 N Sunrise Dr|Bloomington|IN|47405||Y|US|
BL|BL281|440146BC202280DAE043814FD88180DA|1.0|Mottier Hall|1790 E 10th St|Bloomington|IN|47405-3900||Y|US|
BL|BL314|440146BC202380DAE043814FD88180DA|1.0|Union St Parking Garage||Bloomington|IN|47405||Y|US|
BL|BL320|440146BC202480DAE043814FD88180DA|1.0|Theatre Studio|306 N Union St|Bloomington|IN|47405-3888||Y|US|
BL|BL324W|440146BC202580DAE043814FD88180DA|1.0|111 N Bryan Ave|111 N Bryan Ave|Bloomington|IN|47408-4140||Y|US|
BL|BL401C|440146BC202680DAE043814FD88180DA|1.0|Asian Culture Center|807 E 10th St|Bloomington|IN|47408-3911||Y|US|
BL|BL401G|440146BC202780DAE043814FD88180DA|1.0|611 N Woodlawn Ave|611 N Woodlawn Ave|Bloomington|IN|47408-3934||Y|US|
BL|BL404C|440146BC202880DAE043814FD88180DA|1.0|Monroe Hall|757 N Forrest Ave|Bloomington|IN|47408||Y|US|
BL|BL404D|440146BC202980DAE043814FD88180DA|1.0|Morgan Hall|909 E 11th St|Bloomington|IN|47408-3953||Y|US|
BL|BL405D|440146BC202A80DAE043814FD88180DA|1.0|Geol. Material Test|915 E 11th St|Bloomington|IN|47408-3953||Y|US|
BL|BL409|440146BC202B80DAE043814FD88180DA|1.0|Univ. Press Warehouse|802 E 13th St|Bloomington|IN|47408-2101||Y|US|
BL|BL411B|440146BC202C80DAE043814FD88180DA|1.0|Echo Chamber|1004 E 13th St|Bloomington|IN|47408-2116||Y|US|
BL|BL411C|440146BC202D80DAE043814FD88180DA|1.0|Anechoic Lab|1004 E 13th St|Bloomington|IN|47408-2116||Y|US|
BL|BL411E|440146BC202E80DAE043814FD88180DA|1.0|1010 E 13th St|1010 E 13th St|Bloomington|IN|47408-2116||Y|US|
BL|BL411M|440146BC202F80DAE043814FD88180DA|1.0|Modular Lab|1014 E 13th St|Bloomington|IN|47408-2116||Y|US|
BL|BL413|440146BC203080DAE043814FD88180DA|1.0|Arts Annex|1026 E 11th St|Bloomington|IN|47405||Y|US|
BL|BL413A|440146BC203180DAE043814FD88180DA|1.0|Graduate Printmaking|830 N Forrest Ave|Bloomington|IN|47408||Y|US|
BL|BL417|440146BC203280DAE043814FD88180DA|1.0|Geological Sciences|1001 E 10th St|Bloomington|IN|47405-1405||Y|US|
BL|BL418|440146BC203380DAE043814FD88180DA|1.0|Geological Survey|611 N Walnut Grove|Bloomington|IN|47405-2208||Y|US|
BL|BL448|440146BC203480DAE043814FD88180DA|1.0|Fee Lane Pkg Garage|709 N Fee Ln|Bloomington|IN|47405||Y|US|
BL|BL450|440146BC203580DAE043814FD88180DA|1.0|Godfrey Grad&Exec Ed Ctr|1275 E 10th St|Bloomington|IN|47405-1703||Y|US|
BL|BL451|440146BC203680DAE043814FD88180DA|1.0|Business School|1309 E 10th St|Bloomington|IN|47405-1701||Y|US|
BL|BL452|440146BC203780DAE043814FD88180DA|1.0|SPEA|1315 E 10th St|Bloomington|IN|47405-1701||Y|US|
