campus_cd|bldg_cd|bldg_room_nbr|obj_id|ver_nbr|bldg_room_type|bldg_room_dept|bldg_room_desc|row_actv_ind|
BL|BL001|001|44017F9CD71F80D6E043814FD88180D6|1.0|STUDENT LOUNGE|LAW|STUDENT LOUNGE|Y|
BL|BL001|001A|44017F9CD72080D6E043814FD88180D6|1.0|KITCHENETTE|LAW|LOUNGE SERVICE|Y|
BL|BL001|001B|44017F9CD72180D6E043814FD88180D6|1.0|VENDING\MAILBOXES|LAW|MERCHANDISING|Y|
BL|BL001|001C|44017F9CD72280D6E043814FD88180D6|1.0|QUIET LOUNGE|LAW|STUDENT LOUNGE|Y|
BL|BL001|003|44017F9CD72380D6E043814FD88180D6|1.0|STUDENT ORGANIZATION|LAW|OFFICE OTHER|Y|
BL|BL001|004|44017F9CD72480D6E043814FD88180D6|1.0|BOOKSTORE STORAGE|LAW|MERCHANDISING|Y|
BL|BL001|005|44017F9CD72580D6E043814FD88180D6|1.0|STUDENT ORGANIZATION|LAW|OFFICE OTHER|Y|
BL|BL001|006|44017F9CD72680D6E043814FD88180D6|1.0|STACKS|LAW LIBRARY|LIBRARY COLLECTION|Y|
BL|BL001|008|44017F9CD72780D6E043814FD88180D6|1.0|CUSTODIAL OFFICE|BUILDING SERVICES|ADMIN. OFFICE|Y|
BL|BL001|009|44017F9CD72880D6E043814FD88180D6|1.0|LAW JOURNAL|LAW|OPEN LAB|Y|
BL|BL001|009A|44017F9CD72980D6E043814FD88180D6|1.0|LAW JOURNAL|LAW|OPEN LAB|Y|
BL|BL001|009E|44017F9CD72A80D6E043814FD88180D6|1.0|LAW JOURNAL|LAW|OPEN LAB|Y|
BL|BL001|009F|44017F9CD72B80D6E043814FD88180D6|1.0|JOURNAL BUS MANAGER|LAW|SUPPORT STAFF OFFICE|Y|
BL|BL001|009G|44017F9CD72C80D6E043814FD88180D6|1.0|JOURNAL EDITORS|LAW|OPEN LAB|Y|
BL|BL001|009H|44017F9CD72D80D6E043814FD88180D6|1.0|JOURNAL ED-IN-CHIEF|LAW|OFFICE OTHER|Y|
BL|BL001|010|44017F9CD72E80D6E043814FD88180D6|1.0|STUDENT ORGANIZATION|LAW|OFFICE OTHER|Y|
BL|BL001|011|44017F9CD72F80D6E043814FD88180D6|1.0|STUDENT ORGANIZATION|LAW|OFFICE OTHER|Y|
BL|BL001|014|44017F9CD73080D6E043814FD88180D6|1.0|STUDENT LOCKERS|LAW|STUDY SERVICE|Y|
BL|BL001|016|44017F9CD73180D6E043814FD88180D6|1.0|CAREER SERVICES|LAW|OFFICE OTHER|Y|
BL|BL001|016A|44017F9CD73280D6E043814FD88180D6|1.0|INTERVIEW OFFICE|LAW|OFFICE OTHER|Y|
BL|BL001|016B|44017F9CD73380D6E043814FD88180D6|1.0|CAREER SERVICES|LAW|ADMIN. OFFICE|Y|
BL|BL001|016C|44017F9CD73480D6E043814FD88180D6|1.0|CAREER SERVICES|LAW|ADMIN. OFFICE|Y|
BL|BL001|016D|44017F9CD73580D6E043814FD88180D6|1.0|FINANCIAL AID|LAW|ADMIN. OFFICE|Y|
BL|BL001|018|44017F9CD73680D6E043814FD88180D6|1.0|ALCOVE|GENERAL BUILDING SPACE|HALLWAY|Y|
BL|BL001|019|44017F9CD73780D6E043814FD88180D6|1.0|FCLJ|LAW|OPEN LAB|Y|
BL|BL001|019A|44017F9CD73880D6E043814FD88180D6|1.0|FCLJ|LAW|OFFICE OTHER|Y|
BL|BL001|019B|44017F9CD73980D6E043814FD88180D6|1.0|FCLJ|LAW|OFFICE OTHER|Y|
BL|BL001|020|44017F9CD73A80D6E043814FD88180D6|1.0|CAREER SERVICES|LAW|SUPPORT STAFF OFFICE|Y|
BL|BL001|020A|44017F9CD73B80D6E043814FD88180D6|1.0|CAREER SERVICES|LAW|OFFICE SERVICE|Y|
BL|BL001|020B|44017F9CD73C80D6E043814FD88180D6|1.0|CAREER SERVICES|LAW|ADMIN. OFFICE|Y|
BL|BL001|022|44017F9CD73D80D6E043814FD88180D6|1.0|RECORDER|LAW|SUPPORT STAFF OFFICE|Y|
BL|BL001|022A|44017F9CD73E80D6E043814FD88180D6|1.0|FILES|LAW|OFFICE SERVICE|Y|
BL|BL001|022B|44017F9CD73F80D6E043814FD88180D6|1.0|RECORDER|LAW|SUPPORT STAFF OFFICE|Y|
BL|BL001|022C|44017F9CD74080D6E043814FD88180D6|1.0|CLOSET|LAW|OFFICE SERVICE|Y|
BL|BL001|024|44017F9CD74180D6E043814FD88180D6|1.0|DIRECTOR OF STUDENT AFFAIRS|LAW|SUPPORT STAFF OFFICE|Y|
BL|BL001|024A|44017F9CD74280D6E043814FD88180D6|1.0|CLOSET|LAW|OFFICE SERVICE|Y|
BL|BL001|024B|44017F9CD74380D6E043814FD88180D6|1.0|STUDENT AFFAIRS|LAW|ADMIN. OFFICE|Y|
BL|BL001|024C|44017F9CD74480D6E043814FD88180D6|1.0|CLOSET|LAW|OFFICE SERVICE|Y|
BL|BL001|088|44017F9CD74580D6E043814FD88180D6|1.0|CLOSET|GENERAL BUILDING SPACE|HALLWAY|Y|
BL|BL001|089|44017F9CD74680D6E043814FD88180D6|1.0|DOCK|GENERAL BUILDING SPACE|SHIPPING DOCK|Y|
BL|BL001|090|44017F9CD74780D6E043814FD88180D6|1.0||GENERAL BUILDING SPACE|SHIPPING DOCK|Y|
BL|BL001|090L|44017F9CD74880D6E043814FD88180D6|1.0|ELEVATOR|GENERAL BUILDING SPACE|ELEVATOR|Y|
BL|BL001|091|44017F9CD74980D6E043814FD88180D6|1.0|MACHINE ROOM|GENERAL BUILDING SPACE|MACHINE ROOM|Y|
BL|BL001|091A|44017F9CD74A80D6E043814FD88180D6|1.0|MID S MACH RM|GENERAL BUILDING SPACE|MACHINE ROOM|Y|
BL|BL001|091B|44017F9CD74B80D6E043814FD88180D6|1.0|MID S MACH RM|GENERAL BUILDING SPACE|MACHINE ROOM|Y|
BL|BL001|091C|44017F9CD74C80D6E043814FD88180D6|1.0|CUSTODIAL CLOSET|GENERAL BUILDING SPACE|JANITOR ROOM|Y|
BL|BL001|092|44017F9CD74D80D6E043814FD88180D6|1.0|CUSTODIAL|GENERAL BUILDING SPACE|JANITOR ROOM|Y|
BL|BL001|093|44017F9CD74E80D6E043814FD88180D6|1.0|MEN|GENERAL BUILDING SPACE|TOILET ROOM|Y|
BL|BL001|094|44017F9CD74F80D6E043814FD88180D6|1.0|CUSTODIAL|GENERAL BUILDING SPACE|JANITOR ROOM|Y|
BL|BL001|095|44017F9CD75080D6E043814FD88180D6|1.0|WOMEN|GENERAL BUILDING SPACE|TOILET ROOM|Y|
BL|BL001|095A|44017F9CD75180D6E043814FD88180D6|1.0|ENTRY|GENERAL BUILDING SPACE|TOILET ROOM|Y|
BL|BL001|096|44017F9CD75280D6E043814FD88180D6|1.0|CUSTODIAL CLOSET|GENERAL BUILDING SPACE|JANITOR ROOM|Y|
BL|BL001|097|44017F9CD75380D6E043814FD88180D6|1.0|CUSTODIAL CLOSET|GENERAL BUILDING SPACE|JANITOR ROOM|Y|
BL|BL001|098|44017F9CD75480D6E043814FD88180D6|1.0|LIBR AREA MACH RM|GENERAL BUILDING SPACE|MACHINE ROOM|Y|
BL|BL001|098A|44017F9CD75580D6E043814FD88180D6|1.0|LIBR AREA MACH RM|GENERAL BUILDING SPACE|MACHINE ROOM|Y|
BL|BL001|099|44017F9CD75680D6E043814FD88180D6|1.0|EAST/WEST HALLWAY|GENERAL BUILDING SPACE|HALLWAY|Y|
BL|BL001|099A|44017F9CD75780D6E043814FD88180D6|1.0|HALLWAY|GENERAL BUILDING SPACE|HALLWAY|Y|
BL|BL001|099B|44017F9CD75880D6E043814FD88180D6|1.0|SOUTH/CENTRAL STAIR|GENERAL BUILDING SPACE|HALLWAY|Y|
BL|BL001|099C|44017F9CD75980D6E043814FD88180D6|1.0|NORTH ENTRANCE|GENERAL BUILDING SPACE|HALLWAY|Y|
BL|BL001|099E|44017F9CD75A80D6E043814FD88180D6|1.0|STAIRWELL|GENERAL BUILDING SPACE|HALLWAY|Y|
BL|BL001|099F|44017F9CD75B80D6E043814FD88180D6|1.0|FAR/EAST STAIRWELL|GENERAL BUILDING SPACE|HALLWAY|Y|
BL|BL001|099G|44017F9CD75C80D6E043814FD88180D6|1.0|ELEVATOR|GENERAL BUILDING SPACE|ELEVATOR|Y|
BL|BL001|099H|44017F9CD75D80D6E043814FD88180D6|1.0|WEST/MAIN ENTRANCE|GENERAL BUILDING SPACE|HALLWAY|Y|
BL|BL001|099J|44017F9CD75E80D6E043814FD88180D6|1.0|CLOSET|GENERAL BUILDING SPACE|JANITOR ROOM|Y|
BL|BL001|099K|44017F9CD75F80D6E043814FD88180D6|1.0|MAIN/NORTH ENTRANCE|GENERAL BUILDING SPACE|HALLWAY|Y|
BL|BL001|099M|44017F9CD76080D6E043814FD88180D6|1.0|NORTHWEST HALLWAY|GENERAL BUILDING SPACE|HALLWAY|Y|
BL|BL001|099N|44017F9CD76180D6E043814FD88180D6|1.0|NORTH STAIRWELL|GENERAL BUILDING SPACE|HALLWAY|Y|
