itm_uom_cd|obj_id|ver_nbr|itm_uom_desc|dobj_maint_cd_actv_ind|
BG|151DCB09-D3E8-8A6A-494B-CD85CDA4AFB6|2.0|BAG|Y|
BT|F5438912-4F99-B27E-A157-085C451CAB70|2.0|BOTTLE|Y|
BX|0519EDF5-D4AB-271D-FBDF-3FE61CEABA71|1.0|BOX|Y|
C|4BB3F38EC87A57D2E0404F8189D83A2C|1.0|HUNDRED|Y|
CM|4BB3F38EC88D57D2E0404F8189D83A2C|1.0|CENTIMETER|Y|
CN|2FD3A6D8-5219-B118-A72B-9E833DF49B71|1.0|CAN|N|
CS|4BB3F38EC87957D2E0404F8189D83A2C|1.0|CASE|Y|
CT|75343D2B-16AF-01CE-5394-3D0EEBDF8487|3.0|CARTON|Y|
DA|4BB3F38EC8A657D2E0404F8189D83A2C|1.0|DAY|Y|
DR|4BB3F38EC89357D2E0404F8189D83A2C|1.0|DRUM|Y|
DZ|4BB3F38EC87C57D2E0404F8189D83A2C|1.0|DOZEN|Y|
EA|4BB3F38EC87857D2E0404F8189D83A2C|1.0|EACH|Y|
FT|4BB3F38EC88757D2E0404F8189D83A2C|1.0|FOOT|Y|
G|4BB3F38EC88B57D2E0404F8189D83A2C|1.0|GRAM|Y|
GA|4BB3F38EC88357D2E0404F8189D83A2C|1.0|GALLON|Y|
GR|4BB3F38EC87D57D2E0404F8189D83A2C|1.0|GROSS|Y|
HR|4BB3F38EC89D57D2E0404F8189D83A2C|1.0|HOUR|Y|
IN|4BB3F38EC88857D2E0404F8189D83A2C|1.0|INCH|Y|
JR|4BB3F38EC89757D2E0404F8189D83A2C|1.0|JAR|Y|
KG|4BB3F38EC88957D2E0404F8189D83A2C|1.0|KILOGRAM|Y|
KT|4BB3F38EC8A557D2E0404F8189D83A2C|1.0|KIT|Y|
L|4BB3F38EC88557D2E0404F8189D83A2C|1.0|LITER|Y|
LB|4BB3F38EC87F57D2E0404F8189D83A2C|1.0|POUND|Y|
LF|4BB3F38EC8A457D2E0404F8189D83A2C|1.0|LINEAL FEET|Y|
LG|4BB3F38EC8A157D2E0404F8189D83A2C|1.0|LENGTH|Y|
LT|4BB3F38EC89A57D2E0404F8189D83A2C|1.0|LOT|Y|
LY|4BB3F38EC8A757D2E0404F8189D83A2C|1.0|LINEAL YARDS|Y|
M|4BB3F38EC87B57D2E0404F8189D83A2C|1.0|THOUSAND|Y|
MG|4BB3F38EC89157D2E0404F8189D83A2C|1.0|MILLIGRAM|Y|
ML|4BB3F38EC88457D2E0404F8189D83A2C|1.0|MILLILITER|Y|
MM|4BB3F38EC88F57D2E0404F8189D83A2C|1.0|MILLIMETER|Y|
MO|4BB3F38EC89C57D2E0404F8189D83A2C|1.0|MONTH|Y|
MT|4BB3F38EC88E57D2E0404F8189D83A2C|1.0|METER|Y|
OZ|4BB3F38EC87E57D2E0404F8189D83A2C|1.0|OUNCE|Y|
PCS|0BE732F2-581C-FE2C-193B-1F1D0BDF06B7|1.0|PIECES|Y|
PK|4BB3F38EC88C57D2E0404F8189D83A2C|1.0|PACKAGE|Y|
PL|4BB3F38EC8A957D2E0404F8189D83A2C|1.0|PAIL|Y|
PR|4BB3F38EC89857D2E0404F8189D83A2C|1.0|PAIR|Y|
PT|4BB3F38EC88157D2E0404F8189D83A2C|1.0|PINT|Y|
QT|4BB3F38EC88257D2E0404F8189D83A2C|1.0|QUART|Y|
RL|4BB3F38EC89457D2E0404F8189D83A2C|1.0|ROLL|Y|
RM|4BB3F38EC8A357D2E0404F8189D83A2C|1.0|REAM|Y|
SH|4BB3F38EC89E57D2E0404F8189D83A2C|1.0|SHEET|Y|
SL|4BB3F38EC89257D2E0404F8189D83A2C|1.0|SLEEVE|Y|
SP|4BB3F38EC89957D2E0404F8189D83A2C|1.0|SPOOL|Y|
SQ|4BB3F38EC89F57D2E0404F8189D83A2C|1.0|SQ FOOT|Y|
ST|4BB3F38EC89657D2E0404F8189D83A2C|1.0|SET|Y|
SY|4BB3F38EC8A057D2E0404F8189D83A2C|1.0|SQ YARD|Y|
TN|4BB3F38EC88057D2E0404F8189D83A2C|1.0|TON|Y|
TU|4BB3F38EC89557D2E0404F8189D83A2C|1.0|TUBE|Y|
UL|4BB3F38EC88A57D2E0404F8189D83A2C|1.0|MICROLITER|Y|
UN|4BB3F38EC8A257D2E0404F8189D83A2C|1.0|UNIT|Y|
VL|4BB3F38EC89057D2E0404F8189D83A2C|1.0|VIAL|Y|
WK|4BB3F38EC8A857D2E0404F8189D83A2C|1.0|WEEK|Y|
YD|4BB3F38EC88657D2E0404F8189D83A2C|1.0|YARD|Y|
YR|4BB3F38EC89B57D2E0404F8189D83A2C|1.0|YEAR|Y|
