exp_typ_obj_cd_id|exp_typ_cd|trip_typ_cd|traveler_typ_cd|doc_typ_nm|obj_id|ver_nbr|fin_object_cd|max_amt|max_amt_sum_cd|err_typ_cd|note_req_ind|rcpt_req_ind|rcpt_req_thrsh|taxable_ind|spcl_rqst_req_ind|actv_ind|
1.0|A|All|NON|TRV|E590387759B9502CE040E00ABCD649A0|1.0|4089||||N|N||N|N|Y|
2.0|A|All|All|RELO|E590387759BA502CE040E00ABCD649A0|1.0|5070||||N|N||N|N|Y|
3.0|A|All|EMP|TRV|E590387759BB502CE040E00ABCD649A0|1.0|6000||||N|N||N|N|Y|
4.0|A|OUT|EMP|TRV|E590387759BC502CE040E00ABCD649A0|1.0|6100||||N|N||N|N|Y|
5.0|A|INT|EMP|TRV|E590387759BD502CE040E00ABCD649A0|1.0|6200||||N|N||N|N|Y|
6.0|AL|All|All|TT|E590387759BE502CE040E00ABCD649A0|1.0|5073||||N|N||N|N|Y|
7.0|B|All|All|RELO|E590387759BF502CE040E00ABCD649A0|1.0|5070||||N|Y||N|N|Y|
8.0|B|All|All|ENT|E590387759C0502CE040E00ABCD649A0|1.0|5073||||N|Y||N|N|Y|
9.0|B|All|All|TR|E590387759C1502CE040E00ABCD649A0|1.0|6000||||N|Y||N|N|Y|
10.0|B|OUT|All|TR|E590387759C2502CE040E00ABCD649A0|1.0|6100|64.0|D|1|N|Y||N|N|Y|
11.0|B|INT|All|TR|E590387759C3502CE040E00ABCD649A0|1.0|6200||||N|Y||N|N|Y|
12.0|C|All|All|TRV|E590387759C4502CE040E00ABCD649A0|1.0|4013||||N|N||N|N|Y|
13.0|D|All|All|RELO|E590387759C5502CE040E00ABCD649A0|1.0|5070||||N|Y||N|N|Y|
14.0|D|All|All|ENT|E590387759C6502CE040E00ABCD649A0|1.0|5073|64.0|O|2|N|Y||N|Y|Y|
15.0|D|All|All|TR|E590387759C7502CE040E00ABCD649A0|1.0|6000||||N|Y||N|N|Y|
16.0|D|OUT|All|TR|E590387759C8502CE040E00ABCD649A0|1.0|6100|64.0|D|1|N|Y||N|N|Y|
17.0|D|INT|All|TR|E590387759C9502CE040E00ABCD649A0|1.0|6200||||N|Y||N|N|Y|
18.0|EL|All|All|ENT|E590387759CA502CE040E00ABCD649A0|1.0|5073||||N|Y|500.0|N|N|Y|
19.0|GA|All|All|TRV|E590387759CB502CE040E00ABCD649A0|1.0|4088||||N|N||N|Y|Y|
20.0|GB|All|All|TRV|E590387759CC502CE040E00ABCD649A0|1.0|4088||||N|N||N|Y|Y|
21.0|GD|All|All|TRV|E590387759CD502CE040E00ABCD649A0|1.0|4088|64.0|D|2|N|N||N|Y|Y|
22.0|GN|All|All|TRV|E590387759CE502CE040E00ABCD649A0|1.0|4088||||N|N||N|Y|Y|
23.0|GL|All|All|TRV|E590387759CF502CE040E00ABCD649A0|1.0|4088||||N|N||N|Y|Y|
24.0|GO|All|All|TRV|E590387759D0502CE040E00ABCD649A0|1.0|4088||||Y|N||N|N|Y|
25.0|GR|All|All|TRV|E590387759D1502CE040E00ABCD649A0|1.0|4088||||N|N||N|N|Y|
26.0|GS|All|All|TRV|E590387759D2502CE040E00ABCD649A0|1.0|5073||||Y|N||N|N|Y|
27.0|GS|All|All|ENT|E590387759D3502CE040E00ABCD649A0|1.0|5073||||Y|N||N|N|Y|
28.0|L|All|All|RELO|E590387759D4502CE040E00ABCD649A0|1.0|5070||||N|N||N|N|Y|
29.0|L|All|All|ENT|E590387759D5502CE040E00ABCD649A0|1.0|5073||||N|Y||N|N|Y|
30.0|L|All|EMP|TRV|E590387759D6502CE040E00ABCD649A0|1.0|6000||||N|N||N|N|Y|
31.0|L|OUT|EMP|TRV|E590387759D7502CE040E00ABCD649A0|1.0|6100||||N|N||N|N|Y|
32.0|L|INT|EMP|TRV|E590387759D8502CE040E00ABCD649A0|1.0|6200||||N|N||N|N|Y|
33.0|L|All|NON|TRV|E590387759D9502CE040E00ABCD649A0|1.0|4089||||N|N||N|N|Y|
34.0|LN|All|All|RELO|E590387759DA502CE040E00ABCD649A0|1.0|5070||||N|Y||N|N|Y|
35.0|LN|All|All|TR|E590387759DB502CE040E00ABCD649A0|1.0|6000||||N|Y||N|N|Y|
36.0|LN|OUT|All|TR|E590387759DC502CE040E00ABCD649A0|1.0|6100|64.0|D|1|N|Y||N|N|Y|
37.0|LN|INT|All|TR|E590387759DD502CE040E00ABCD649A0|1.0|6200||||N|Y||N|N|Y|
38.0|MR|All|All|RELO|E590387759DE502CE040E00ABCD649A0|1.0|5070||||N|N||N|N|Y|
39.0|MD|All|All|RELO|E590387759DF502CE040E00ABCD649A0|1.0|5070||||N|N||Y|N|Y|
40.0|MH|All|All|RELO|E590387759E0502CE040E00ABCD649A0|1.0|5070||||N|N||Y|N|Y|
41.0|MI|All|All|RELO|E590387759E1502CE040E00ABCD649A0|1.0|5070||||N|N||Y|N|Y|
42.0|ML|All|All|RELO|E590387759E2502CE040E00ABCD649A0|1.0|5070||||N|Y|150.0|Y|N|Y|
43.0|MP|All|All|RELO|E590387759E3502CE040E00ABCD649A0|1.0|5070||||N|N||N|N|Y|
44.0|MP|All|All|TRV|E590387759E4502CE040E00ABCD649A0|1.0|6000||||N|N||N|N|Y|
45.0|MP|OUT|All|TRV|E590387759E5502CE040E00ABCD649A0|1.0|6100||||N|N||N|N|Y|
46.0|MP|INT|All|TRV|E590387759E6502CE040E00ABCD649A0|1.0|6200||||N|N||N|N|Y|
47.0|MT|All|All|RELO|E590387759E7502CE040E00ABCD649A0|1.0|5070||||N|N||Y|N|Y|
48.0|O|All|All|TT|E590387759E8502CE040E00ABCD649A0|1.0|5055||||Y|N||N|N|Y|
49.0|PA|All|NON|TRV|E590387759E9502CE040E00ABCD649A0|1.0|4089||||N|N||N|N|Y|
50.0|PA|All|All|RELO|E590387759EA502CE040E00ABCD649A0|1.0|5070||||N|N||N|N|Y|
51.0|PA|All|All|TRV|E590387759EB502CE040E00ABCD649A0|1.0|6000||||N|N||N|N|Y|
52.0|PA|OUT|All|TRV|E590387759EC502CE040E00ABCD649A0|1.0|6100||||N|N||N|N|Y|
53.0|PA|INT|All|TRV|E590387759ED502CE040E00ABCD649A0|1.0|6200||||N|N||N|N|Y|
54.0|PC|All|All|TRV|E590387759EE502CE040E00ABCD649A0|1.0|4013||||N|N||N|N|Y|
55.0|PL|All|All|RELO|E590387759EF502CE040E00ABCD649A0|1.0|5070||||N|N||N|N|Y|
56.0|PL|All|EMP|TRV|E590387759F0502CE040E00ABCD649A0|1.0|6000||||N|N||N|N|Y|
57.0|PL|OUT|EMP|TRV|E590387759F1502CE040E00ABCD649A0|1.0|6100||||N|N||N|N|Y|
58.0|PL|INT|EMP|TRV|E590387759F2502CE040E00ABCD649A0|1.0|6200||||N|N||N|N|Y|
59.0|PL|All|NON|TRV|E590387759F3502CE040E00ABCD649A0|1.0|4089||||N|N||N|N|Y|
60.0|PM|All|All|RELO|E590387759F4502CE040E00ABCD649A0|1.0|5070||||N|N||N|N|Y|
61.0|PO|All|All|TT|E590387759F5502CE040E00ABCD649A0|1.0|5055||||Y|N||N|N|Y|
62.0|PS|All|All|ENT|E590387759F6502CE040E00ABCD649A0|1.0|5073||||Y|N||N|N|Y|
63.0|PS|All|All|TRV|E590387759F7502CE040E00ABCD649A0|1.0|5073||||Y|N||N|N|Y|
64.0|R|All|NON|TT|E590387759F8502CE040E00ABCD649A0|1.0|4089||||N|N||N|N|Y|
65.0|R|All|All|RELO|E590387759F9502CE040E00ABCD649A0|1.0|5070||||N|N||N|N|Y|
66.0|R|All|EMP|TRV|E590387759FA502CE040E00ABCD649A0|1.0|6080||||N|N||N|N|Y|
67.0|R|OUT|EMP|TRV|E590387759FB502CE040E00ABCD649A0|1.0|6180||||N|N||N|N|Y|
68.0|R|INT|EMP|TRV|E590387759FC502CE040E00ABCD649A0|1.0|6280||||N|N||N|N|Y|
69.0|ST|All|All|ENT|E590387759FD502CE040E00ABCD649A0|1.0|5073||||Y|N||N|N|Y|
70.0|ST|All|All|TRV|E590387759FE502CE040E00ABCD649A0|1.0|5073||||Y|N||N|N|Y|
71.0|T|All|NON|TRV|E590387759FF502CE040E00ABCD649A0|1.0|4089||||N|Y|50.0|N|N|Y|
72.0|T|All|All|RELO|E59038775A00502CE040E00ABCD649A0|1.0|5070||||N|Y|50.0|N|N|Y|
73.0|T|All|EMP|TRV|E59038775A01502CE040E00ABCD649A0|1.0|6080||||N|Y|50.0|N|N|Y|
74.0|T|OUT|EMP|TRV|E59038775A02502CE040E00ABCD649A0|1.0|6180||||N|Y|50.0|N|N|Y|
75.0|T|INT|EMP|TRV|E59038775A03502CE040E00ABCD649A0|1.0|6280||||N|Y|50.0|N|N|Y|
76.0|MA|All|All|TRV|E95C19896B4B1184E040E00ABCD6393A|1.0|6000||||N|N||N|N|Y|
77.0|MM|All|All|TRV|E95C19896B4C1184E040E00ABCD6393A|1.0|6000||||N|N||N|N|Y|
78.0|MM|All|All|RELO|E95C19896B4D1184E040E00ABCD6393A|1.0|6000||||N|N||N|N|Y|
79.0|B|All|All|TA|EF7E48F8C00272F9E040E00ABCD6705F|1.0|6000||||N|N||N|N|Y|
80.0|B|OUT|All|TA|EF7E48F8C00372F9E040E00ABCD6705F|1.0|6100|64.0|D|1|N|N||N|N|Y|
81.0|B|INT|All|TA|EF7E48F8C00472F9E040E00ABCD6705F|1.0|6200||||N|N||N|N|Y|
82.0|D|All|All|TA|EF7E48F8C00572F9E040E00ABCD6705F|1.0|6000||||N|N||N|N|Y|
83.0|D|OUT|All|TA|EF7E48F8C00672F9E040E00ABCD6705F|1.0|6100|64.0|D|1|N|N||N|N|Y|
84.0|D|INT|All|TA|EF7E48F8C00772F9E040E00ABCD6705F|1.0|6200||||N|N||N|N|Y|
85.0|LN|All|All|TA|EF7E48F8C00872F9E040E00ABCD6705F|1.0|6000||||N|N||N|N|Y|
86.0|LN|OUT|All|TA|EF7E48F8C00972F9E040E00ABCD6705F|1.0|6100|64.0|D|1|N|N||N|N|Y|
87.0|LN|INT|All|TA|EF7E48F8C00A72F9E040E00ABCD6705F|1.0|6200||||N|N||N|N|Y|
88.0|W|All|All|ENT|EFF2B17051E36E0EE040E00ABCD63D99|1.0|5073|100.0|O||Y|Y||N|N|Y|
89.0|W|All|All|RELO|EFF2B17051E46E0EE040E00ABCD63D99|1.0|5070|100.0|O||Y|N||N|N|Y|
90.0|W|All|EMP|TRV|EFF2B17051E56E0EE040E00ABCD63D99|1.0|6000|100.0|O||Y|N||N|N|Y|
91.0|W|All|NON|TRV|EFF2B17051E66E0EE040E00ABCD63D99|1.0|4089|100.0|O||Y|N||N|N|Y|
92.0|W|INT|EMP|TRV|EFF2B17051E76E0EE040E00ABCD63D99|1.0|6200|100.0|O||Y|N||N|N|Y|
93.0|W|OUT|EMP|TRV|EFF2B17051E86E0EE040E00ABCD63D99|1.0|6100|100.0|O||Y|N||N|N|Y|
94.0|HD|All|All|TT|F02DC273A981821EE040E00ABCD64DA3|1.0|5073||||Y|Y||N|N|Y|
95.0|HL|All|All|TT|F02DC273A982821EE040E00ABCD64DA3|1.0|5073||||Y|Y||N|N|Y|
96.0|HB|All|All|TT|F02DC273A983821EE040E00ABCD64DA3|1.0|5073||||Y|Y||N|N|Y|
97.0|HD|All|All|TA|F02E48CA9D18371EE040E00ABCD651F6|1.0|5073||||Y|N||N|N|Y|
98.0|HL|All|All|TA|F02E48CA9D19371EE040E00ABCD651F6|1.0|5073||||Y|N||N|N|Y|
99.0|HB|All|All|TA|F02E48CA9D1A371EE040E00ABCD651F6|1.0|5073||||Y|N||N|N|Y|
