exp_typ_cd|obj_id|ver_nbr|exp_typ_nm|grp_trvl_ind|exp_detail_req_ind|exp_prpy_ind|actv_ind|hosted_ind|exp_typ_meta_ctgry_cd|ctgry_dflt_ind|
A|F7BBE4E91D0AB007E040E00ABCD60BBA|1.0|Airfare|N|Y|N|Y|N|A|Y|
AL|F7BBE4E91D0BB007E040E00ABCD60BBA|1.0|Alcohol|N|N|N|Y|N||N|
B|F7BBE4E91D0CB007E040E00ABCD60BBA|1.0|Breakfast|N|N|N|Y|N|B|Y|
C|F7BBE4E91D0DB007E040E00ABCD60BBA|1.0|Conference Registration|N|N|N|Y|N||N|
D|F7BBE4E91D0EB007E040E00ABCD60BBA|1.0|Dinner|N|N|N|Y|N|D|Y|
EL|F7BBE4E91D0FB007E040E00ABCD60BBA|1.0|Light Refreshments|N|N|N|Y|N|I|N|
GA|F7BBE4E91D10B007E040E00ABCD60BBA|1.0|Group Airfare|Y|Y|N|Y|N|A|N|
GB|F7BBE4E91D11B007E040E00ABCD60BBA|1.0|Group Breakfast|Y|N|N|Y|N|B|N|
GD|F7BBE4E91D12B007E040E00ABCD60BBA|1.0|Group Dinner|Y|N|N|Y|N|D|N|
GL|F7BBE4E91D13B007E040E00ABCD60BBA|1.0|Group Lodging|Y|N|N|Y|N|L|N|
GN|F7BBE4E91D14B007E040E00ABCD60BBA|1.0|Group Lunch|Y|N|N|Y|N|J|N|
GO|F7BBE4E91D15B007E040E00ABCD60BBA|1.0|Group Other|Y|N|N|Y|N||N|
GR|F7BBE4E91D16B007E040E00ABCD60BBA|1.0|Group Automobile Rental|Y|Y|N|Y|N|R|N|
GS|F7BBE4E91D17B007E040E00ABCD60BBA|1.0|Group Show Tickets|Y|N|N|Y|N||N|
HB|F7BBE4E91D18B007E040E00ABCD60BBA|1.0|Hosted Breakfast|Y|N|N|Y|Y|B|N|
HD|F7BBE4E91D1AB007E040E00ABCD60BBA|1.0|Hosted Dinner|Y|N|N|Y|Y|D|N|
HL|F7BBE4E91D19B007E040E00ABCD60BBA|1.0|Hosted Lunch|Y|N|N|Y|Y|L|N|
L|F7BBE4E91D1BB007E040E00ABCD60BBA|1.0|Lodging|N|N|N|Y|N|L|Y|
LN|F7BBE4E91D1CB007E040E00ABCD60BBA|1.0|Lunch|N|N|N|Y|N|J|Y|
MA|F7BBE4E91D21B007E040E00ABCD60BBA|1.0|Mileage - Aircraft|N|N|N|Y|N|M|N|
MD|F7BBE4E91D1DB007E040E00ABCD60BBA|1.0|Domestic storage over 30d|N|N|N|Y|N||N|
MH|F7BBE4E91D1EB007E040E00ABCD60BBA|1.0|House hunting costs|N|N|N|Y|N||N|
MI|F7BBE4E91D1FB007E040E00ABCD60BBA|1.0|International storage|N|N|N|Y|N||N|
ML|F7BBE4E91D20B007E040E00ABCD60BBA|1.0|Living Allowance|N|N|N|Y|N||N|
MM|F7BBE4E91D22B007E040E00ABCD60BBA|1.0|Mileage - Motorcyle|N|N|N|Y|N|M|N|
MP|F7BBE4E91D23B007E040E00ABCD60BBA|1.0|Mileage - Privately Owned Vehicle|N|N|N|Y|N|M|Y|
MR|F7BBE4E91D24B007E040E00ABCD60BBA|1.0|Moving Equipmental Rental|N|N|N|Y|N||N|
MT|F7BBE4E91D25B007E040E00ABCD60BBA|1.0|Temporary Living|N|N|N|Y|N||N|
O|F7BBE4E91D26B007E040E00ABCD60BBA|1.0|Other|N|N|N|Y|N||N|
PA|F7BBE4E91D27B007E040E00ABCD60BBA|1.0|Prepaid Airfare|N|Y|Y|Y|N|A|N|
PC|F7BBE4E91D28B007E040E00ABCD60BBA|1.0|Prepaid Conference Registration|N|N|Y|Y|N||N|
PL|F7BBE4E91D29B007E040E00ABCD60BBA|1.0|Prepaid Lodging|N|N|Y|Y|N|L|N|
PM|F7BBE4E91D2AB007E040E00ABCD60BBA|1.0|Prepaid Moving Equipment Rental|N|N|Y|Y|N||N|
PO|F7BBE4E91D2BB007E040E00ABCD60BBA|1.0|Prepaid Other|N|N|Y|Y|N||N|
PS|F7BBE4E91D2CB007E040E00ABCD60BBA|1.0|Prepaid Show Tickets|N|N|Y|Y|N||N|
R|F7BBE4E91D2DB007E040E00ABCD60BBA|1.0|Automobile Rental|N|Y|N|Y|N|R|Y|
ST|F7BBE4E91D2EB007E040E00ABCD60BBA|1.0|Show Tickets|N|N|N|Y|N||N|
T|F7BBE4E91D2FB007E040E00ABCD60BBA|1.0|Taxi/Limousine Service|N|N|N|Y|N||N|
W|F7BBE4E91D30B007E040E00ABCD60BBA|1.0|Lodging Allowance|N|N|N|Y|N|W|Y|
