id|nm|rate|actv_from_dt|actv_to_dt|actv_ind|min_miles|max_miles|ver_nbr|obj_id|
1.0|Mileage Rate In-State 1|0.5|20111023203722|20221231000000|Y|||1.0|BE234170A20B217AE040540A5EFD4F43|
2.0|Mileage Rate In-State 2|0.65|20111023203723|20221231000000|Y|||1.0|BE234170A20E217AE040540A5EFD4F43|
3.0|Mileage Rate In-State 3|0.55|20111023203723|20221231000000|Y|||1.0|BE234170A211217AE040540A5EFD4F43|
4.0|Mileage Rate In-State 4|0.55|20111023203723|20221231000000|Y|||1.0|BE234170A214217AE040540A5EFD4F43|
5.0|Mileage Rate Out of State 1|0.75|20111023203723|20221231000000|Y|||1.0|BE234170A217217AE040540A5EFD4F43|
6.0|Mileage Rate Out of State 2|1.05|20111023203724|20221231000000|Y|||1.0|BE234170A21A217AE040540A5EFD4F43|
7.0|Mileage Rate Out of State 3|0.99|20111023203724|20221231000000|Y|||1.0|BE234170A21D217AE040540A5EFD4F43|
8.0|Mileage Rate Out of State 4|0.99|20111023203724|20221231000000|Y|||1.0|BE234170A220217AE040540A5EFD4F43|
9.0|Mileage Rate International 1|1.0|20111023203724|20221231000000|Y|||1.0|BE234170A223217AE040540A5EFD4F43|
10.0|Mileage Rate International 2|1.5|20111023203725|20221231000000|Y|||1.0|BE234170A226217AE040540A5EFD4F43|
11.0|Mileage Rate International 3|1.75|20111023203725|20221231000000|Y|||1.0|BE234170A229217AE040540A5EFD4F43|
12.0|Mileage Rate International 3|1.75|20111023203725|20221231000000|Y|||1.0|BE234170A22C217AE040540A5EFD4F43|
13.0|Mileage Rate Blanket In-State 1|1.5|20111023000000|20221231000000|Y|||1.0|BE234170A22D217AE040540A5EFD4F43|
