code|name|actv_ind|ver_nbr|obj_id|
AIR|Airplane|Y|1.0|BD96AA2415915898E040540A5EFD3A74|
BUS|Bus|Y|1.0|BD96AA2415925898E040540A5EFD3A74|
HV|Host Vehicle|Y|1.0|BD96AA2415935898E040540A5EFD3A74|
OTH|Other|Y|1.0|BD96AA24159A5898E040540A5EFD3A74|
PV|Personal Vehicle|Y|1.0|BD96AA2415945898E040540A5EFD3A74|
RV|Rental Vehicle|Y|1.0|BD96AA2415955898E040540A5EFD3A74|
RVD|Rental Vehicle w/Driver|Y|1.0|BD96AA2415965898E040540A5EFD3A74|
SHP|Ship/Ferry/Boat|Y|1.0|BD96AA2415975898E040540A5EFD3A74|
TRN|Train|Y|1.0|BD96AA2415985898E040540A5EFD3A74|
WLK|Walking/Hiking|Y|1.0|BD96AA2415995898E040540A5EFD3A74|
