nmspc_cd|cmpnt_cd|nm|cmpnt_set_id|
KR-CORE|StyleBo|Stylesheet|DD:RICE|
KR-EDL|EDocLiteAssociation|eDoc Lite Association|DD:RICE|
KR-EDL|EDocLiteDefinition|eDoc Lite Definition|DD:RICE|
KR-IDM|DelegateTypeBo|Delegations|DD:RICE|
KR-IDM|EntityAddressTypeBo|Address Type|DD:RICE|
KR-IDM|EntityAffiliationTypeBo|Affiliation Type|DD:RICE|
KR-IDM|EntityCitizenshipStatusBo|Citizenship Status|DD:RICE|
KR-IDM|EntityEmailTypeBo|Email Type|DD:RICE|
KR-IDM|EntityEmploymentStatusBo|Employee Status|DD:RICE|
KR-IDM|EntityEmploymentTypeBo|Employee Type|DD:RICE|
KR-IDM|EntityExternalIdentifierTypeBo|External Identifier Type|DD:RICE|
KR-IDM|EntityNameTypeBo|Entity Name Type|DD:RICE|
KR-IDM|EntityPhoneTypeBo|Phone Type|DD:RICE|
KR-IDM|EntityTypeBo|Entity Type|DD:RICE|
KR-IDM|GenericPermissionBo|Permission|DD:RICE|
KR-IDM|GroupBo|Group|DD:RICE|
KR-IDM|GroupDocumentMember|Names|DD:RICE|
KR-IDM|GroupDocumentQualifier|Group Qualifier|DD:RICE|
KR-IDM|KimAttributeBo|Kim Attribute Definition|DD:RICE|
KR-IDM|KimAttributeDataBo|Attribute Data|DD:RICE|
KR-IDM|KimAttributes|KIM Attributes|DD:RICE|
KR-IDM|KimDocumentRoleMember|Names|DD:RICE|
KR-IDM|KimDocumentRoleQualifier|Role Qualifier|DD:RICE|
KR-IDM|KimDocumentRoleResponsibilityAction|Role Responsibility Action|DD:RICE|
KR-IDM|KimTypeBo|Kim Types|DD:RICE|
KR-IDM|PermissionAttributeBo|Permission Attribute Data|DD:RICE|
KR-IDM|PermissionBo|Permission|DD:RICE|
KR-IDM|PersonDocumentAddress|Names|DD:RICE|
KR-IDM|PersonDocumentAffiliation|Entity Affiliation|DD:RICE|
KR-IDM|PersonDocumentCitizenship|Entity Citizenship|DD:RICE|
KR-IDM|PersonDocumentEmail|Names|DD:RICE|
KR-IDM|PersonDocumentEmploymentInfo|Entity Employment|DD:RICE|
KR-IDM|PersonDocumentGroup|Names|DD:RICE|
KR-IDM|PersonDocumentName|Names|DD:RICE|
KR-IDM|PersonDocumentPhone|Names|DD:RICE|
KR-IDM|PersonDocumentPrivacy|Names|DD:RICE|
KR-IDM|PersonDocumentRole|Names|DD:RICE|
KR-IDM|PersonImpl|Person|DD:RICE|
KR-IDM|ResponsibilityAttributeBo|Responsibility Attribute Data|DD:RICE|
KR-IDM|ResponsibilityBo|Responsibility|DD:RICE|
KR-IDM|ResponsibilityTemplateBo|Responsibility Templates|DD:RICE|
KR-IDM|ReviewResponsibilityBo|Review Responsibility|DD:RICE|
KR-IDM|RoleBo|Names|DD:RICE|
KR-IDM|RoleDocumentDelegationMember|Delegation Members|DD:RICE|
KR-IDM|RoleDocumentDelegationMemberQualifier|Role Qualifier|DD:RICE|
KR-IDM|RoleMemberBo|Names|DD:RICE|
KR-IDM|UberPermissionBo|Permission|DD:RICE|
KR-IDM|UberResponsibilityBo|Responsibility|DD:RICE|
KR-NS|AdHocRoutePerson|Ad Hoc Route Person|DD:RICE|
KR-NS|AdHocRouteWorkgroup|Ad Hoc Route Workgroup|DD:RICE|
KR-NS|Attachment|Attachment|DD:RICE|
KR-NS|AttributeReferenceDummy|Attribute Reference Dummy|DD:RICE|
KR-NS|AttributeReferenceElements|Attribute Reference Elements|DD:RICE|
KR-NS|BusinessObjectAttributeEntry|Business Object Attribute Entry|DD:RICE|
KR-NS|CampusBo|Campus|DD:RICE|
KR-NS|CampusTypeBo|Campus Type|DD:RICE|
KR-NS|ComponentBo|Component|DD:RICE|
KR-NS|CountryBo|Country|DD:RICE|
KR-NS|CountyBo|County|DD:RICE|
KR-NS|DocumentHeader|Document Header|DD:RICE|
KR-NS|NamespaceBo|Namespace|DD:RICE|
KR-NS|Note|Note|DD:RICE|
KR-NS|NoteType|Note Type|DD:RICE|
KR-NS|ParameterBo|Parameter|DD:RICE|
KR-NS|ParameterTypeBo|Parameter Type|DD:RICE|
KR-NS|PessimisticLock|Pessimistic Lock|DD:RICE|
KR-NS|PostalCodeBo|Postal Code|DD:RICE|
KR-NS|StateBo|State|DD:RICE|
KR-WKFLW|DocumentRouteHeaderValue|Document|DD:RICE|
KR-WKFLW|DocumentSearchCriteriaBo|Document|DD:RICE|
KR-WKFLW|DocumentType|Document Type|DD:RICE|
KR-WKFLW|GroupRuleResponsibility|Group Rule Responsibility|DD:RICE|
KR-WKFLW|PeopleFlowBo|People Flow|DD:RICE|
KR-WKFLW|PeopleFlowDelegateBo|People Flow Delegate|DD:RICE|
KR-WKFLW|PeopleFlowMemberBo|People Flow Member|DD:RICE|
KR-WKFLW|PersonRuleResponsibility|Person Rule Responsibility|DD:RICE|
KR-WKFLW|RoleRuleResponsibility|Role Rule Responsibility|DD:RICE|
KR-WKFLW|RuleAttribute|Rule Attribute|DD:RICE|
KR-WKFLW|RuleBaseValues|Rule|DD:RICE|
KR-WKFLW|RuleDelegationBo|Delegation Rule|DD:RICE|
KR-WKFLW|RuleTemplateAttributeBo|Rule Template Attribute|DD:RICE|
KR-WKFLW|RuleTemplateBo|Rule Template|DD:RICE|
krms|ContextBo|Context|DD:RICE|
tv|FiscalOfficer|Fiscal Officer|DD:RICE|
tv|TravelAccount|Travel Account|DD:RICE|
tv|TravelAccountExtension|Travel Account Extension|DD:RICE|
tv|TravelAccountType|Travel Account Type|DD:RICE|
tv|TravelAccountUseRate|Travel Account Use Rate|DD:RICE|
