doc_typ_id|parnt_id|doc_typ_nm|doc_typ_ver_nbr|actv_ind|cur_ind|lbl|prev_doc_typ_ver_nbr|doc_typ_desc|doc_hdlr_url|post_prcsr|jndi_url|blnkt_appr_plcy|adv_doc_srch_url|rte_ver_nbr|notify_addr|appl_id|email_xsl|sec_xml|ver_nbr|blnkt_appr_grp_id|rpt_grp_id|grp_id|help_def_url|obj_id|doc_search_help_url|doc_hdr_id|authorizer|
2011|2681|DocumentTypeDocument|0.0|1.0|1.0|Workflow Maintenance Document Type Document||Workflow Maintenance Document Type Document|${kr.url}/maintenance.do?methodToCall=docHandler|org.kuali.rice.krad.workflow.postprocessor.KualiPostProcessor||||2|||||0.0|1||1|default.htm?turl=WordDocuments%2Fdocumenttype.htm|6166CBA1BA5D644DE0404F8189D86C09||||
2012|2681|RoutingRuleDocument|0.0|1.0|1.0|Rule Maintenance Document Type Document||Rule Maintenance Document Type Document|${kr.url}/maintenance.do?methodToCall=docHandler|org.kuali.rice.krad.workflow.postprocessor.KualiPostProcessor||||2|||||0.0|1||1||6166CBA1BA5E644DE0404F8189D86C09||||
2023||KualiNotification|0.0|1.0|1.0|Notification||This is the re-usable notification document type that will be used for delivering all notifications with KEW.|${ken.url}/DetailView.form|org.kuali.rice.ken.postprocessor.kew.NotificationPostProcessor||||1|||||0.0|1||2000||6166CBA1BA69644DE0404F8189D86C09||||
2024||SendNotificationRequest|0.0|1.0|1.0|Send Notification Request||Create a New Notification Request|${ken.url}/AdministerNotificationRequest.form|org.kuali.rice.ken.postprocessor.kew.NotificationSenderFormPostProcessor||||2|||||0.0|1||1||6166CBA1BA6A644DE0404F8189D86C09||||
2031|2681|NamespaceMaintenanceDocument|0.0|1.0|1.0|Namespace||Create/edit parameter namespaces|${kr.url}/maintenance.do?methodToCall=docHandler|org.kuali.rice.krad.workflow.postprocessor.KualiPostProcessor||||2|||||0.0|1||1|default.htm?turl=WordDocuments%2Fnamespace.htm|6166CBA1BA71644DE0404F8189D86C09||||
2032|2681|ParameterTypeMaintenanceDocument|0.0|1.0|1.0|Parameter Type Maintenance Document||Create/edit a parameter type|${kr.url}/maintenance.do?methodToCall=docHandler|org.kuali.rice.krad.workflow.postprocessor.KualiPostProcessor||||2|||||0.0|1||1|default.htm?turl=WordDocuments%2Fparametertype.htm|6166CBA1BA72644DE0404F8189D86C09||||
2033|2681|ParameterDetailTypeMaintenanceDocument|0.0|1.0|1.0|Parameter Detail Type Maintenance Document||Create/edit a parameter detail type|${kr.url}/maintenance.do?methodToCall=docHandler|org.kuali.rice.krad.workflow.postprocessor.KualiPostProcessor||||2|||||0.0|1||1|default.htm?turl=WordDocuments%2Fparametercomponent.htm|6166CBA1BA73644DE0404F8189D86C09||||
2034|2681|ParameterMaintenanceDocument|0.0|1.0|1.0|Parameter Maintenance Document||Create/edit a parameter|${kr.url}/maintenance.do?methodToCall=docHandler|org.kuali.rice.krad.workflow.postprocessor.KualiPostProcessor||||2|||||0.0|1||1|default.htm?turl=WordDocuments%2Fparameter.htm|6166CBA1BA74644DE0404F8189D86C09||||
2680||KualiDocument|0.0|1.0|1.0|KualiDocument||KualiDocument||org.kuali.rice.krad.workflow.postprocessor.KualiPostProcessor||||2|||||0.0|||||6166CBA1BA81644DE0404F8189D86C09||||
2681|2680|RiceDocument|0.0|1.0|1.0|Rice Document||Parent Document Type for all Rice Documents||||||2|||||0.0|||||6166CBA1BA82644DE0404F8189D86C09||||
