attr_data_id|obj_id|ver_nbr|perm_id|kim_typ_id|kim_attr_defn_id|attr_val|
181|5B4F09744A25EF33E0404F8189D84F24|1.0|140|12|2|org.kuali.rice.kew.documentoperation.web.DocumentOperationAction|
183|5B4F09744A27EF33E0404F8189D84F24|1.0|141|12|2|org.kuali.rice.ksb.security.admin.web.JavaSecurityManagementAction|
185|5B4F09744A29EF33E0404F8189D84F24|1.0|142|12|2|org.kuali.rice.ksb.messaging.web.MessageQueueAction|
187|5B4F09744A2BEF33E0404F8189D84F24|1.0|143|12|2|org.kuali.rice.ksb.messaging.web.ServiceRegistryAction|
189|5B4F09744A2DEF33E0404F8189D84F24|1.0|144|12|2|org.kuali.rice.ksb.messaging.web.ThreadPoolAction|
191|5B4F09744A2FEF33E0404F8189D84F24|1.0|145|12|2|org.kuali.rice.ksb.messaging.web.QuartzQueueAction|
192|5B4F09744A30EF33E0404F8189D84F24|1.0|146|5|13|RiceDocument|
193|5B4F09744A31EF33E0404F8189D84F24|1.0|147|3|13|RiceDocument|
194|5B4F09744A32EF33E0404F8189D84F24|1.0|148|3|13|RiceDocument|
195|5B4F09744A33EF33E0404F8189D84F24|1.0|149|3|13|RiceDocument|
196|5B4F09744A34EF33E0404F8189D84F24|1.0|150|18|4|KR*|
197|5B4F09744A35EF33E0404F8189D84F24|1.0|151|19|4|KR*|
198|5B4F09744A36EF33E0404F8189D84F24|1.0|152|20|4|KR*|
201|5B4F09744A39EF33E0404F8189D84F24|1.0|155|21|4|KR*|
202|5B4F09744A3AEF33E0404F8189D84F24|1.0|156|3|13|RiceDocument|
203|5B4F09744A39EF33E0404F8189D84F25|1.0|833|21|4|KUALI|
204|5B4F09744A39EF33E0404F8189D84F26|1.0|834|18|4|KUALI|
205|5B4F09744A39EF33E0404F8189D84F27|1.0|835|19|4|KUALI|
206|5B4F09744A39EF33E0404F8189D84F28|1.0|836|20|4|KUALI|
211|5B4F09744A43EF33E0404F8189D84F24|1.0|161|10|4|KR*|
