perm_id|obj_id|ver_nbr|perm_tmpl_id|nmspc_cd|nm|desc_txt|actv_ind|
140|5B4F09744944EF33E0404F8189D84F24|1.0|29|KR-WKFLW|Use Document Operation Screen|Allows users to access the Document Operation screen.|Y|
141|5B4F09744945EF33E0404F8189D84F24|1.0|29|KR-BUS|Use Java Security Management Screen|Allows users to access the Java Security Management screen.|Y|
142|5B4F09744946EF33E0404F8189D84F24|1.0|29|KR-BUS|Use Message Queue Screen|Allows users to access the Message Queue screen.|Y|
143|5B4F09744947EF33E0404F8189D84F24|1.0|29|KR-BUS|Use Service Registry Screen|Allows users to access the Service Registry screen.|Y|
144|5B4F09744948EF33E0404F8189D84F24|1.0|29|KR-BUS|Use Thread Pool Screen|Allows users to access the Thread Pool screen.|Y|
145|5B4F09744949EF33E0404F8189D84F24|1.0|29|KR-BUS|Use Quartz Queue Screen|Allows users to access the Quartz Queue screen.|Y|
146|5B4F0974494AEF33E0404F8189D84F24|1.0|9|KR-SYS|Ad Hoc Review RICE Document|Allows a user to receive ad hoc requests for RICE Documents.|Y|
147|5B4F0974494BEF33E0404F8189D84F24|1.0|3|KR-SYS|Administer Routing RICE Document|Allows users to open RICE Documents via the Super search option in Document Search and take Administrative workflow actions on them (such as approving the document, approving individual requests, or sending the document to a specified route node).|Y|
148|5B4F0974494CEF33E0404F8189D84F24|1.0|4|KR-SYS|Blanket Approve RICE Document|Allows access to the Blanket Approval button on RICE Documents.|Y|
149|5B4F0974494DEF33E0404F8189D84F24|1.0|10|KR-SYS|Initiate RICE Document|Authorizes the initiation of RICE Documents.|Y|
150|5B4F0974494EEF33E0404F8189D84F24|1.0|35|KR-SYS|Assign Role|Authorizes users to modify the information on the Assignees Tab of the Role Document and the Roles section of the Membership Tab on the Person Document for Roles with a Module Code beginning with KR.|Y|
151|5B4F0974494FEF33E0404F8189D84F24|1.0|36|KR-SYS|Grant Permission|Authorizes users to modify the information on the Permissions tab of the Role Document for roles with a module code beginning with KR.|Y|
152|5B4F09744950EF33E0404F8189D84F24|1.0|37|KR-SYS|Grant Responsibility|Authorizes users to modify the information on the Responsibility tab of the Role Document for roles with a Module Code that begins with KR.|Y|
155|5B4F09744953EF33E0404F8189D84F24|1.0|38|KR-SYS|Populate Group|Authorizes users to modify the information on the Assignees Tab of the Group Document and the Group section of the Membership Tab on the Person Document for groups with namespaces beginning with KR.|Y|
156|5B4F09744954EF33E0404F8189D84F24|1.0|2|KR-SYS|Copy RICE Document|Authorizes users to copy RICE Documents.|Y|
161|5B4F09744959EF33E0404F8189D84F24|1.0|24|KR-SYS|Inquire Into RICE Records|Allows users to access Kuali RICE inquiries.|Y|
162|5B4F0974495AEF33E0404F8189D84F24|1.0|23|KR-SYS|Look Up RICE Records|Allow users to access Kuali RICE lookups.|Y|
163|5B4F0974495BEF33E0404F8189D84F24|1.0|34|KR-SYS|Maintain System Parameter|Authorizes to initiate and edit the Parameter document for parameters with a module code beginning with KR.|Y|
164|5B4F0974495CEF33E0404F8189D84F24|1.0|32|KR-SYS|Modify Batch Job|Allows users to access and run Batch Jobs associated with KR modules via the Schedule link.|Y|
165|5B4F0974495DEF33E0404F8189D84F24|1.0|40|KR-SYS|Open RICE Document|Authorizes users to open RICE Documents.|Y|
166|5B4F0974495EEF33E0404F8189D84F24|1.0|29|KR-SYS|Use all RICE Screen|Allows users to access all RICE screens.|Y|
167|5B4F0974495FEF33E0404F8189D84F24|1.0|14|KUALI|Cancel Document|Authorizes users to cancel a document prior to it being submitted for routing.|Y|
168|5B4F09744960EF33E0404F8189D84F24|1.0|5|KUALI|Route Document|Authorizes users to submit a document for routing.|Y|
170|5B4F09744962EF33E0404F8189D84F24|1.0|8|KUALI|Take Requested Approve Action|Authorizes users to take the Approve action on documents routed to them.|Y|
172|5B4F09744964EF33E0404F8189D84F24|1.0|8|KUALI|Take Requested FYI Action|Authorizes users to take the FYI action on documents routed to them.|Y|
173|5B4F09744965EF33E0404F8189D84F24|1.0|8|KUALI|Take Requested Acknowledge Action|Authorizes users to take the Acknowledge action on documents routed to them.|Y|
174|5B4F09744966EF33E0404F8189D84F24|1.0|1|KUALI|Log In Kuali Portal|Authorizes users to login to the Kuali portal.|Y|
180|5B4F0974496CEF33E0404F8189D84F24|1.0|16|KUALI|Edit Kuali ENROUTE Document Node Name PreRoute|Allows users to edit Kuali documents that are in ENROUTE status.|Y|
181|5B4F0974496DEF33E0404F8189D84F24|1.0|16|KUALI|Edit Kuali ENROUTE Document Route Status Code R|Allows users to edit Kuali documents that are in ENROUTE status.|Y|
183|5B4F0974496FEF33E0404F8189D84F24|1.0|27|KR-SYS|Full Unmask Tax Identification Number Payee ACH Document|Authorizes users to view the entire Tax Identification Number on the Payee ACH document and Inquiry.|Y|
259|606763510FC396D3E0404F8189D857A2|1.0|45|KUALI|Add Note / Attachment Kuali Document|Users who can add notes and attachments to any document answering to the Kuali Document parent document type.|Y|
261|606763510FC696D3E0404F8189D857A2|1.0|46|KUALI|View Note / Attachment Kuali Document|Authorizes users to view notes and attachments on documents answering to the KualiDocument parent document type.|Y|
264|606763510FCD96D3E0404F8189D857A2|1.0|47|KR-SYS|Delete Note / Attachment Kuali Document|Authorizes users to delete notes and attachments created by any user on documents answering to the RICE Document parent document type.|Y|
265|606763510FF296D3E0404F8189D857A2|1.0|29|KR-WKFLW|Use Screen XML Ingester Screen|Allows users to access the XML Ingester screen.|Y|
289|611BE30E404E5818E0404F8189D801C2|1.0|1|KR-NS|Administer Pessimistic Locking|Administer Pessimistic Locking|Y|
290|5B4F09744961EF33E0404F8189D84F24|1.0|15|KR-SYS|Save RICE Document|Users who can save RICE documents|Y|
298|641E580969E31B49E0404F8189D86190|1.0|1|KR-WKFLW|View Other Action List|Authorizes users to access other users action lists via the Help Desk Action List Login.|Y|
299|641E580969E51B49E0404F8189D86190|1.0|1|KR-WKFLW|Unrestricted Document Search|Users who can perform a document search with no criteria or result limits.|Y|
306|6314CC58CF58B7B5E0404F8189D84439|1.0|27|KR-SYS|Full Unmask Tax Identification Number Person Document|Authorizes users to view the entire Tax Identification Number on the Person document and inquiry.|Y|
307|638DD46953F9BCD5E0404F8189D86240|1.0|1|KR-IDM|Modify Entity|Users who can modify entity records in Kuali Identity Management.|Y|
