role_perm_id|obj_id|ver_nbr|role_id|perm_id|actv_ind|
183|5C27A267EF5C7417E0404F8189D830A9|1.0|63|140|Y|
184|5C27A267EF5D7417E0404F8189D830A9|1.0|63|141|Y|
185|5C27A267EF5E7417E0404F8189D830A9|1.0|63|142|Y|
186|5C27A267EF5F7417E0404F8189D830A9|1.0|63|143|Y|
187|5C27A267EF607417E0404F8189D830A9|1.0|63|144|Y|
188|5C27A267EF617417E0404F8189D830A9|1.0|63|145|Y|
189|5C27A267EF627417E0404F8189D830A9|1.0|1|146|Y|
190|5C27A267EF637417E0404F8189D830A9|1.0|63|147|Y|
191|5C27A267EF647417E0404F8189D830A9|1.0|63|148|Y|
193|5C27A267EF667417E0404F8189D830A9|1.0|1|149|Y|
194|5C27A267EF677417E0404F8189D830A9|1.0|63|150|Y|
195|5C27A267EF687417E0404F8189D830A9|1.0|63|151|Y|
196|5C27A267EF697417E0404F8189D830A9|1.0|63|152|Y|
200|5C27A267EF6D7417E0404F8189D830A9|1.0|63|155|Y|
201|5C27A267EF6E7417E0404F8189D830A9|1.0|1|156|Y|
206|5C27A267EF737417E0404F8189D830A9|1.0|1|161|Y|
207|5C27A267EF747417E0404F8189D830A9|1.0|1|162|Y|
208|5C27A267EF757417E0404F8189D830A9|1.0|63|163|Y|
210|5C27A267EF777417E0404F8189D830A9|1.0|63|164|Y|
211|5C27A267EF787417E0404F8189D830A9|1.0|1|165|Y|
212|5C27A267EF797417E0404F8189D830A9|1.0|66|167|Y|
213|5C27A267EF7A7417E0404F8189D830A9|1.0|66|168|Y|
214|5C27A267EF7B7417E0404F8189D830A9|1.0|60|290|Y|
216|5C27A267EF7D7417E0404F8189D830A9|1.0|59|170|Y|
218|5C27A267EF7F7417E0404F8189D830A9|1.0|89|172|Y|
219|5C27A267EF807417E0404F8189D830A9|1.0|88|173|Y|
220|5C27A267EF817417E0404F8189D830A9|1.0|1|174|Y|
226|5C27A267EF877417E0404F8189D830A9|1.0|60|180|Y|
227|5C27A267EF887417E0404F8189D830A9|1.0|59|181|Y|
229|5C27A267EF8A7417E0404F8189D830A9|1.0|63|183|Y|
230|5C27A267EF5C7417E0404F8189D830AA|1.0|63|378|Y|
250|70086A2DF17D62E4E0404F8189D863CD|1.0|95|156|Y|
251|70086A2DF17E62E4E0404F8189D863CD|1.0|97|181|Y|
512|606763510FC596D3E0404F8189D857A2|1.0|61|259|Y|
516|606763510FC896D3E0404F8189D857A2|1.0|83|261|Y|
519|606763510FD096D3E0404F8189D857A2|1.0|63|264|Y|
550|611BE30E404F5818E0404F8189D801C2|1.0|63|289|Y|
552|61815E6C62D3B647E0404F8189D873B3|1.0|90|290|Y|
564|641E580969E41B49E0404F8189D86190|1.0|63|298|Y|
566|641E580969E61B49E0404F8189D86190|1.0|63|299|Y|
578|6314CC58CF5BB7B5E0404F8189D84439|1.0|63|306|Y|
616|662384B381C067A1E0404F8189D868A6|1.0|83|333|Y|
617|662384B381C467A1E0404F8189D868A6|1.0|66|334|Y|
618|662384B381BC67A1E0404F8189D868A6|1.0|83|332|Y|
683|6A869257B306EB49E0404F8189D8697A|1.0|59|334|Y|
701|C7C5063258494135A27DFDA4868F1D8B|1.0|63|701|Y|
702|6F5D842F42DC4018B6D9E8909A841062|1.0|63|702|Y|
703|70D86205B39A411F8A179555254E3737|1.0|63|703|Y|
707|B27306E137C94947BA8AFFD2892722D8|1.0|63|707|Y|
719|4B02BCD0AA764732997C77D139300784|1.0|63|719|Y|
720|7B920FA6145B47F6BF1B67B8EF3E96F4|1.0|63|720|Y|
721|A2794759AE9E47CB970DEABA625EA64C|1.0|63|721|Y|
730|05993B68C8034FD2A758E3441C6AD961|1.0|1|161|Y|
731|25F3589FEFFE4FFCBB4C0577AD722538|1.0|1|162|Y|
732|5AFD381C59B34E9D9BA26B70A739C9A2|1.0|1|163|Y|
808|606763510FDD96D3E0404F8189D857A2|1.0|63|801|Y|
809|606763510FDE96D3E0404F8189D857A2|1.0|63|802|Y|
810|606763510FDF96D3E0404F8189D857A2|1.0|63|803|Y|
811|606763510FE096D3E0404F8189D857A2|1.0|63|807|Y|
814|606763510FED96D3E0404F8189D857A2|1.0|63|814|Y|
819|606763510FEE96D3E0404F8189D857A2|1.0|63|819|Y|
820|606763510FEF96D3E0404F8189D857A2|1.0|63|820|Y|
821|606763510FF096D3E0404F8189D857A2|1.0|63|821|Y|
826|606763510FF196D3E0404F8189D857A2|1.0|1|166|Y|
827|606763510FF596D3E0404F8189D857A2|1.0|63|265|Y|
828|606763510FF696D3E0404F8189D857A2|1.0|63|140|Y|
829|606763510FF796D3E0404F8189D857A2|1.0|63|141|Y|
830|606763510FF896D3E0404F8189D857A2|1.0|63|142|Y|
831|606763510FF996D3E0404F8189D857A2|1.0|63|143|Y|
832|606763510FFA96D3E0404F8189D857A2|1.0|63|144|Y|
833|606763510FFB96D3E0404F8189D857A2|1.0|63|145|Y|
838|5C27A267EF6D7417E0404F8189D830AA|1.0|63|833|Y|
839|5C27A267EF6D7417E0404F8189D830AB|1.0|63|834|Y|
840|5C27A267EF6D7417E0404F8189D830AC|1.0|63|835|Y|
841|5C27A267EF6D7417E0404F8189D830AD|1.0|63|835|Y|
