campus_cd|campus_nm|campus_shrt_nm|campus_typ_cd|obj_id|ver_nbr|actv_ind|
BL|BLOOMINGTON|BLOOMINGTON|B|014F3DB2478DA448E043814FD28EA448|1.0|Y|
BX|BLGTN OFF CAMPUS|BLGTN OFF CA|P|014F3DB24798A448E043814FD28EA448|1.0|Y|
CO|COLUMBUS|COLUMBUS|F|014F3DB2478EA448E043814FD28EA448|1.0|Y|
EA|EAST-RICHMOND|EA-RICHMOND|B|014F3DB2478FA448E043814FD28EA448|1.0|Y|
FW|FORT WAYNE|FORT WAYNE|B|014F3DB24790A448E043814FD28EA448|1.0|Y|
IN|INDIANAPOLIS|INDIANAPOLIS|B|014F3DB24791A448E043814FD28EA448|1.0|Y|
KO|KOKOMO|KOKOMO|B|014F3DB24792A448E043814FD28EA448|1.0|Y|
NW|NORTHWEST-GARY|NW-GARY|B|014F3DB24793A448E043814FD28EA448|1.0|Y|
OC|OFF CAMPUS|OFF CAMPUS|F|014F3DB24794A448E043814FD28EA448|1.0|Y|
SB|SOUTH BEND|SOUTH BEND|B|014F3DB24795A448E043814FD28EA448|1.0|Y|
SE|SOUTHEAST-NEW ALBANY|SE-NEW ALBNY|B|014F3DB24796A448E043814FD28EA448|1.0|Y|
UA|UNIVERSITY ADMINISTRATION|UNIVER ADMIN|F|014F3DB24797A448E043814FD28EA448|1.0|Y|
