doc_hdr_id|obj_id|ver_nbr|fdoc_desc|org_doc_hdr_id|tmpl_doc_hdr_id|explanation|
2123|A1CE1FBC-4CB8-672E-0CA0-8CF1F9E7001B|4.0|rewer|1|||
2381|5376DA5C-E693-65A5-E1B4-B403660B5315|2.0|test||||
2382|1586F905-5C0A-5348-72A4-BF9ECDD1967F|2.0|test||||
2383|00375DE1-4F36-8000-DA86-B731D73FFE03|2.0|a5||||
2384|BD50B601-2F27-184A-6349-52F696F1927B|5.0|asdf||||
2387|5FECE942-58D1-CCA7-36D9-F47AD78EEE89|2.0|test trans doc||||
2388|30034849-5137-0893-9871-87B1D8015D77|2.0|test trans doc 2||||
2389|889E14B3-B2C4-1B46-6B95-FDA71509360B|2.0|test trans doc 3||||
2390|D97C2F77-0CAE-0CF4-BBC8-F7D83143A72D|2.0|test trans doc 4||||
2391|FA4C747D-D12F-FBE5-4841-5FE813973D3F|3.0|test trans doc 5||||
2392|37681271-55AD-67D3-994D-9438CC088A2C|5.0|a8||||
2393|494D43EF-7987-2726-4F0D-2C3817A28A87|2.0|asdf||||
2394|D0E4F8A1-617C-6819-3DBE-5189C9248E43|5.0|asdf||||
2396|128456EF-B9B4-D940-FFF8-2DD5E66312D6|2.0|asdf||||
2400|FFB6EF95-9B5B-85DB-7044-5F72EAC68615|2.0|asdf||||
2401|CA3E068D-CA02-190F-FE25-0E3DCBA14C96|2.0|dsaf||||
2402|35BC7B93-8288-5D36-D32A-1B1096094081|2.0|sdfa||||
2403|80729320-661F-9133-473B-69E0138D4A9B|2.0|sadf||||
2404|38735150-77D3-BA30-3B01-D7F025C15FAA|2.0|ASDf||||
2405|D3537A08-6173-4DD8-B925-E3493F587DCD|4.0|sdaf||||
2406|36A06489-8F83-C489-455F-A1D4A9082248|5.0|a14||||
2407|539F5EAB-CFBB-16D8-E7C0-6326793DCDB3|4.0|dsaf||||
2410|0A69E828-1BE0-CC72-FB18-A518033184E7|5.0|sadf||||
2480|A1DACA08-BA46-F2CC-F3E6-2F5C7FA9ACC4|2.0|nate||||
2481|39EE9595-5121-1527-0E6E-B1380A1A13A7|2.0|nate2||||
2482|26ECE1C4-077D-2772-312D-B03B14D117FB|4.0|nate3||||
2483|6948923D-524D-3990-EAF6-28247E1B1904|4.0|nate after convertions||||
2484|BAB7E16B-792C-26A6-80DB-5FAACFC45CF1|4.0|one more||||
2500|6B2F08FD-15C4-72F2-10C2-E887F5C6752E|2.0|testing patch||||
2501|ECF3E5A5-E5A3-0EB9-38E6-510D71084E9D|4.0|testing patch 2||||
2520|EE1240AF-EA07-F774-0B1C-7483C853FB3E|2.0|2234||||
2521|2028AB52-184F-86E2-0BD3-8CE296CF2F84|2.0|asdfsd||||
2522|F0FDB682-C109-CD1F-EB32-347A7D04270D|4.0|sadf||||
2584|4A9A559F-9D10-9B92-E814-60F82E392853|2.0|sadsadsadas||||
2640|1F360AC6-6DCD-BFA2-63E3-B5027F41B391|4.0|test|123||dsf|
2692|8ED05623-5D21-C6ED-715F-CEF4E3C43D30|2.0|test|1|||
2693|59108177-A298-55C3-2595-DAFD985F67F2|2.0|test||||
2694|58EF3839-6297-549E-FCB1-B23144800B0E|2.0|esdf||||
2695|575820F1-EE03-E7C8-F32B-9640D0D25B5A|7.0|dfads||||
2700|CCE4C116-CE7C-2D35-759B-E9C28D7CFAAB|5.0|Create a new delegation rule for test||||
2701|564A761C-6CCD-2E0B-6AC7-E528B655CA60|2.0|test||||
