fdoc_nbr|acct_num|
2123|a2|
2387|a2|
2387|a3|
2388|a1|
2388|a2|
2389|a1|
2389|a2|
2390|a1|
2390|a2|
2391|a1|
2391|a2|
2393|a1|
2393|a2|
2396|a1|
2396|a2|
2400|a1|
2400|a2|
2401|a1|
2401|a2|
2402|a1|
2402|a2|
2403|a1|
2403|a2|
2404|a1|
2404|a2|
2405|a1|
2405|a2|
2407|a1|
2407|a2|
2480|a3|
2480|a9|
2481|a1|
2481|a2|
2482|a1|
2482|a2|
2483|a1|
2483|a2|
2484|a1|
2500|a1|
2500|a2|
2501|a1|
2501|a2|
2520|a1|
2520|a2|
2521|a1|
2521|a2|
2522|a1|
2522|a2|
2584|a6|
2600|a6|
2601|a6|
2621|a6|
2622|a6|
2623|a6|
2640|a1|
2640|a2|
2692|a1|
2693|a1|
2694|a1|
2695|a1|
2701|a1|
