"NMSPC_CD","CMPNT_CD","PARM_NM","OBJ_ID","VER_NBR","PARM_TYP_CD","VAL","PARM_DESC_TXT","EVAL_OPRTR_CD","APPL_ID"
"KFS-AR","All","CG_PRORATE_BILL_IND","KFS-CGB-PARM-001","1","CONFG","Y","Set this value to Y if your institution is using the Contracts & Grants Billing Prorate Bill function.  N otherwise.","A","KFS"
"KFS-AR","All","DEFAULT_BASIS_OF_ACCOUNTING_FOR_BILLING","KFS-CGB-PARM-002","1","CONFG","1","This parameter defines the Basis of Accounting for filling federal forms. Value of 1 corresponds to Cash and value of 2 corresponds to Accrual.","A","KFS"
"KFS-AR","All","OLTP_LOCKOUT_ACTIVE_IND","KFSCNTRB65-1",1,"CONFG","N","Y/N indicator showing if the account receivable module is currently unavailable for Online Transaction Processing (OLTP). Y means the module is currently locked and cannot be used. N means the module is unlocked and available for use.","A","KFS"
"KFS-AR","CashControl","DEFAULT_PROCESSING_CHART","KFS-CGB-PARM-003","1","CONFG","UA","Default value for Processing Chart code - used by LOC Batch process to set AR DOC HDR for the Cash Control Document.","A","KFS"
"KFS-AR","CashControl","DEFAULT_PROCESSING_ORG","KFS-CGB-PARM-004","1","CONFG","VPIT","Default value for Processing Organization code - used by LOC Batch process to set AR DOC HDR for the Cash Control Document.","A","KFS"
"KFS-AR","CollectionActivityType","DUNNING_LETTER_GENERATION_CODE","KFS-CGB-PARM-005",1,"CONFG","LSTS","Collection Activity Type code to be used on the Collection Activity Event created when Dunning Letters are generated.","A","KFS"
"KFS-AR","ContractsGrantsInvoice","DEFAULT_BILLING_FREQUENCY","KFS-CGB-PARM-014","1","CONFG","MNTH","The default value for the billing frequency code for Awards.","A","KFS"
"KFS-AR","ContractsGrantsInvoice","DEFAULT_INVOICING_OPTION","KFS-CGB-PARM-015","1","CONFG","2","The default invoicing option for new Awards, where 1 = Invoice by Award, 2 = Invoice by Account, 3 = Invoice by Contract Control Account.","A","KFS"
"KFS-AR","ContractsGrantsInvoice","FROM_EMAIL_ADDRESS","KFS-CGB-PARM-007","1","CONFG","knoreceipt-l@indiana.edu","Sender's email address for emails sent out by the Transmit Contracts & Grants Invoices process.","A","KFS"
"KFS-AR","ContractsGrantsInvoice","INCLUDE_PERIOD_13_IN_BUDGET_AND_CURRENT_IND","KFS-CGB-PARM-016","1","CONFG","N","If set to ""Y"", Fiscal Period 13 balances will be included in addition to period 12 when the budget and current expenditure amounts of invoice detail and account detail lines on Contracts & Grants Invoice Documents are calculated in period 01.","A","KFS"
"KFS-AR","Customer","DEFAULT_INVOICE_TEMPLATE","KFS-CGB-PARM-008","1","CONFG","STD","Invoice templates can be configured at the Customer level or Customer Address level. Use this value to default the Invoice Template on the Customer and Customer Address.","A","KFS"
"KFS-AR","CustomerAgingReportDetail","CUSTOMER_INVOICE_AGE","KFS1","1","CONFG","120","Determines the last two buckets of the Customer Aging Report. The Customer Aging Report lists the customers which have open invoices for 0-30, 31-60, 61-90, 90-parameter, parameter+ days.","A","KFS"
"KFS-AR","CustomerAgingReportNotificationStep","NOTIFICATION_SELECTION","KFS-TEM-PARM-130","1","CONFG","CHART=BL;ORG=VPIT,PSY","AR customer email notification selection criteria. Syntax is Selection Criteria=Value. Available selection criteria are: CHART, ORG and ACCOUNT.","A","KFS"
"KFS-AR","CustomerAgingReportNotificationStep","NOTIFICATION_SELECTION_TYPE","KFS-TEM-PARM-131","1","CONFG","PROCESSING_ORG","The notification selection option. Its valid value can be PROCESSING_ORG, BILLING_ORG or ACCOUNT.","A","KFS"
"KFS-AR","CustomerAgingReportNotificationStep","NOTIFICATION_SUBJECT","KFS-TEM-PARM-132","1","CONFG","Customer Aging Report for ","The email notification subject.","A","KFS"
"KFS-AR","CustomerAgingReportNotificationStep","NOTIFICATION_TEXT","KFS-TEM-PARM-133","1","CONFG","The following advance is now past due and you have exceeded the IRS time frame allowable to submit payment/receipts after travel.  Since your advance is more than overdue, you are in the process of being considered for payroll deduction.  IF YOU HAVE ALREADY SUBMITTED YOUR VOUCHER, PLEASE NOTIFY US.  If you traveled for Study Abroad, notify them regarding the status of your voucher. For all others, please confirm with your department's administrator that your voucher/payment was submitted to Voucher Processing.  If you feel we should have received your voucher/payment, please contact our office to confirm receipt.  PLEASE RESPOND VIA EMAIL. Your immediate attention to this matter is appreciated.","The email body.","A","KFS"
"KFS-AR","CustomerAgingReportNotificationStep","FROM_EMAIL_ADDRESS","KFS-TEM-PARM-134","1","CONFG","knoreceipt-l@indiana.edu","The email address from which the notification is sent.","A","KFS"
