"POSTAL_STATE_CD","POSTAL_CNTRY_CD","OBJ_ID","VER_NBR","POSTAL_STATE_NM","ACTV_IND"
"AC","AU","KFS-TEM-STATE-001","1","Australian Capital Territory","Y"
"NS","AU","KFS-TEM-STATE-002","1","New South Wales","Y"
"NT","AU","KFS-TEM-STATE-003","1","Northern Territory","Y"
"QL","AU","KFS-TEM-STATE-004","1","Queensland","Y"
"SA","AU","KFS-TEM-STATE-005","1","South Australia","Y"
"TA","AU","KFS-TEM-STATE-006","1","Tasmania","Y"
"VI","AU","KFS-TEM-STATE-007","1","Victoria","Y"
"WA","AU","KFS-TEM-STATE-008","1","Western Australia","Y"
"AB","CA","KFS-TEM-STATE-009","1","Alberta","Y"
"BC","CA","KFS-TEM-STATE-010","1","British Columbia","Y"
"MB","CA","KFS-TEM-STATE-011","1","Manitoba","Y"
"NB","CA","KFS-TEM-STATE-012","1","New Brunswick","Y"
"NF","CA","KFS-TEM-STATE-013","1","Newfoundland","Y"
"NS","CA","KFS-TEM-STATE-014","1","Nova Scotia","Y"
"NT","CA","KFS-TEM-STATE-015","1","Northwest Territories","Y"
"NU","CA","KFS-TEM-STATE-016","1","Nunavut","Y"
"ON","CA","KFS-TEM-STATE-017","1","Ontario","Y"
"PE","CA","KFS-TEM-STATE-018","1","Prince Edward Island","Y"
"QC","CA","KFS-TEM-STATE-019","1","Quebec","Y"
"SK","CA","KFS-TEM-STATE-020","1","Saskatchewan","Y"
"YT","CA","KFS-TEM-STATE-021","1","Yukon","Y"
"AG","MX","KFS-TEM-STATE-022","1","Aguascalientes","Y"
"BC","MX","KFS-TEM-STATE-023","1","Baja California Norte","Y"
"BS","MX","KFS-TEM-STATE-024","1","Baja California Sur","Y"
"CH","MX","KFS-TEM-STATE-025","1","Chihuahua","Y"
"CL","MX","KFS-TEM-STATE-026","1","Colima","Y"
"CM","MX","KFS-TEM-STATE-027","1","Campeche","Y"
"CO","MX","KFS-TEM-STATE-028","1","Coahuila","Y"
"CS","MX","KFS-TEM-STATE-029","1","Chiapas","Y"
"DF","MX","KFS-TEM-STATE-030","1","Distrito Federal","Y"
"DG","MX","KFS-TEM-STATE-031","1","Durango","Y"
"GR","MX","KFS-TEM-STATE-032","1","Guerrero","Y"
"GT","MX","KFS-TEM-STATE-033","1","Guanajuato","Y"
"HG","MX","KFS-TEM-STATE-034","1","Hidalgo","Y"
"JA","MX","KFS-TEM-STATE-035","1","Jalisco","Y"
"MI","MX","KFS-TEM-STATE-036","1","Michoacan","Y"
"MO","MX","KFS-TEM-STATE-037","1","Morelos","Y"
"NA","MX","KFS-TEM-STATE-038","1","Nayarit","Y"
"NL","MX","KFS-TEM-STATE-039","1","Nuevo Leon","Y"
"OA","MX","KFS-TEM-STATE-040","1","Oaxaca","Y"
"PU","MX","KFS-TEM-STATE-041","1","Puebla","Y"
"QR","MX","KFS-TEM-STATE-042","1","Quintana Roo","Y"
"QT","MX","KFS-TEM-STATE-043","1","Queretaro","Y"
"SI","MX","KFS-TEM-STATE-044","1","Sinaloa","Y"
"SL","MX","KFS-TEM-STATE-045","1","San Luis Potosi","Y"
"SO","MX","KFS-TEM-STATE-046","1","Sonora","Y"
"TB","MX","KFS-TEM-STATE-047","1","Tabasco","Y"
"TL","MX","KFS-TEM-STATE-048","1","Tlaxcala","Y"
"TM","MX","KFS-TEM-STATE-049","1","Tamaulipas","Y"
"VE","MX","KFS-TEM-STATE-050","1","Veracruz","Y"
"YU","MX","KFS-TEM-STATE-051","1","Yucatan","Y"
"ZA","MX","KFS-TEM-STATE-052","1","Zacatecas","Y"
