"ENTITY_ID","OBJ_ID","ACTV_IND"
"1000","1000","Y"
"1001","1001","Y"
"1002","1002","Y"
"1003","1003","Y"
"1004","1004","Y"
"1005","1005","Y"
"1006","1006","Y"
"1007","1007","Y"
"1008","1008","Y"
"1009","1009","Y"
"1010","1010","Y"
"1011","1011","Y"
"1012","1012","Y"
"1013","1013","Y"
"1014","1014","Y"
"1015","1015","Y"
"1016","1016","Y"
"1017","1017","Y"
"1018","1018","Y"
"1019","1019","Y"
"1020","1020","Y"
"1021","1021","Y"
"1022","1022","Y"
"1023","1023","Y"
"1024","1024","Y"
"1025","1025","Y"
"1026","1026","Y"
"1027","1027","Y"
"1028","1028","Y"
"1029","1029","Y"
"1030","1030","Y"
"1031","1031","Y"
"1032","1032","Y"
"1033","1033","Y"
"1035","1035","Y"
"1036","1036","Y"
"1037","1037","Y"
"1038","1038","Y"
"1039","1039","Y"
"1040","1040","Y"
"1041","1041","Y"
"1042","1042","Y"
"1043","1043","Y"
"1044","1044","Y"
"1045","1045","Y"
"1046","1046","Y"
"1047","1047","Y"
"1048","1048","Y"
"1049","1049","Y"
"1050","1050","Y"
"1052","1052","Y"
"1053","1053","Y"
"1054","1054","Y"
"1055","1055","Y"
"1056","1056","Y"
"1057","1057","Y"
"1058","1058","Y"
"1059","1059","Y"
"1060","1060","Y"
"1061","1061","Y"
"1062","1062","Y"
"1063","1063","Y"
"1064","1064","Y"
"1065","1065","Y"
"1066","1066","Y"
"1067","1067","Y"
"1068","1068","Y"
"1069","1069","Y"
"1070","1070","Y"
"1071","1071","Y"
"1072","1072","Y"
"1073","1073","Y"
"1074","1074","Y"
"1075","1075","Y"
"1076","1076","Y"
"1077","1077","Y"
"1078","1078","Y"
"1079","1079","Y"
"1080","1080","Y"
"1081","1081","Y"
"1082","1082","Y"
"1083","1083","Y"
"1084","1084","Y"
"1085","1085","Y"
"1086","1086","Y"
"1087","1087","Y"
"1088","1088","Y"
"1089","1089","Y"
"1090","1090","Y"
"1091","1091","Y"
"1092","1092","Y"
"1093","1093","Y"
"1094","1094","Y"
"1095","1095","Y"
"1096","1096","Y"
"1097","1097","Y"
"1098","1098","Y"
"1099","1099","Y"
"1100","1100","Y"
"1101","1101","Y"
"1102","1102","Y"
"1103","1103","Y"
"1104","1104","Y"
"1105","1105","Y"
"1106","1106","Y"
"1107","1107","Y"
"1108","1108","Y"
"1109","1109","Y"
"1110","1110","Y"
"1111","1111","Y"
"1112","1112","Y"
"1113","1113","Y"
"1114","1114","Y"
"1115","1115","Y"
"1117","1117","Y"
"1122","1122","Y"
"1123","1123","Y"
"1124","1124","Y"
"1125","1125","Y"
"1137","1137","Y"
"1138","1138","Y"
"1143","1143","Y"
"1146","1146","Y"
"1165","1165","Y"
"1168","1168","Y"
"1172","1172","Y"
"1231","1231","Y"
"1232","1232","Y"
"1264","1264","Y"
"1309","1309","Y"
"1315","1315","Y"
"1334","1334","Y"
"1337","1337","Y"
"1361","1361","Y"
"1399","1399","Y"
"1423","1423","Y"
"1433","1433","Y"
"1438","1438","Y"
"1441","1441","Y"
"1444","1444","Y"
"1453","1453","Y"
"1455","1455","Y"
"1470","1470","Y"
"1482","1482","Y"
"1515","1515","Y"
"1520","1520","Y"
"1525","1525","Y"
"1526","1526","Y"
"1531","1531","Y"
"1545","1545","Y"
"1556","1556","Y"
"1574","1574","Y"
"1586","1586","Y"
"1599","1599","Y"
"1601","1601","Y"
"1603","1603","Y"
"1625","1625","Y"
"1637","1637","Y"
"1638","1638","Y"
"1656","1656","Y"
"1676","1676","Y"
"1686","1686","Y"
"1689","1689","Y"
"1705","1705","Y"
"1717","1717","Y"
"1731","1731","Y"
"1744","1744","Y"
"1747","1747","Y"
"1783","1783","Y"
"1861","1861","Y"
"1864","1864","Y"
"1870","1870","Y"
"1884","1884","Y"
"2","2","Y"
"2018","2018","Y"
"2019","2019","Y"
"2049","2049","Y"
"2053","2053","Y"
"2062","2062","Y"
"2073","2073","Y"
"2075","2075","Y"
"2138","2138","Y"
"2163","2163","Y"
"2204","2204","Y"
"2224","2224","Y"
"2227","2227","Y"
"2230","2230","Y"
"2235","2235","Y"
"2236","2236","Y"
"2247","2247","Y"
"2284","2284","Y"
"2344","2344","Y"
"2369","2369","Y"
"2376","2376","Y"
"2377","2377","Y"
"2382","2382","Y"
"2383","2383","Y"
"2388","2388","Y"
"2389","2389","Y"
"2409","2409","Y"
"2412","2412","Y"
"2492","2492","Y"
"2533","2533","Y"
"2534","2534","Y"
"2535","2535","Y"
"2549","2549","Y"
"2550","2550","Y"
"2552","2552","Y"
"2554","2554","Y"
"2559","2559","Y"
"2566","2566","Y"
"2567","2567","Y"
"2568","2568","Y"
"2578","2578","Y"
"2582","2582","Y"
"2584","2584","Y"
"2587","2587","Y"
"2588","2588","Y"
"2593","2593","Y"
"2594","2594","Y"
"2595","2595","Y"
"2602","2602","Y"
"2606","2606","Y"
"2607","2607","Y"
"2612","2612","Y"
"2616","2616","Y"
"2621","2621","Y"
"2629","2629","Y"
"2631","2631","Y"
"2641","2641","Y"
"2646","2646","Y"
"2648","2648","Y"
"2651","2651","Y"
"2655","2655","Y"
"2656","2656","Y"
"2657","2657","Y"
"2658","2658","Y"
"2659","2659","Y"
"2693","2693","Y"
"2694","2694","Y"
"2695","2695","Y"
"2734","2734","Y"
"2742","2742","Y"
"2743","2743","Y"
"2744","2744","Y"
"2745","2745","Y"
"2746","2746","Y"
"2747","2747","Y"
"2748","2748","Y"
"2749","2749","Y"
"2750","2750","Y"
"2751","2751","Y"
"2752","2752","Y"
"2753","2753","Y"
"2754","2754","Y"
"2755","2755","Y"
"2756","2756","Y"
"2757","2757","Y"
"2758","2758","Y"
"2759","2759","Y"
"2760","2760","Y"
"2761","2761","Y"
"2762","2762","Y"
"2763","2763","Y"
"2764","2764","Y"
"2765","2765","Y"
"2766","2766","Y"
"2767","2767","Y"
"2768","2768","Y"
"2769","2769","Y"
"2770","2770","Y"
"2771","2771","Y"
"2772","2772","Y"
"2773","2773","Y"
"2774","2774","Y"
"2775","2775","Y"
"2776","2776","Y"
"2777","2777","Y"
"2778","2778","Y"
"2779","2779","Y"
"2780","2780","Y"
"2781","2781","Y"
"2782","2782","Y"
"2783","2783","Y"
"2784","2784","Y"
"2785","2785","Y"
"2786","2786","Y"
"2787","2787","Y"
"2788","2788","Y"
"2789","2789","Y"
"2790","2790","Y"
"2791","2791","Y"
"2792","2792","Y"
"2793","2793","Y"
"2794","2794","Y"
"2795","2795","Y"
"2796","2796","Y"
"2797","2797","Y"
"2798","2798","Y"
"2799","2799","Y"
"2800","2800","Y"
"2801","2801","Y"
"2802","2802","Y"
"2803","2803","Y"
"2804","2804","Y"
"2805","2805","Y"
"2806","2806","Y"
"2807","2807","Y"
"2808","2808","Y"
"2809","2809","Y"
"2810","2810","Y"
"2811","2811","Y"
"2812","2812","Y"
"2813","2813","Y"
"2814","2814","Y"
"2815","2815","Y"
"2816","2816","Y"
"2817","2817","Y"
"2818","2818","Y"
"2819","2819","Y"
"2820","2820","Y"
"2821","2821","Y"
"2822","2822","Y"
"2823","2823","Y"
"2824","2824","Y"
"2825","2825","Y"
"2826","2826","Y"
"2827","2827","Y"
"2828","2828","Y"
"2829","2829","Y"
"2830","2830","Y"
"2831","2831","Y"
"2832","2832","Y"
"2833","2833","Y"
"2834","2834","Y"
"2835","2835","Y"
"2836","2836","Y"
"2837","2837","Y"
"2838","2838","Y"
"2839","2839","Y"
"2840","2840","Y"
"2841","2841","Y"
"2842","2842","Y"
"2843","2843","Y"
"2844","2844","Y"
"2845","2845","Y"
"2846","2846","Y"
"2847","2847","Y"
"2848","2848","Y"
"2849","2849","Y"
"2850","2850","Y"
"2851","2851","Y"
"2852","2852","Y"
"2853","2853","Y"
"2854","2854","Y"
"2855","2855","Y"
"2856","2856","Y"
"2857","2857","Y"
"2858","2858","Y"
"2859","2859","Y"
"2860","2860","Y"
"2861","2861","Y"
"2862","2862","Y"
"2863","2863","Y"
"2864","2864","Y"
"2865","2865","Y"
"2866","2866","Y"
"2867","2867","Y"
"2868","2868","Y"
"2869","2869","Y"
"2870","2870","Y"
"2871","2871","Y"
"2872","2872","Y"
"2873","2873","Y"
"2874","2874","Y"
"2875","2875","Y"
"2876","2876","Y"
"2877","2877","Y"
"2878","2878","Y"
"2879","2879","Y"
"2880","2880","Y"
"2881","2881","Y"
"2882","2882","Y"
"2883","2883","Y"
"2884","2884","Y"
