"ENTITY_AFLTN_ID","OBJ_ID","ENTITY_ID","AFLTN_TYP_CD","CAMPUS_CD","DFLT_IND","ACTV_IND"
"1000","1000","1000","STAFF","IN","Y","Y"
"1001","1001","1001","STAFF","BL","Y","Y"
"1002","1002","1002","STAFF","IN","Y","Y"
"1003","1003","1003","STAFF","IN","Y","Y"
"1004","1004","1004","STAFF","IN","Y","Y"
"1005","1005","1005","STAFF","BL","Y","Y"
"1006","1006","1006","STAFF","BL","Y","Y"
"1007","1007","1007","STAFF","BL","Y","Y"
"1008","1008","1008","STAFF","BL","Y","Y"
"1009","1009","1009","STAFF","BL","Y","Y"
"1010","1010","1010","STAFF","BL","Y","Y"
"1011","1011","1011","STAFF","BL","Y","Y"
"1012","1012","1012","STAFF","BL","Y","Y"
"1013","1013","1013","STAFF","BL","Y","Y"
"1014","1014","1014","STAFF","BL","Y","Y"
"1015","1015","1015","STAFF","BL","Y","Y"
"1016","1016","1016","STAFF","BL","Y","Y"
"1017","1017","1017","STAFF","BL","Y","Y"
"1018","1018","1018","STAFF","BL","Y","Y"
"1019","1019","1019","STAFF","BL","Y","Y"
"1020","1020","1020","STAFF","BL","Y","Y"
"1021","1021","1021","STAFF","BL","Y","Y"
"1022","1022","1022","STAFF","BL","Y","Y"
"1023","1023","1023","STAFF","BL","Y","Y"
"1024","1024","1024","STAFF","BL","Y","Y"
"1025","1025","1025","STAFF","BL","Y","Y"
"1026","1026","1026","STAFF","BL","Y","Y"
"1027","1027","1027","STAFF","BL","Y","Y"
"1028","1028","1028","STAFF","BL","Y","Y"
"1029","1029","1029","STAFF","BL","Y","Y"
"1030","1030","1030","STAFF","BL","Y","Y"
"1031","1031","1031","STAFF","BL","Y","Y"
"1032","1032","1032","STAFF","BL","Y","Y"
"1033","1033","1033","STAFF","BL","Y","Y"
"1035","1035","1035","STAFF","BL","Y","Y"
"1036","1036","1036","STAFF","BL","Y","Y"
"1037","1037","1037","STAFF","BL","Y","Y"
"1038","1038","1038","STAFF","BL","Y","Y"
"1039","1039","1039","STAFF","BL","Y","Y"
"1040","1040","1040","STAFF","BL","Y","Y"
"1041","1041","1041","STAFF","BL","Y","Y"
"1042","1042","1042","STAFF","BL","Y","Y"
"1043","1043","1043","STAFF","BL","Y","Y"
"1044","1044","1044","STAFF","BL","Y","Y"
"1045","1045","1045","STAFF","BL","Y","Y"
"1046","1046","1046","STAFF","BL","Y","Y"
"1047","1047","1047","STAFF","BL","Y","Y"
"1048","1048","1048","STAFF","BL","Y","Y"
"1049","1049","1049","STAFF","BL","Y","Y"
"1050","1050","1050","STAFF","BL","Y","Y"
"1052","1052","1052","STAFF","BL","Y","Y"
"1053","1053","1053","STAFF","BL","Y","Y"
"1054","1054","1054","STAFF","BL","Y","Y"
"1055","1055","1055","STAFF","BL","Y","Y"
"1056","1056","1056","STAFF","BL","Y","Y"
"1057","1057","1057","STAFF","BL","Y","Y"
"1058","1058","1058","STAFF","BL","Y","Y"
"1059","1059","1059","STAFF","BL","Y","Y"
"1060","1060","1060","STAFF","BL","Y","Y"
"1061","1061","1061","STAFF","BL","Y","Y"
"1062","1062","1062","STAFF","BL","Y","Y"
"1063","1063","1063","STAFF","BL","Y","Y"
"1064","1064","1064","STAFF","BL","Y","Y"
"1065","1065","1065","STAFF","BL","Y","Y"
"1066","1066","1066","STAFF","BL","Y","Y"
"1067","1067","1067","STAFF","BL","Y","Y"
"1068","1068","1068","STAFF","IN","Y","Y"
"1069","1069","1069","STAFF","BL","Y","Y"
"1070","1070","1070","STAFF","BL","Y","Y"
"1071","1071","1071","STAFF","BL","Y","Y"
"1072","1072","1072","STAFF","BL","Y","Y"
"1073","1073","1073","STAFF","BL","Y","Y"
"1074","1074","1074","STAFF","BL","Y","Y"
"1075","1075","1075","STAFF","BL","Y","Y"
"1076","1076","1076","STAFF","BL","Y","Y"
"1077","1077","1077","STAFF","BL","Y","Y"
"1078","1078","1078","STAFF","BL","Y","Y"
"1079","1079","1079","STAFF","BL","Y","Y"
"1080","1080","1080","STAFF","BL","Y","Y"
"1081","1081","1081","STAFF","BL","Y","Y"
"1082","1082","1082","STAFF","BL","Y","Y"
"1083","1083","1083","STAFF","BL","Y","Y"
"1084","1084","1084","STAFF","BL","Y","Y"
"1085","1085","1085","STAFF","BL","Y","Y"
"1086","1086","1086","STAFF","BL","Y","Y"
"1087","1087","1087","STAFF","BL","Y","Y"
"1088","1088","1088","STAFF","BL","Y","Y"
"1089","1089","1089","STAFF","BL","Y","Y"
"1090","1090","1090","STAFF","BL","Y","Y"
"1091","1091","1091","STAFF","BL","Y","Y"
"1092","1092","1092","STAFF","BL","Y","Y"
"1093","1093","1093","STAFF","BL","Y","Y"
"1094","1094","1094","STAFF","BL","Y","Y"
"1095","1095","1095","STAFF","BL","Y","Y"
"1096","1096","1096","STAFF","BL","Y","Y"
"1097","1097","1097","STAFF","BL","Y","Y"
"1098","1098","1098","STAFF","BL","Y","Y"
"1099","1099","1099","STAFF","BL","Y","Y"
"1100","1100","1100","STAFF","BL","Y","Y"
"1101","1101","1101","STAFF","BL","Y","Y"
"1102","1102","1102","STAFF","BL","Y","Y"
"1103","1103","1103","STAFF","BL","Y","Y"
"1104","1104","1104","STAFF","IN","Y","Y"
"1105","1105","1105","STAFF","IN","Y","Y"
"1106","1106","1106","STAFF","BL","Y","Y"
"1107","1107","1107","STAFF","BL","Y","Y"
"1108","1108","1108","STAFF","BL","Y","Y"
"1109","1109","1109","STAFF","BL","Y","Y"
"1110","1110","1110","STAFF","BL","Y","Y"
