"ENT_TYP_CD","ENTITY_ID","OBJ_ID","ACTV_IND"
"PERSON","1000","1000-PERSON","Y"
"PERSON","1001","1001-PERSON","Y"
"PERSON","1002","1002-PERSON","Y"
"PERSON","1003","1003-PERSON","Y"
"PERSON","1004","1004-PERSON","Y"
"PERSON","1005","1005-PERSON","Y"
"PERSON","1006","1006-PERSON","Y"
"PERSON","1007","1007-PERSON","Y"
"PERSON","1008","1008-PERSON","Y"
"PERSON","1009","1009-PERSON","Y"
"PERSON","1010","1010-PERSON","Y"
"PERSON","1011","1011-PERSON","Y"
"PERSON","1012","1012-PERSON","Y"
"PERSON","1013","1013-PERSON","Y"
"PERSON","1014","1014-PERSON","Y"
"PERSON","1015","1015-PERSON","Y"
"PERSON","1016","1016-PERSON","Y"
"PERSON","1017","1017-PERSON","Y"
"PERSON","1018","1018-PERSON","Y"
"PERSON","1019","1019-PERSON","Y"
"PERSON","1020","1020-PERSON","Y"
"PERSON","1021","1021-PERSON","Y"
"PERSON","1022","1022-PERSON","Y"
"PERSON","1023","1023-PERSON","Y"
"PERSON","1024","1024-PERSON","Y"
"PERSON","1025","1025-PERSON","Y"
"PERSON","1026","1026-PERSON","Y"
"PERSON","1027","1027-PERSON","Y"
"PERSON","1028","1028-PERSON","Y"
"PERSON","1029","1029-PERSON","Y"
"PERSON","1030","1030-PERSON","Y"
"PERSON","1031","1031-PERSON","Y"
"PERSON","1032","1032-PERSON","Y"
"PERSON","1033","1033-PERSON","Y"
"PERSON","1035","1035-PERSON","Y"
"PERSON","1036","1036-PERSON","Y"
"PERSON","1037","1037-PERSON","Y"
"PERSON","1038","1038-PERSON","Y"
"PERSON","1039","1039-PERSON","Y"
"PERSON","1040","1040-PERSON","Y"
"PERSON","1041","1041-PERSON","Y"
"PERSON","1042","1042-PERSON","Y"
"PERSON","1043","1043-PERSON","Y"
"PERSON","1044","1044-PERSON","Y"
"PERSON","1045","1045-PERSON","Y"
"PERSON","1046","1046-PERSON","Y"
"PERSON","1047","1047-PERSON","Y"
"PERSON","1048","1048-PERSON","Y"
"PERSON","1049","1049-PERSON","Y"
"PERSON","1050","1050-PERSON","Y"
"PERSON","1052","1052-PERSON","Y"
"PERSON","1053","1053-PERSON","Y"
"PERSON","1054","1054-PERSON","Y"
"PERSON","1055","1055-PERSON","Y"
"PERSON","1056","1056-PERSON","Y"
"PERSON","1057","1057-PERSON","Y"
"PERSON","1058","1058-PERSON","Y"
"PERSON","1059","1059-PERSON","Y"
"PERSON","1060","1060-PERSON","Y"
"PERSON","1061","1061-PERSON","Y"
"PERSON","1062","1062-PERSON","Y"
"PERSON","1063","1063-PERSON","Y"
"PERSON","1064","1064-PERSON","Y"
"PERSON","1065","1065-PERSON","Y"
"PERSON","1066","1066-PERSON","Y"
"PERSON","1067","1067-PERSON","Y"
"PERSON","1068","1068-PERSON","Y"
"PERSON","1069","1069-PERSON","Y"
"PERSON","1070","1070-PERSON","Y"
"PERSON","1071","1071-PERSON","Y"
"PERSON","1072","1072-PERSON","Y"
"PERSON","1073","1073-PERSON","Y"
"PERSON","1074","1074-PERSON","Y"
"PERSON","1075","1075-PERSON","Y"
"PERSON","1076","1076-PERSON","Y"
"PERSON","1077","1077-PERSON","Y"
"PERSON","1078","1078-PERSON","Y"
"PERSON","1079","1079-PERSON","Y"
"PERSON","1080","1080-PERSON","Y"
"PERSON","1081","1081-PERSON","Y"
"PERSON","1082","1082-PERSON","Y"
"PERSON","1083","1083-PERSON","Y"
"PERSON","1084","1084-PERSON","Y"
"PERSON","1085","1085-PERSON","Y"
"PERSON","1086","1086-PERSON","Y"
"PERSON","1087","1087-PERSON","Y"
"PERSON","1088","1088-PERSON","Y"
"PERSON","1089","1089-PERSON","Y"
"PERSON","1090","1090-PERSON","Y"
"PERSON","1091","1091-PERSON","Y"
"PERSON","1092","1092-PERSON","Y"
"PERSON","1093","1093-PERSON","Y"
"PERSON","1094","1094-PERSON","Y"
"PERSON","1095","1095-PERSON","Y"
"PERSON","1096","1096-PERSON","Y"
"PERSON","1097","1097-PERSON","Y"
"PERSON","1098","1098-PERSON","Y"
"PERSON","1099","1099-PERSON","Y"
"PERSON","1100","1100-PERSON","Y"
"PERSON","1101","1101-PERSON","Y"
"PERSON","1102","1102-PERSON","Y"
"PERSON","1103","1103-PERSON","Y"
"PERSON","1104","1104-PERSON","Y"
"PERSON","1105","1105-PERSON","Y"
"PERSON","1106","1106-PERSON","Y"
"PERSON","1107","1107-PERSON","Y"
"PERSON","1108","1108-PERSON","Y"
"PERSON","1109","1109-PERSON","Y"
"PERSON","1110","1110-PERSON","Y"
"PERSON","1111","1111-PERSON","Y"
"PERSON","1112","1112-PERSON","Y"
"PERSON","1113","1113-PERSON","Y"
"PERSON","1114","1114-PERSON","Y"
"PERSON","1115","1115-PERSON","Y"
"PERSON","1117","1117-PERSON","Y"
"PERSON","1122","1122-PERSON","Y"
"PERSON","1123","1123-PERSON","Y"
"PERSON","1124","1124-PERSON","Y"
"PERSON","1125","1125-PERSON","Y"
"PERSON","1137","1137-PERSON","Y"
"PERSON","1138","1138-PERSON","Y"
"PERSON","1143","1143-PERSON","Y"
"PERSON","1146","1146-PERSON","Y"
"PERSON","1165","1165-PERSON","Y"
"PERSON","1168","1168-PERSON","Y"
"PERSON","1172","1172-PERSON","Y"
"PERSON","1231","1231-PERSON","Y"
"PERSON","1232","1232-PERSON","Y"
"PERSON","1264","1264-PERSON","Y"
"PERSON","1309","1309-PERSON","Y"
"PERSON","1315","1315-PERSON","Y"
"PERSON","1334","1334-PERSON","Y"
"PERSON","1337","1337-PERSON","Y"
"PERSON","1361","1361-PERSON","Y"
"PERSON","1399","1399-PERSON","Y"
"PERSON","1423","1423-PERSON","Y"
"PERSON","1433","1433-PERSON","Y"
"PERSON","1438","1438-PERSON","Y"
"PERSON","1441","1441-PERSON","Y"
"PERSON","1444","1444-PERSON","Y"
"PERSON","1453","1453-PERSON","Y"
"PERSON","1455","1455-PERSON","Y"
"PERSON","1470","1470-PERSON","Y"
"PERSON","1482","1482-PERSON","Y"
"PERSON","1515","1515-PERSON","Y"
"PERSON","1520","1520-PERSON","Y"
"PERSON","1525","1525-PERSON","Y"
"PERSON","1526","1526-PERSON","Y"
"PERSON","1531","1531-PERSON","Y"
"PERSON","1545","1545-PERSON","Y"
"PERSON","1556","1556-PERSON","Y"
"PERSON","1574","1574-PERSON","Y"
"PERSON","1586","1586-PERSON","Y"
"PERSON","1599","1599-PERSON","Y"
"PERSON","1601","1601-PERSON","Y"
"PERSON","1603","1603-PERSON","Y"
"PERSON","1625","1625-PERSON","Y"
"PERSON","1637","1637-PERSON","Y"
"PERSON","1638","1638-PERSON","Y"
"PERSON","1656","1656-PERSON","Y"
"PERSON","1676","1676-PERSON","Y"
"PERSON","1686","1686-PERSON","Y"
"PERSON","1689","1689-PERSON","Y"
"PERSON","1705","1705-PERSON","Y"
"PERSON","1717","1717-PERSON","Y"
"PERSON","1731","1731-PERSON","Y"
"PERSON","1744","1744-PERSON","Y"
"PERSON","1747","1747-PERSON","Y"
"PERSON","1783","1783-PERSON","Y"
"PERSON","1861","1861-PERSON","Y"
"PERSON","1864","1864-PERSON","Y"
"PERSON","1870","1870-PERSON","Y"
"PERSON","1884","1884-PERSON","Y"
"SYSTEM","2","2-SYSTEM","Y"
"PERSON","2018","2018-PERSON","Y"
"PERSON","2019","2019-PERSON","Y"
"PERSON","2049","2049-PERSON","Y"
"PERSON","2053","2053-PERSON","Y"
"PERSON","2062","2062-PERSON","Y"
"PERSON","2073","2073-PERSON","Y"
"PERSON","2075","2075-PERSON","Y"
"PERSON","2138","2138-PERSON","Y"
"PERSON","2163","2163-PERSON","Y"
"PERSON","2204","2204-PERSON","Y"
"PERSON","2224","2224-PERSON","Y"
"PERSON","2227","2227-PERSON","Y"
"PERSON","2230","2230-PERSON","Y"
"PERSON","2235","2235-PERSON","Y"
"PERSON","2236","2236-PERSON","Y"
"PERSON","2247","2247-PERSON","Y"
"PERSON","2284","2284-PERSON","Y"
"PERSON","2344","2344-PERSON","Y"
"PERSON","2369","2369-PERSON","Y"
"PERSON","2376","2376-PERSON","Y"
"PERSON","2377","2377-PERSON","Y"
"PERSON","2382","2382-PERSON","Y"
"PERSON","2383","2383-PERSON","Y"
"PERSON","2388","2388-PERSON","Y"
"PERSON","2389","2389-PERSON","Y"
"PERSON","2409","2409-PERSON","Y"
"PERSON","2412","2412-PERSON","Y"
"PERSON","2492","2492-PERSON","Y"
"PERSON","2533","2533-PERSON","Y"
"PERSON","2534","2534-PERSON","Y"
"PERSON","2535","2535-PERSON","Y"
"PERSON","2549","2549-PERSON","Y"
"PERSON","2550","2550-PERSON","Y"
"PERSON","2552","2552-PERSON","Y"
"PERSON","2554","2554-PERSON","Y"
"PERSON","2559","2559-PERSON","Y"
"PERSON","2566","2566-PERSON","Y"
"PERSON","2567","2567-PERSON","Y"
"PERSON","2568","2568-PERSON","Y"
"PERSON","2578","2578-PERSON","Y"
"PERSON","2582","2582-PERSON","Y"
"PERSON","2584","2584-PERSON","Y"
"PERSON","2587","2587-PERSON","Y"
"PERSON","2588","2588-PERSON","Y"
"PERSON","2593","2593-PERSON","Y"
"PERSON","2594","2594-PERSON","Y"
"PERSON","2595","2595-PERSON","Y"
"PERSON","2602","2602-PERSON","Y"
"PERSON","2606","2606-PERSON","Y"
"PERSON","2607","2607-PERSON","Y"
"PERSON","2612","2612-PERSON","Y"
"PERSON","2616","2616-PERSON","Y"
"PERSON","2621","2621-PERSON","Y"
"PERSON","2629","2629-PERSON","Y"
"PERSON","2631","2631-PERSON","Y"
"PERSON","2641","2641-PERSON","Y"
"PERSON","2646","2646-PERSON","Y"
"PERSON","2648","2648-PERSON","Y"
"PERSON","2651","2651-PERSON","Y"
"PERSON","2655","2655-PERSON","Y"
"PERSON","2656","2656-PERSON","Y"
"PERSON","2657","2657-PERSON","Y"
"PERSON","2658","2658-PERSON","Y"
"PERSON","2659","2659-PERSON","Y"
"PERSON","2693","2693-PERSON","Y"
"PERSON","2694","2694-PERSON","Y"
"PERSON","2695","2695-PERSON","Y"
"PERSON","2734","2734-PERSON","Y"
"PERSON","2742","2742-PERSON","Y"
"PERSON","2743","2743-PERSON","Y"
"PERSON","2744","2744-PERSON","Y"
"PERSON","2745","2745-PERSON","Y"
"PERSON","2746","2746-PERSON","Y"
"PERSON","2747","2747-PERSON","Y"
"PERSON","2748","2748-PERSON","Y"
"PERSON","2749","2749-PERSON","Y"
"PERSON","2750","2750-PERSON","Y"
"PERSON","2751","2751-PERSON","Y"
"PERSON","2752","2752-PERSON","Y"
"PERSON","2753","2753-PERSON","Y"
"PERSON","2754","2754-PERSON","Y"
"PERSON","2755","2755-PERSON","Y"
"PERSON","2756","2756-PERSON","Y"
"PERSON","2757","2757-PERSON","Y"
"PERSON","2758","2758-PERSON","Y"
"PERSON","2759","2759-PERSON","Y"
"PERSON","2760","2760-PERSON","Y"
"PERSON","2761","2761-PERSON","Y"
"PERSON","2762","2762-PERSON","Y"
"PERSON","2763","2763-PERSON","Y"
"PERSON","2764","2764-PERSON","Y"
"PERSON","2765","2765-PERSON","Y"
"PERSON","2766","2766-PERSON","Y"
"PERSON","2767","2767-PERSON","Y"
"PERSON","2768","2768-PERSON","Y"
"PERSON","2769","2769-PERSON","Y"
"PERSON","2770","2770-PERSON","Y"
"PERSON","2771","2771-PERSON","Y"
"PERSON","2772","2772-PERSON","Y"
"PERSON","2773","2773-PERSON","Y"
"PERSON","2774","2774-PERSON","Y"
"PERSON","2775","2775-PERSON","Y"
"PERSON","2776","2776-PERSON","Y"
"PERSON","2777","2777-PERSON","Y"
"PERSON","2778","2778-PERSON","Y"
"PERSON","2779","2779-PERSON","Y"
"PERSON","2780","2780-PERSON","Y"
"PERSON","2781","2781-PERSON","Y"
"PERSON","2782","2782-PERSON","Y"
"PERSON","2783","2783-PERSON","Y"
"PERSON","2784","2784-PERSON","Y"
"PERSON","2785","2785-PERSON","Y"
"PERSON","2786","2786-PERSON","Y"
"PERSON","2787","2787-PERSON","Y"
"PERSON","2788","2788-PERSON","Y"
"PERSON","2789","2789-PERSON","Y"
"PERSON","2790","2790-PERSON","Y"
"PERSON","2791","2791-PERSON","Y"
"PERSON","2792","2792-PERSON","Y"
"PERSON","2793","2793-PERSON","Y"
"PERSON","2794","2794-PERSON","Y"
"PERSON","2795","2795-PERSON","Y"
"PERSON","2796","2796-PERSON","Y"
"PERSON","2797","2797-PERSON","Y"
"PERSON","2798","2798-PERSON","Y"
"PERSON","2799","2799-PERSON","Y"
"PERSON","2800","2800-PERSON","Y"
"PERSON","2801","2801-PERSON","Y"
"PERSON","2802","2802-PERSON","Y"
"PERSON","2803","2803-PERSON","Y"
"PERSON","2804","2804-PERSON","Y"
"PERSON","2805","2805-PERSON","Y"
"PERSON","2806","2806-PERSON","Y"
"PERSON","2807","2807-PERSON","Y"
"PERSON","2808","2808-PERSON","Y"
"PERSON","2809","2809-PERSON","Y"
