"PRNCPL_ID","OBJ_ID","PRNCPL_NM","ENTITY_ID","ACTV_IND"
"1106901514","1106901514","asneed","3737","Y"
"1110101123","1110101123","dharden","3007","Y"
"1110208926","1110208926","bgranvil","3283","Y"
"1110902378","1110902378","dbaer","2783","Y"
"1119909078","1119909078","theodore","2734","Y"
"1122304097","1122304097","racreame","3504","Y"
"1122607230","1122607230","jabeaton","3944","Y"
"1129107497","1129107497","tabojorq","3769","Y"
"1133303624","1133303624","rasutter","3576","Y"
"1135201202","1135201202","anemery","1337","Y"
"1137304513","1137304513","ehillard","3591","Y"
"1143902789","1143902789","istanfie","3050","Y"
"1153304576","1153304576","fharr","3254","Y"
"1164809566","1164809566","rahadfie","3384","Y"
"1170706400","1170706400","hahagans","3546","Y"
"1183109030","1183109030","aafarthi","2947","Y"
"1184605262","1184605262","tapeele","2926","Y"
"1189109800","1189109800","camcswee","3651","Y"
"1189909114","1189909114","ikonrad","3202","Y"
"1190207952","1190207952","nmendiol","3824","Y"
"1197209582","1197209582","degroot","1455","Y"
"1198203164","1198203164","ireland","1453","Y"
"1200708313","1200708313","rbcolang","3561","Y"
"1202108464","1202108464","rolunt","2204","Y"
"1203608260","1203608260","rbpaulin","1002","Y"
"1204808831","1204808831","abhafner","1094","Y"
"1206006319","1206006319","sbgerman","4003","Y"
"1208309261","1208309261","bborja","3632","Y"
"1208408248","1208408248","vrude","3882","Y"
"1209204593","1209204593","sbmoorma","2824","Y"
"1210506984","1210506984","mbbolano","3106","Y"
"1210908400","1210908400","ddisney","3934","Y"
"1223106803","1223106803","leflore","1101","Y"
"1224201162","1224201162","tbblue","3374","Y"
"1224705693","1224705693","jquesada","3316","Y"
"1226406048","1226406048","wbouldin","2616","Y"
"1226904798","1226904798","ablabont","3877","Y"
"1229409497","1229409497","tbswanne","3168","Y"
"1233208366","1233208366","obmckown","3763","Y"
"1239102444","1239102444","lpederso","2914","Y"
"1241605004","1241605004","lbflick","3718","Y"
"1246104058","1246104058","cbbeaure","3340","Y"
"1246806746","1246806746","mmatherl","3795","Y"
"1248203895","1248203895","bleighto","1599","Y"
"1249702947","1249702947","mbshorte","1006","Y"
"1250802481","1250802481","mswitzer","3140","Y"
"1255308159","1255308159","jswaney","3375","Y"
"1257009999","1257009999","bburruss","3189","Y"
"1257605304","1257605304","vbmaddux","3236","Y"
"1259209800","1259209800","smcsween","3614","Y"
"1271001025","1271001025","acrowe","2907","Y"
"1271005561","1271005561","abbagby","3853","Y"
"1271304676","1271304676","wbrazil","3122","Y"
"1273305787","1273305787","tgrigg","3013","Y"
"1274007182","1274007182","dbschlue","3904","Y"
"1275504380","1275504380","bbsimone","2073","Y"
"1288107367","1288107367","bbshankl","1014","Y"
"1289603908","1289603908","dbweed","3597","Y"
"1290503526","1290503526","fnunes","2945","Y"
"1290807742","1290807742","smarrufo","3915","Y"
"1294109220","1294109220","lblechne","3868","Y"
"1297209262","1297209262","hbbigley","3612","Y"
"1298309000","1298309000","hnichol","3104","Y"
"1298803604","1298803604","dbdesant","3611","Y"
"1302403183","1302403183","reich","1515","Y"
"1304408857","1304408857","hbogard","3198","Y"
"1305309367","1305309367","jaube","3957","Y"
"1305500732","1305500732","jpenning","3983","Y"
"1306305885","1306305885","lcbreton","3754","Y"
"1306901621","1306901621","acegan","3603","Y"
"1308508136","1308508136","hagood","2797","Y"
"1309104027","1309104027","feeney","2693","Y"
"1312601202","1312601202","kcemery","3298","Y"
"1325700900","1325700900","dcote","3355","Y"
"1326309202","1326309202","pagel","2920","Y"
"1326409751","1326409751","wadamski","2815","Y"
"1329201709","1329201709","scatwood","3940","Y"
