"ATTR_DATA_ID","OBJ_ID","VER_NBR","ROLE_MBR_ID","KIM_TYP_ID","KIM_ATTR_DEFN_ID","ATTR_VAL"
"KFS4003","KFS4003","1","1","36","22","NW"
"KFS4011","KFS4011","1","1","36","24","FORN"
"KFS4021","KFS4021","1","1","36","4","KFS-SYS"
"KFS4010","KFS4010","1","10","36","22","BL"
"KFS4012","KFS4012","1","10","36","24","BUS"
"KFS4027","KFS4027","1","10","36","4","KFS-SYS"
"KFS3177","KFS3177","1","1000","17","12","KO"
"KFS3178","KFS3178","1","1001","17","12","KO"
"KFS3179","KFS3179","1","1002","17","12","KO"
"KFS3180","KFS3180","1","1003","17","12","NW"
"KFS3181","KFS3181","1","1004","17","12","NW"
"KFS3182","KFS3182","1","1005","17","12","NW"
"KFS3183","KFS3183","1","1006","17","12","NW"
"KFS3184","KFS3184","1","1007","17","12","NW"
"KFS3185","KFS3185","1","1008","17","12","SB"
"KFS3186","KFS3186","1","1009","17","12","SB"
"KFS3187","KFS3187","1","1010","17","12","SB"
"KFS3188","KFS3188","1","1011","17","12","SB"
"KFS3189","KFS3189","1","1012","17","12","SB"
"KFS3190","KFS3190","1","1013","17","12","SE"
"KFS3191","KFS3191","1","1014","17","12","SE"
"KFS3192","KFS3192","1","1015","17","12","SE"
"KFS3193","KFS3193","1","1016","17","12","SE"
"KFS3156","KFS3156","1","1017","17","12","BL"
"KFS3157","KFS3157","1","1018","17","12","BL"
"KFS3158","KFS3158","1","1019","17","12","BL"
"KFS3159","KFS3159","1","1020","17","12","BL"
"KFS3160","KFS3160","1","1021","17","12","BL"
"KFS3161","KFS3161","1","1022","17","12","BL"
"KFS3162","KFS3162","1","1023","17","12","BL"
"KFS3163","KFS3163","1","1024","17","12","BL"
"KFS3164","KFS3164","1","1025","17","12","BL"
"KFS3165","KFS3165","1","1026","17","12","BL"
"KFS3166","KFS3166","1","1027","17","12","IN"
"KFS3167","KFS3167","1","1028","17","12","IN"
"KFS3168","KFS3168","1","1029","17","12","IN"
"KFS3169","KFS3169","1","1030","17","12","IN"
"KFS3170","KFS3170","1","1032","17","12","IN"
"KFS4013","KFS4013","1","11","36","22","IN"
"KFS4014","KFS4014","1","11","36","24","AFFA"
"KFS4028","KFS4028","1","11","36","4","KFS-SYS"
"KFS2784","KFS2784","1","1186","26","22","BL"
"KFS2785","KFS2785","1","1186","26","23","1031400"
"KFS2786","KFS2786","1","1187","26","22","BL"
"KFS2787","KFS2787","1","1187","26","23","1031400"
"KFS2788","KFS2788","1","1188","26","22","BA"
"KFS2789","KFS2789","1","1188","26","23","6044900"
"KFS2790","KFS2790","1","1189","26","22","BA"
"KFS2791","KFS2791","1","1189","26","23","6044906"
"KFS2800","KFS2800","1","1190","32","33","10000016"
"KFS2801","KFS2801","1","1191","32","33","10000017"
"KFS2802","KFS2802","1","1192","32","33","10000018"
"KFS2803","KFS2803","1","1193","32","33","10000019"
"KFS2804","KFS2804","1","1194","32","33","10000020"
"KFS2893","KFS2893","1","1195","32","33","10000021"
"KFS2805","KFS2805","1","1196","32","33","10000022"
"KFS2806","KFS2806","1","1197","32","33","10000023"
"KFS2807","KFS2807","1","1198","32","33","10000024"
"KFS2808","KFS2808","1","1199","34","32","99"
"KFS4015","KFS4015","1","12","36","22","NW"
"KFS4016","KFS4016","1","12","36","24","BOOK"
"KFS4029","KFS4029","1","12","36","4","KFS-SYS"
"KFS2809","KFS2809","1","1200","34","32","10"
"KFS2810","KFS2810","1","1201","34","32","12"
"KFS2811","KFS2811","1","1202","34","32","14"
"KFS2812","KFS2812","1","1203","34","32","16"
"KFS2813","KFS2813","1","1204","34","32","83"
"KFS2814","KFS2814","1","1205","34","32","60"
"KFS2815","KFS2815","1","1206","34","32","61"
"KFS2816","KFS2816","1","1207","34","32","62"
"KFS2817","KFS2817","1","1208","34","32","63"
"KFS2818","KFS2818","1","1209","34","32","64"
"KFS2819","KFS2819","1","1210","34","32","30"
"KFS2820","KFS2820","1","1211","34","32","31"
"KFS2821","KFS2821","1","1212","34","32","32"
"KFS2822","KFS2822","1","1213","34","32","33"
"KFS2823","KFS2823","1","1214","34","32","34"
"KFS2824","KFS2824","1","1215","34","32","40"
"KFS2825","KFS2825","1","1216","34","32","41"
"KFS2826","KFS2826","1","1217","34","32","42"
"KFS2827","KFS2827","1","1218","34","32","43"
"KFS2828","KFS2828","1","1219","34","32","44"
"KFS2829","KFS2829","1","1220","34","32","20"
"KFS2830","KFS2830","1","1221","34","32","21"
"KFS2831","KFS2831","1","1222","34","32","22"
"KFS2832","KFS2832","1","1223","34","32","23"
"KFS2833","KFS2833","1","1224","34","32","24"
"KFS2834","KFS2834","1","1225","34","32","70"
"KFS2835","KFS2835","1","1226","34","32","71"
"KFS2836","KFS2836","1","1227","34","32","72"
"KFS2837","KFS2837","1","1228","34","32","73"
"KFS2838","KFS2838","1","1229","34","32","74"
"KFS2839","KFS2839","1","1230","34","32","80"
