"ROLE_MBR_ID","OBJ_ID","ROLE_ID","MBR_ID","MBR_TYP_CD"
"KFS931","KFS931","11","KFS3264700400","P"
"KFS932","KFS932","11","KFS1110101123","P"
"KFS933","KFS933","11","KFS1610003826","P"
"KFS934","KFS934","11","KFS4021000393","P"
"KFS935","KFS935","11","KFS2037407017","P"
"KFS936","KFS936","11","KFS3613806482","P"
"KFS937","KFS937","11","KFS1729700072","P"
"KFS938","KFS938","11","KFS2744604637","P"
"KFS939","KFS939","11","KFS2051003056","P"
"KFS940","KFS940","11","KFS3312302137","P"
"KFS941","KFS941","11","KFS3907601072","P"
"KFS942","KFS942","11","KFS2253102501","P"
"KFS943","KFS943","11","KFS5811904314","P"
"KFS944","KFS944","12","KFS5238503444","P"
"KFS945","KFS945","12","KFS4445203670","P"
"KFS946","KFS946","12","KFS5331903365","P"
"KFS947","KFS947","12","KFS4704600556","P"
"KFS948","KFS948","12","KFS5412209968","P"
"KFS949","KFS949","12","KFS4333007056","P"
"KFS950","KFS950","12","KFS4465100463","P"
"KFS951","KFS951","12","KFS5729300245","P"
"KFS952","KFS952","12","KFS3428508900","P"
"KFS1186","KFS1186","13","KFS5025501749","P"
"KFS1187","KFS1187","13","KFS3372102879","P"
"KFS1188","KFS1188","13","KFS5729300245","P"
"KFS1189","KFS1189","13","KFS5729300245","P"
"KFS961","KFS961","15","KFS6139306823","P"
"KFS1175","KFS1175","16","KFS6162502038","P"
"KFS962","KFS962","16","KFS2155107462","P"
"KFS963","KFS963","16","KFS4191101345","P"
"KFS964","KFS964","16","KFS5004802845","P"
"KFS965","KFS965","16","KFS4685602389","P"
"KFS966","KFS966","16","KFS6162502038","P"
"KFS967","KFS967","16","KFS5778107441","P"
"KFS968","KFS968","16","KFS4936104131","P"
"KFS1308","KFS1308","17","45","R"
"KFS970","KFS970","17","KFS2514300297","P"
"KFS971","KFS971","17","KFS5263304328","P"
"KFS1190","KFS1190","18","KFS1545104915","P"
"KFS1191","KFS1191","18","KFS1290503526","P"
"KFS1192","KFS1192","18","KFS1975509930","P"
"KFS1193","KFS1193","18","KFS1183109030","P"
"KFS1194","KFS1194","18","KFS5967802348","P"
"KFS1195","KFS1195","18","KFS2254202107","P"
"KFS1196","KFS1196","18","KFS2726706560","P"
"KFS1197","KFS1197","18","KFS1998203566","P"
