"KIM_TYP_ATTR_ID","OBJ_ID","VER_NBR","SORT_CD","KIM_TYP_ID","KIM_ATTR_DEFN_ID","ACTV_IND"
"105","105","1","a","6","22","Y"
"106","106","1","b","6","24","Y"
"110","110","1","a","62","45","Y"
"113","113","1","a","68","22","Y"
"114","114","1","b","68","24","Y"
"38","38","1","a","23","29","Y"
"39","39","1","b","24","34","Y"
"40","40","1","a","25","22","Y"
"41","41","1","a","26","22","Y"
"42","42","1","b","26","23","Y"
"43","43","1","a","27","22","Y"
"44","44","1","b","27","24","Y"
"45","45","1","a","28","22","Y"
"46","46","1","b","28","24","Y"
"47","47","1","c","28","25","Y"
"48","48","1","b","29","22","Y"
"49","49","1","c","29","24","Y"
"50","50","1","a","29","13","Y"
"51","51","1","b","30","22","Y"
"52","52","1","c","30","24","Y"
"53","53","1","a","30","13","Y"
"54","54","1","d","30","26","Y"
"55","55","1","e","30","27","Y"
"56","56","1","f","30","28","Y"
"57","57","1","b","31","30","Y"
"58","58","1","a","32","33","Y"
"59","59","1","b","33","31","Y"
"60","60","1","a","34","32","Y"
"61","61","1","a","35","35","Y"
"62","62","1","a","36","4","Y"
"63","63","1","b","36","22","Y"
"64","64","1","c","36","24","Y"
"65","65","1","a","37","36","Y"
"67","67","1","c","33","12","Y"
"68","68","1","a","24","13","Y"
"69","69","1","a","31","13","Y"
"70","70","1","a","33","13","Y"
"75","75","1","a","46","38","Y"
"76","76","1","b","47","22","Y"
"77","77","1","c","47","23","Y"
"78","78","1","d","47","39","Y"
"79","79","1","a","47","13","Y"
"82","82","1","a","51","13","Y"
"83","83","1","a","38","22","Y"
"84","84","1","b","38","24","Y"
"85","85","1","a","39","22","Y"
"86","86","1","b","39","23","Y"
"87","87","1","a","40","22","Y"
"92","92","1","a","48","42","Y"
"98","98","1","a","53","42","Y"
