"NMSPC_CD","NM","ACTV_IND","APPL_NMSPC_CD"
"KFS-AR","Accounts Receivable","Y","KFS"
"KFS-BC","Budget Construction","Y","KFS"
"KFS-CAB","Capital Asset Builder","Y","KFS"
"KFS-CAM","Capital Asset Management","Y","KFS"
"KFS-CG","Contracts and Grants","Y","KFS"
"KFS-COA","Chart of Accounts","Y","KFS"
"KFS-EC","Effort Certification","Y","KFS"
"KFS-ENDOW","Endowment","Y","KFS"
"KFS-FP","Financial Processing","Y","KFS"
"KFS-GL","General Ledger","Y","KFS"
"KFS-LD","Labor Distribution","Y","KFS"
"KFS-PDP","Pre-Disbursement Processor","Y","KFS"
"KFS-PURAP","Purchasing/Accounts Payable","Y","KFS"
"KFS-SYS","Financial System","Y","KFS"
"KFS-VND","Vendor","Y","KFS"
