ATTR_DATA_ID,OBJ_ID,VER_NBR,PERM_ID,KIM_TYP_ID,KIM_ATTR_DEFN_ID,ATTR_VAL
TEM-10000,KFS-TEM-ATTR-DATA-001,1,TEM-10000,52,13,TA
TEM-10001,KFS-TEM-ATTR-DATA-002,1,TEM-10001,52,13,TA
TEM-10002,KFS-TEM-ATTR-DATA-003,1,TEM-10002,52,13,TA
TEM-10003,KFS-TEM-ATTR-DATA-004,1,TEM-10003,52,13,TA
TEM-10004,KFS-TEM-ATTR-DATA-005,1,TEM-10004,52,13,TA
TEM-10005,KFS-TEM-ATTR-DATA-006,1,TEM-10005,52,13,TA
TEM-10006,KFS-TEM-ATTR-DATA-007,1,TEM-10006,52,13,TA
TEM-10007,KFS-TEM-ATTR-DATA-008,1,TEM-10006,52,16,Account
TEM-10008,KFS-TEM-ATTR-DATA-009,1,TEM-10006,52,6,sourceAccountingLines
TEM-10009,KFS-TEM-ATTR-DATA-010,1,TEM-10007,11,6,citizenshipCountryCode
TEM-10010,KFS-TEM-ATTR-DATA-011,1,TEM-10007,11,5,TravelAuthorizationDocument
TEM-10011,KFS-TEM-ATTR-DATA-012,1,TEM-10008,11,6,cellPhoneNumber
TEM-10012,KFS-TEM-ATTR-DATA-013,1,TEM-10008,11,5,TravelAuthorizationDocument
TEM-10013,KFS-TEM-ATTR-DATA-014,1,TEM-10009,11,6,contactRelationTypeCode
TEM-10014,KFS-TEM-ATTR-DATA-015,1,TEM-10009,11,5,TravelerDetailEmergencyContact
TEM-10015,KFS-TEM-ATTR-DATA-016,1,TEM-10010,11,6,contactName
TEM-10016,KFS-TEM-ATTR-DATA-017,1,TEM-10010,11,5,TravelerDetailEmergencyContact
TEM-10017,KFS-TEM-ATTR-DATA-018,1,TEM-10011,11,6,phoneNumber
TEM-10018,KFS-TEM-ATTR-DATA-019,1,TEM-10011,11,5,TravelerDetailEmergencyContact
TEM-10057,KFS-TEM-ATTR-DATA-020,1,TEM-10038,52,13,TA
TEM-10058,KFS-TEM-ATTR-DATA-021,1,TEM-10038,52,16,APTravel
TEM-10059,KFS-TEM-ATTR-DATA-022,1,TEM-10038,52,6,sourceAccountingLines
TEM-10060,KFS-TEM-ATTR-DATA-023,1,TEM-10039,11,6,citizenshipCountryCode
TEM-10061,KFS-TEM-ATTR-DATA-024,1,TEM-10039,11,5,TravelAuthorizationDocument
TEM-10062,KFS-TEM-ATTR-DATA-025,1,TEM-10039,52,16,APTravel
TEM-10063,KFS-TEM-ATTR-DATA-026,1,TEM-10040,11,6,cellPhoneNumber
TEM-10064,KFS-TEM-ATTR-DATA-027,1,TEM-10040,11,5,TravelAuthorizationDocument
TEM-10065,KFS-TEM-ATTR-DATA-028,1,TEM-10040,52,16,APTravel
TEM-10066,KFS-TEM-ATTR-DATA-029,1,TEM-10041,11,6,contactRelationTypeCode
TEM-10067,KFS-TEM-ATTR-DATA-030,1,TEM-10041,11,5,TravelerDetailEmergencyContact
TEM-10068,KFS-TEM-ATTR-DATA-031,1,TEM-10041,52,16,APTravel
TEM-10069,KFS-TEM-ATTR-DATA-032,1,TEM-10042,11,6,contactName
TEM-10070,KFS-TEM-ATTR-DATA-033,1,TEM-10042,11,5,TravelerDetailEmergencyContact
TEM-10071,KFS-TEM-ATTR-DATA-034,1,TEM-10042,52,16,APTravel
TEM-10072,KFS-TEM-ATTR-DATA-035,1,TEM-10043,11,6,phoneNumber
TEM-10073,KFS-TEM-ATTR-DATA-036,1,TEM-10043,11,5,TravelerDetailEmergencyContact
TEM-10074,KFS-TEM-ATTR-DATA-037,1,TEM-10043,52,16,APTravel
TEM-10075,KFS-TEM-ATTR-DATA-038,1,TEM-10044,11,6,emailAddress
TEM-10076,KFS-TEM-ATTR-DATA-039,1,TEM-10044,11,5,TravelerDetailEmergencyContact
TEM-10077,KFS-TEM-ATTR-DATA-040,1,TEM-10044,52,16,APTravel
TEM-10078,KFS-TEM-ATTR-DATA-041,1,TEM-10045,3,13,TXRF
TEM-10079,KFS-TEM-ATTR-DATA-042,1,TEM-10046,3,13,TXRF
TEM-10080,KFS-TEM-ATTR-DATA-043,1,TEM-10047,3,13,TAAR
TEM-10081,KFS-TEM-ATTR-DATA-044,1,TEM-10048,52,13,TAA
TEM-10082,KFS-TEM-ATTR-DATA-045,1,TEM-10048,52,16,Account
TEM-10083,KFS-TEM-ATTR-DATA-046,1,TEM-10048,52,6,sourceAccountingLines
TEM-10084,KFS-TEM-ATTR-DATA-047,1,TEM-10049,52,13,ENT
TEM-10085,KFS-TEM-ATTR-DATA-048,1,TEM-10049,52,16,Account
TEM-10086,KFS-TEM-ATTR-DATA-049,1,TEM-10049,52,6,sourceAccountingLines
TEM-10087,KFS-TEM-ATTR-DATA-050,1,TEM-10050,52,13,RELO
TEM-10088,KFS-TEM-ATTR-DATA-051,1,TEM-10050,52,16,Account
TEM-10089,KFS-TEM-ATTR-DATA-052,1,TEM-10050,52,6,sourceAccountingLines
TEM-10019,KFS-TEM-ATTR-DATA-053,1,TEM-10012,11,6,emailAddress
