PERM_ID,OBJ_ID,VER_NBR,PERM_TMPL_ID,NMSPC_CD,NM,DESC_TXT,ACTV_IND
KFS10282,KFS-TEM-PERM-000,1,1,KFS-TEM,Amend TA,Allows access to Amend the Travel Authorization (TA) document.,Y
KFS10283,KFS-TEM-PERM-001,1,1,KFS-TEM,Hold TA,Allows access to Hold the Travel Authorization (TA) document.,Y
KFS10284,KFS-TEM-PERM-002,1,1,KFS-TEM,Remove Hold TA,Allows access to Remove a Hold on the Travel Authorization (TA) document.,Y
KFS10285,KFS-TEM-PERM-003,1,1,KFS-TEM,Cancel TA,Allows access to Cancel the Travel Authorization (TA) document.,Y
KFS10286,KFS-TEM-PERM-004,1,1,KFS-TEM,Close TA,Allows access to Close the Travel Authorization (TA) document.,Y
KFS10287,KFS-TEM-PERM-005,1,1,KFS-TEM,Return to Fiscal Officer,Allows access to return an enroute travel document to the Fiscal Officer for changes.,Y
KFS10288,KFS-TEM-PERM-006,1,41,KFS-TEM,Modify Accounting Lines TT Account sourceAccountingLines,Allows access to Modify the Accounting Lines on a TT doc,Y
KFS10289,KFS-TEM-PERM-007,1,27,KFS-TEM,Full Unmask Field TravelAuthorizationDocument citizenshipCountryCode,Allows users to view unmasked the citizenship country field in the Emergency Contacts tab in a Travel Authorization document.,Y
KFS10290,KFS-TEM-PERM-008,1,27,KFS-TEM,Full Unmask Field TravelAuthorizationDocument cellPhoneNumber,Allows users to view unmasked the cell phone number field in the Emergency Contacts tab in a Travel Authorization document.,Y
KFS10291,KFS-TEM-PERM-009,1,27,KFS-TEM,Full Unmask Field TravelerDetailEmergencyContact contactRelationTypeCode,Allows users to view unmasked the contact relation field in the Emergency Contacts tab in a Travel Authorization document.,Y
KFS10292,KFS-TEM-PERM-010,1,27,KFS-TEM,Full Unmask Field TravelerDetailEmergencyContact contactName,Allows users to view unmasked the contact name field in the Emergency Contacts tab in a Travel Authorization document.,Y
KFS10293,KFS-TEM-PERM-011,1,27,KFS-TEM,Full Unmask Field TravelerDetailEmergencyContact phoneNumber,Allows users to view unmasked the contact phone number field in the Emergency Contacts tab in a Travel Authorization document.,Y
KFS10294,KFS-TEM-PERM-012,1,27,KFS-TEM,Full Unmask Field TravelerDetailEmergencyContact emailAddress,Allows users to view unmasked the contact email address field in the Emergency Contacts tab in a Travel Authorization document.,Y
KFS10295,KFS-TEM-PERM-013,1,27,KFS-TEM,Full Unmask Field TemProfileEmergencyContact contactRelationTypeCode,Allows users to view unmasked the contact relation field in the Emergency Contacts tab in a TemProfile document.,Y
KFS10296,KFS-TEM-PERM-014,1,27,KFS-TEM,Full Unmask Field TemProfileEmergencyContact contactName,Allows users to view unmasked the contact name field in the Emergency Contacts tab in a TemProfile document.,Y
KFS10297,KFS-TEM-PERM-015,1,27,KFS-TEM,Full Unmask Field TemProfileEmergencyContact phoneNumber,Allows users to view unmasked the contact phone number field in the Emergency Contacts tab in a TemProfile document.,Y
KFS10298,KFS-TEM-PERM-016,1,27,KFS-TEM,Full Unmask Field TemProfileEmergencyContact emailAddress,Allows users to view unmasked the contact email address field in the Emergency Contacts tab in a TemProfile document.,Y
KFS10299,KFS-TEM-PERM-017,1,1,KFS-TEM,Calculate TA,Allows TA doc calculation,Y
