ROLE_RSP_ACTN_ID,OBJ_ID,ACTN_TYP_CD,PRIORITY_NBR,ACTN_PLCY_CD,ROLE_MBR_ID,ROLE_RSP_ID,FRC_ACTN
TEM-10000,KFS-TEM-RSP-ACTN-001,A,1,F,*,TEM-10000,N
TEM-10001,KFS-TEM-RSP-ACTN-002,A,1,F,*,TEM-10001,N
TEM-10002,KFS-TEM-RSP-ACTN-003,A,1,F,*,TEM-10002,N
TEM-10003,KFS-TEM-RSP-ACTN-004,A,1,F,*,TEM-10003,N
TEM-10004,KFS-TEM-RSP-ACTN-005,A,1,F,*,TEM-10004,N
TEM-10005,KFS-TEM-RSP-ACTN-006,A,1,F,*,TEM-10005,N
TEM-10006,KFS-TEM-RSP-ACTN-007,A,1,F,*,TEM-10006,N
TEM-10007,KFS-TEM-RSP-ACTN-008,A,1,F,*,TEM-10007,N
TEM-10008,KFS-TEM-RSP-ACTN-009,A,1,F,*,TEM-10008,N
TEM-10009,KFS-TEM-RSP-ACTN-010,A,1,F,*,TEM-10009,N
TEM-10010,KFS-TEM-RSP-ACTN-011,A,1,F,*,TEM-10010,N
TEM-10011,KFS-TEM-RSP-ACTN-012,A,1,F,*,TEM-10011,N
TEM-10012,KFS-TEM-RSP-ACTN-013,A,1,F,*,TEM-10012,N
TEM-10013,KFS-TEM-RSP-ACTN-014,A,1,F,*,TEM-10013,N
TEM-10014,KFS-TEM-RSP-ACTN-015,A,1,F,*,TEM-10014,N
TEM-10015,KFS-TEM-RSP-ACTN-016,A,1,F,*,TEM-10015,N
TEM-10016,KFS-TEM-RSP-ACTN-017,A,1,F,*,TEM-10016,N
TEM-10017,KFS-TEM-RSP-ACTN-018,A,1,F,*,TEM-10017,N
TEM-10018,KFS-TEM-RSP-ACTN-019,A,1,F,*,TEM-10018,N
TEM-10019,KFS-TEM-RSP-ACTN-020,A,1,F,*,TEM-10019,N
TEM-10020,KFS-TEM-RSP-ACTN-021,A,1,F,*,TEM-10020,N
TEM-10021,KFS-TEM-RSP-ACTN-022,A,1,F,*,TEM-10021,N
TEM-10022,KFS-TEM-RSP-ACTN-023,A,1,F,*,TEM-10022,N
