ROLE_ID,OBJ_ID,VER_NBR,ROLE_NM,NMSPC_CD,DESC_TXT,KIM_TYP_ID,ACTV_IND
KFS10255,KFS-TEM-ROLE-000,1,Special Request Reviewer,KFS-TEM,,1,Y
KFS10256,KFS-TEM-ROLE-001,1,International Travel Reviewer,KFS-TEM,,1,Y
KFS10257,KFS-TEM-ROLE-002,1,Risk Management,KFS-TEM,,1,Y
KFS10258,KFS-TEM-ROLE-004,1,Division Reviewer,KFS-TEM,,1,Y
KFS10260,KFS-TEM-ROLE-006,1,TEM Profile,KFS-TEM,Derived as the person who creates their own profile in a document.,KFS10249,Y
KFS10261,KFS-TEM-ROLE-007,1,Contact Reviewer,KFS-TEM,,1,Y
KFS10262,KFS-TEM-ROLE-008,1,TEM Profile Administrator,KFS-TEM,"This role authorizes users to administer Profiles for a specified organization and, when applicable, organizations that descend the users hierarchy.",KFS10250,Y
KFS10263,KFS-TEM-ROLE-009,1,TEM Organization Profile Arranger,KFS-TEM,"This role authorizes users to modify Traveler Profiles for a specified organization and, when applicable, organizations that descend the users hierarchy.",KFS10251,Y
KFS10264,KFS-TEM-ROLE-010,1,Entertainment Manager,KFS-TEM,,1,Y
KFS10265,KFS-TEM-ROLE-011,1,Moving And Relocation Manager,KFS-TEM,,1,Y
KFS10266,KFS-TEM-ROLE-012,1,Executive Approver,KFS-TEM,,KFS10254,Y
KFS10267,KFS-TEM-ROLE-013,1,TEM Assigned Profile Arranger,KFS-TEM,Derived from the Traveler’s Profile.,KFS10252,Y
KFS10268,KFS-TEM-ROLE-014,1,Separation Of Duties Reviewer,KFS-TEM,,1,Y
KFS10686,KFS-TEM-ROLE-015,1,Reimbursement Organization Reviewer,KFS-TEM,"Organization hierarchy aware role which allows principals to approve, acknowledge, or FYI travel reimbursements which have amounts larger than the original authorization encumbrance (by the percentage given in the reimbursementOveragePercentage qualification).",KFS10681,Y
KFS10712,KFS-TEM-ROLE-016,1,Central Profile Reviewer,KFS-TEM,,1,Y
