ATTR_DATA_ID,OBJ_ID,VER_NBR,RSP_ID,KIM_TYP_ID,KIM_ATTR_DEFN_ID,ATTR_VAL
TEM-10000,KFS-TEM-RSP-ATTR-DATA-001,1,TEM-10000,7,16,SpecialRequestReviewer
TEM-10001,KFS-TEM-RSP-ATTR-DATA-002,1,TEM-10000,7,13,TA
TEM-10002,KFS-TEM-RSP-ATTR-DATA-003,1,TEM-10000,7,41,FALSE
TEM-10003,KFS-TEM-RSP-ATTR-DATA-004,1,TEM-10000,7,40,FALSE
TEM-10004,KFS-TEM-RSP-ATTR-DATA-005,1,TEM-10001,7,16,InternationalTravelReviewer
TEM-10005,KFS-TEM-RSP-ATTR-DATA-006,1,TEM-10001,7,13,TA
TEM-10006,KFS-TEM-RSP-ATTR-DATA-007,1,TEM-10001,7,41,FALSE
TEM-10007,KFS-TEM-RSP-ATTR-DATA-008,1,TEM-10001,7,40,FALSE
TEM-10008,KFS-TEM-RSP-ATTR-DATA-009,1,TEM-10002,7,16,RiskManagement
TEM-10009,KFS-TEM-RSP-ATTR-DATA-010,1,TEM-10002,7,13,TA
TEM-10010,KFS-TEM-RSP-ATTR-DATA-011,1,TEM-10002,7,41,FALSE
TEM-10011,KFS-TEM-RSP-ATTR-DATA-012,1,TEM-10002,7,40,FALSE
TEM-10012,KFS-TEM-RSP-ATTR-DATA-013,1,TEM-10003,7,16,APTravel
TEM-10013,KFS-TEM-RSP-ATTR-DATA-014,1,TEM-10003,7,13,TA
TEM-10014,KFS-TEM-RSP-ATTR-DATA-015,1,TEM-10003,7,41,FALSE
TEM-10015,KFS-TEM-RSP-ATTR-DATA-016,1,TEM-10003,7,40,FALSE
TEM-10016,KFS-TEM-RSP-ATTR-DATA-017,1,TEM-10004,7,16,AccountingReviewer
TEM-10017,KFS-TEM-RSP-ATTR-DATA-018,1,TEM-10004,7,13,TR
TEM-10018,KFS-TEM-RSP-ATTR-DATA-019,1,TEM-10004,7,41,FALSE
TEM-10019,KFS-TEM-RSP-ATTR-DATA-020,1,TEM-10004,7,40,FALSE
TEM-10020,KFS-TEM-RSP-ATTR-DATA-021,1,TEM-10005,7,16,DivisionReviewer
TEM-10021,KFS-TEM-RSP-ATTR-DATA-022,1,TEM-10005,7,13,TA
TEM-10022,KFS-TEM-RSP-ATTR-DATA-023,1,TEM-10005,7,41,FALSE
TEM-10023,KFS-TEM-RSP-ATTR-DATA-024,1,TEM-10005,7,40,FALSE
TEM-10024,KFS-TEM-RSP-ATTR-DATA-025,1,TEM-10006,7,16,TravelerReview
TEM-10025,KFS-TEM-RSP-ATTR-DATA-026,1,TEM-10006,7,13,TR
TEM-10026,KFS-TEM-RSP-ATTR-DATA-027,1,TEM-10006,7,41,FALSE
TEM-10027,KFS-TEM-RSP-ATTR-DATA-028,1,TEM-10006,7,40,FALSE
TEM-10028,KFS-TEM-RSP-ATTR-DATA-029,1,TEM-10007,7,16,Tax
TEM-10029,KFS-TEM-RSP-ATTR-DATA-030,1,TEM-10007,7,13,TTP
TEM-10030,KFS-TEM-RSP-ATTR-DATA-031,1,TEM-10007,7,41,FALSE
TEM-10031,KFS-TEM-RSP-ATTR-DATA-032,1,TEM-10007,7,40,FALSE
TEM-10032,KFS-TEM-RSP-ATTR-DATA-033,1,TEM-10008,7,16,EntertainmentManager
TEM-10033,KFS-TEM-RSP-ATTR-DATA-034,1,TEM-10008,7,13,ENT
TEM-10034,KFS-TEM-RSP-ATTR-DATA-035,1,TEM-10008,7,41,FALSE
TEM-10035,KFS-TEM-RSP-ATTR-DATA-036,1,TEM-10008,7,40,FALSE
TEM-10036,KFS-TEM-RSP-ATTR-DATA-037,1,TEM-10009,7,16,ENTSpecialRequestReviewer
TEM-10037,KFS-TEM-RSP-ATTR-DATA-038,1,TEM-10009,7,13,ENT
TEM-10038,KFS-TEM-RSP-ATTR-DATA-039,1,TEM-10009,7,41,FALSE
TEM-10039,KFS-TEM-RSP-ATTR-DATA-040,1,TEM-10009,7,40,FALSE
TEM-10040,KFS-TEM-RSP-ATTR-DATA-041,1,TEM-10010,7,16,ENTTaxManager
TEM-10041,KFS-TEM-RSP-ATTR-DATA-042,1,TEM-10010,7,13,ENT
TEM-10042,KFS-TEM-RSP-ATTR-DATA-043,1,TEM-10010,7,41,FALSE
TEM-10043,KFS-TEM-RSP-ATTR-DATA-044,1,TEM-10010,7,40,FALSE
TEM-10044,KFS-TEM-RSP-ATTR-DATA-045,1,TEM-10011,7,16,MovingAndRelocationManager
TEM-10045,KFS-TEM-RSP-ATTR-DATA-046,1,TEM-10011,7,13,RELO
TEM-10046,KFS-TEM-RSP-ATTR-DATA-047,1,TEM-10011,7,41,FALSE
TEM-10047,KFS-TEM-RSP-ATTR-DATA-048,1,TEM-10011,7,40,FALSE
TEM-10048,KFS-TEM-RSP-ATTR-DATA-049,1,TEM-10012,7,16,ExecutiveApproval
TEM-10049,KFS-TEM-RSP-ATTR-DATA-050,1,TEM-10012,7,13,RELO
TEM-10050,KFS-TEM-RSP-ATTR-DATA-051,1,TEM-10012,7,41,FALSE
TEM-10051,KFS-TEM-RSP-ATTR-DATA-052,1,TEM-10012,7,40,FALSE
TEM-10052,KFS-TEM-RSP-ATTR-DATA-053,1,TEM-10013,7,16,Tax
TEM-10053,KFS-TEM-RSP-ATTR-DATA-054,1,TEM-10013,7,13,RELO
TEM-10054,KFS-TEM-RSP-ATTR-DATA-055,1,TEM-10013,7,41,FALSE
TEM-10055,KFS-TEM-RSP-ATTR-DATA-056,1,TEM-10013,7,40,FALSE
TEM-10056,KFS-TEM-RSP-ATTR-DATA-057,1,TEM-10014,7,16,SeparationOfDutiesReviewer
TEM-10057,KFS-TEM-RSP-ATTR-DATA-058,1,TEM-10014,7,13,TA
TEM-10058,KFS-TEM-RSP-ATTR-DATA-059,1,TEM-10014,7,41,FALSE
TEM-10059,KFS-TEM-RSP-ATTR-DATA-060,1,TEM-10014,7,40,FALSE
TEM-10060,KFS-TEM-RSP-ATTR-DATA-061,1,TEM-10015,7,16,SpecialRequestReviewer
TEM-10061,KFS-TEM-RSP-ATTR-DATA-062,1,TEM-10015,7,13,TR
TEM-10062,KFS-TEM-RSP-ATTR-DATA-063,1,TEM-10015,7,41,FALSE
TEM-10063,KFS-TEM-RSP-ATTR-DATA-064,1,TEM-10015,7,40,FALSE
TEM-10064,KFS-TEM-RSP-ATTR-DATA-065,1,TEM-10016,7,16,DivisionReviewer
TEM-10065,KFS-TEM-RSP-ATTR-DATA-066,1,TEM-10016,7,13,TR
TEM-10066,KFS-TEM-RSP-ATTR-DATA-067,1,TEM-10016,7,41,FALSE
TEM-10067,KFS-TEM-RSP-ATTR-DATA-068,1,TEM-10016,7,40,FALSE
TEM-10068,KFS-TEM-RSP-ATTR-DATA-069,1,TEM-10017,7,16,Tax
TEM-10069,KFS-TEM-RSP-ATTR-DATA-070,1,TEM-10017,7,13,TR
TEM-10070,KFS-TEM-RSP-ATTR-DATA-071,1,TEM-10017,7,41,FALSE
TEM-10071,KFS-TEM-RSP-ATTR-DATA-072,1,TEM-10017,7,40,FALSE
TEM-10072,KFS-TEM-RSP-ATTR-DATA-073,1,TEM-10018,7,16,InternationalTravelReviewer
TEM-10073,KFS-TEM-RSP-ATTR-DATA-074,1,TEM-10018,7,13,TR
TEM-10074,KFS-TEM-RSP-ATTR-DATA-075,1,TEM-10018,7,41,FALSE
TEM-10075,KFS-TEM-RSP-ATTR-DATA-076,1,TEM-10018,7,40,FALSE
TEM-10076,KFS-TEM-RSP-ATTR-DATA-077,1,TEM-10019,7,16,APTravel
TEM-10077,KFS-TEM-RSP-ATTR-DATA-078,1,TEM-10019,7,13,TR
TEM-10078,KFS-TEM-RSP-ATTR-DATA-079,1,TEM-10019,7,41,FALSE
TEM-10079,KFS-TEM-RSP-ATTR-DATA-080,1,TEM-10019,7,40,FALSE
TEM-10080,KFS-TEM-RSP-ATTR-DATA-081,1,TEM-10020,7,16,SeparationOfDutiesReviewer
TEM-10081,KFS-TEM-RSP-ATTR-DATA-082,1,TEM-10020,7,13,TR
TEM-10082,KFS-TEM-RSP-ATTR-DATA-083,1,TEM-10020,7,41,FALSE
TEM-10083,KFS-TEM-RSP-ATTR-DATA-084,1,TEM-10020,7,40,FALSE
TEM-10084,KFS-TEM-RSP-ATTR-DATA-085,1,TEM-10021,7,16,TravelerReview
TEM-10085,KFS-TEM-RSP-ATTR-DATA-086,1,TEM-10021,7,13,TA
TEM-10086,KFS-TEM-RSP-ATTR-DATA-087,1,TEM-10021,7,41,FALSE
TEM-10087,KFS-TEM-RSP-ATTR-DATA-088,1,TEM-10021,7,40,FALSE
TEM-10088,KFS-TEM-RSP-ATTR-DATA-089,1,TEM-10022,7,16,TravelerReview
TEM-10089,KFS-TEM-RSP-ATTR-DATA-090,1,TEM-10022,7,13,TTA
TEM-10090,KFS-TEM-RSP-ATTR-DATA-091,1,TEM-10022,7,41,FALSE
TEM-10091,KFS-TEM-RSP-ATTR-DATA-092,1,TEM-10022,7,40,FALSE
